"ID"	"Pathway"	"Z-score"
"hsa05200"	"Pathways in cancer"	"15.221"
"hsa04360"	"Axon guidance"	"10.411"
"hsa04510"	"Focal adhesion"	"10.174"
"hsa05165"	"Human papillomavirus infection"	"10.053"
"hsa05205"	"Proteoglycans in cancer"	"8.605"
"hsa04151"	"PI3K-Akt signaling pathway"	"8.58"
"hsa04014"	"Ras signaling pathway"	"7.952"
"hsa04015"	"Rap1 signaling pathway"	"7.095"
"hsa04810"	"Regulation of actin cytoskeleton"	"7.025"
"hsa04010"	"MAPK signaling pathway"	"6.605"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"6.386"
"hsa05161"	"Hepatitis B"	"6.216"
"hsa04520"	"Adherens junction"	"6.215"
"hsa05225"	"Hepatocellular carcinoma"	"5.984"
"hsa05166"	"HTLV-I infection"	"5.719"
"hsa05206"	"MicroRNAs in cancer"	"5.669"
"hsa05226"	"Gastric cancer"	"5.441"
"hsa05224"	"Breast cancer"	"5.429"
"hsa05202"	"Transcriptional misregulation in cancer"	"5.427"
"hsa05203"	"Viral carcinogenesis"	"5.426"
"hsa05215"	"Prostate cancer"	"5.398"
"hsa05220"	"Chronic myeloid leukemia"	"5.395"
"hsa04218"	"Cellular senescence"	"5.22"
"hsa05210"	"Colorectal cancer"	"5.103"
"hsa05212"	"Pancreatic cancer"	"5.008"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"4.978"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"4.676"
"hsa04390"	"Hippo signaling pathway"	"4.667"
"hsa04934"	"Cushing,s syndrome"	"4.46"
"hsa04068"	"FoxO signaling pathway"	"4.425"
"hsa04919"	"Thyroid hormone signaling pathway"	"4.398"
"hsa04660"	"T cell receptor signaling pathway"	"4.279"
"hsa04722"	"Neurotrophin signaling pathway"	"4.206"
"hsa04310"	"Wnt signaling pathway"	"4.187"
"hsa05218"	"Melanoma"	"3.897"
"hsa04110"	"Cell cycle"	"3.773"
"hsa04012"	"ErbB signaling pathway"	"3.73"
"hsa05213"	"Endometrial cancer"	"3.659"
"hsa04926"	"Relaxin signaling pathway"	"3.548"
"hsa04659"	"Th17 cell differentiation"	"3.497"
"hsa04350"	"TGF-beta signaling pathway"	"3.446"
"hsa05214"	"Glioma"	"3.424"
"hsa04917"	"Prolactin signaling pathway"	"3.409"
"hsa04380"	"Osteoclast differentiation"	"3.4"
"hsa05211"	"Renal cell carcinoma"	"3.38"
"hsa04921"	"Oxytocin signaling pathway"	"3.379"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"3.363"
"hsa05219"	"Bladder cancer"	"3.257"
"hsa05221"	"Acute myeloid leukemia"	"3.192"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"3.166"
"hsa04370"	"VEGF signaling pathway"	"3.144"
"hsa05131"	"Shigellosis"	"3.114"
"hsa04670"	"Leukocyte transendothelial migration"	"3.1"
"hsa04625"	"C-type lectin receptor signaling pathway"	"3.093"
"hsa04071"	"Sphingolipid signaling pathway"	"3.077"
"hsa05223"	"Non-small cell lung cancer"	"3.064"
"hsa05100"	"Bacterial invasion of epithelial cells"	"3.04"
"hsa05222"	"Small cell lung cancer"	"3.022"
"hsa05216"	"Thyroid cancer"	"3.017"
"hsa04062"	"Chemokine signaling pathway"	"3.012"
"hsa04611"	"Platelet activation"	"2.998"
"hsa05231"	"Choline metabolism in cancer"	"2.926"
"hsa04916"	"Melanogenesis"	"2.793"
"hsa05010"	"Alzheimer,s disease"	"2.764"
"hsa04630"	"Jak-STAT signaling pathway"	"2.761"
"hsa05160"	"Hepatitis C"	"2.745"
"hsa04024"	"cAMP signaling pathway"	"2.729"
"hsa04210"	"Apoptosis"	"2.697"
"hsa04664"	"Fc epsilon RI signaling pathway"	"2.644"
"hsa04662"	"B cell receptor signaling pathway"	"2.581"
"hsa04720"	"Long-term potentiation"	"2.425"
"hsa05168"	"Herpes simplex infection"	"2.42"
"hsa05217"	"Basal cell carcinoma"	"2.379"
"hsa04144"	"Endocytosis"	"2.334"
"hsa04066"	"HIF-1 signaling pathway"	"2.316"
"hsa04912"	"GnRH signaling pathway"	"2.283"
"hsa04668"	"TNF signaling pathway"	"2.277"
"hsa04072"	"Phospholipase D signaling pathway"	"2.264"
"hsa04330"	"Notch signaling pathway"	"2.227"
"hsa04512"	"ECM-receptor interaction"	"2.226"
"hsa04530"	"Tight junction"	"2.2"
"hsa05132"	"Salmonella infection"	"2.18"
"hsa04115"	"p53 signaling pathway"	"2.158"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"2.121"
"hsa05152"	"Tuberculosis"	"2.119"
"hsa04371"	"Apelin signaling pathway"	"2.112"
"hsa04658"	"Th1 and Th2 cell differentiation"	"2.112"
"hsa04137"	"Mitophagy - animal"	"2.01"
"hsa05133"	"Pertussis"	"1.912"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"1.878"
"hsa05230"	"Central carbon metabolism in cancer"	"1.838"
"hsa04725"	"Cholinergic synapse"	"1.838"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"1.784"
"hsa04114"	"Oocyte meiosis"	"1.769"
"hsa05140"	"Leishmaniasis"	"1.729"
"hsa04270"	"Vascular smooth muscle contraction"	"1.723"
"hsa04910"	"Insulin signaling pathway"	"1.718"
"hsa05020"	"Prion diseases"	"1.654"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"1.638"
"hsa05030"	"Cocaine addiction"	"1.593"
"hsa04211"	"Longevity regulating pathway"	"1.515"
"hsa05031"	"Amphetamine addiction"	"1.504"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"1.504"
"hsa04713"	"Circadian entrainment"	"1.502"
"hsa04730"	"Long-term depression"	"1.456"
"hsa04931"	"Insulin resistance"	"1.441"
"hsa04620"	"Toll-like receptor signaling pathway"	"1.423"
"hsa04340"	"Hedgehog signaling pathway"	"1.395"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"1.38"
"hsa04140"	"Autophagy - animal"	"1.377"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"1.366"
"hsa05162"	"Measles"	"1.359"
"hsa04150"	"mTOR signaling pathway"	"1.352"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"1.35"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"1.344"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"1.33"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"1.287"
"hsa05146"	"Amoebiasis"	"1.234"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"1.228"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"1.227"
"hsa05416"	"Viral myocarditis"	"1.196"
"hsa04726"	"Serotonergic synapse"	"1.195"
"hsa04657"	"IL-17 signaling pathway"	"1.142"
"hsa04930"	"Type II diabetes mellitus"	"1.11"
"hsa04022"	"cGMP-PKG signaling pathway"	"1.106"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"1.102"
"hsa05016"	"Huntington,s disease"	"1.062"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"1.04"
