userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000151694	ADAM17	ADAM metallopeptidase domain 17	6868	https://www.ncbi.nlm.nih.gov/gene/?term=6868
ENSG00000103126	AXIN1	axin 1	8312	https://www.ncbi.nlm.nih.gov/gene/?term=8312
ENSG00000168646	AXIN2	axin 2	8313	https://www.ncbi.nlm.nih.gov/gene/?term=8313
ENSG00000118971	CCND2	cyclin D2	894	https://www.ncbi.nlm.nih.gov/gene/?term=894
ENSG00000213923	CSNK1E	casein kinase 1 epsilon	1454	https://www.ncbi.nlm.nih.gov/gene/?term=1454
ENSG00000168036	CTNNB1	catenin beta 1	1499	https://www.ncbi.nlm.nih.gov/gene/?term=1499
ENSG00000055130	CUL1	cullin 1	8454	https://www.ncbi.nlm.nih.gov/gene/?term=8454
ENSG00000107984	DKK1	dickkopf WNT signaling pathway inhibitor 1	22943	https://www.ncbi.nlm.nih.gov/gene/?term=22943
ENSG00000104371	DKK4	dickkopf WNT signaling pathway inhibitor 4	27121	https://www.ncbi.nlm.nih.gov/gene/?term=27121
ENSG00000198719	DLL1	delta like canonical Notch ligand 1	28514	https://www.ncbi.nlm.nih.gov/gene/?term=28514
ENSG00000275555	DLL1	delta like canonical Notch ligand 1	28514	https://www.ncbi.nlm.nih.gov/gene/?term=28514
ENSG00000004975	DVL2	dishevelled segment polarity protein 2	1856	https://www.ncbi.nlm.nih.gov/gene/?term=1856
ENSG00000165879	FRAT1	FRAT1, WNT signaling pathway regulator	10023	https://www.ncbi.nlm.nih.gov/gene/?term=10023
ENSG00000157240	FZD1	frizzled class receptor 1	8321	https://www.ncbi.nlm.nih.gov/gene/?term=8321
ENSG00000177283	FZD8	frizzled class receptor 8	8325	https://www.ncbi.nlm.nih.gov/gene/?term=8325
ENSG00000127955	GNAI1	G protein subunit alpha i1	2770	https://www.ncbi.nlm.nih.gov/gene/?term=2770
ENSG00000163517	HDAC11	histone deacetylase 11	79885	https://www.ncbi.nlm.nih.gov/gene/?term=79885
ENSG00000196591	HDAC2	histone deacetylase 2	3066	https://www.ncbi.nlm.nih.gov/gene/?term=3066
ENSG00000108840	HDAC5	histone deacetylase 5	10014	https://www.ncbi.nlm.nih.gov/gene/?term=10014
ENSG00000164683	HEY1	hes related family bHLH transcription factor with YRPW motif 1	23462	https://www.ncbi.nlm.nih.gov/gene/?term=23462
ENSG00000135547	HEY2	hes related family bHLH transcription factor with YRPW motif 2	23493	https://www.ncbi.nlm.nih.gov/gene/?term=23493
ENSG00000101384	JAG1	jagged canonical Notch ligand 1	182	https://www.ncbi.nlm.nih.gov/gene/?term=182
ENSG00000184916	JAG2	jagged canonical Notch ligand 2	3714	https://www.ncbi.nlm.nih.gov/gene/?term=3714
ENSG00000108773	KAT2A	lysine acetyltransferase 2A	2648	https://www.ncbi.nlm.nih.gov/gene/?term=2648
ENSG00000138795	LEF1	lymphoid enhancer binding factor 1	51176	https://www.ncbi.nlm.nih.gov/gene/?term=51176
ENSG00000161021	MAML1	mastermind like transcriptional coactivator 1	9794	https://www.ncbi.nlm.nih.gov/gene/?term=9794
ENSG00000136997	MYC	MYC proto-oncogene, bHLH transcription factor	4609	https://www.ncbi.nlm.nih.gov/gene/?term=4609
ENSG00000196498	NCOR2	nuclear receptor corepressor 2	9612	https://www.ncbi.nlm.nih.gov/gene/?term=9612
ENSG00000162736	NCSTN	nicastrin	23385	https://www.ncbi.nlm.nih.gov/gene/?term=23385
ENSG00000140807	NKD1	NKD1, WNT signaling pathway inhibitor	85407	https://www.ncbi.nlm.nih.gov/gene/?term=85407
ENSG00000148400	NOTCH1	notch receptor 1	4851	https://www.ncbi.nlm.nih.gov/gene/?term=4851
ENSG00000204301	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000206312	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000223355	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000232339	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000234876	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000235396	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000238196	NOTCH4	notch receptor 4	4855	https://www.ncbi.nlm.nih.gov/gene/?term=4855
ENSG00000133961	NUMB	NUMB, endocytic adaptor protein	8650	https://www.ncbi.nlm.nih.gov/gene/?term=8650
ENSG00000112033	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
ENSG00000143801	PSEN2	presenilin 2	5664	https://www.ncbi.nlm.nih.gov/gene/?term=5664
ENSG00000185920	PTCH1	patched 1	5727	https://www.ncbi.nlm.nih.gov/gene/?term=5727
ENSG00000168214	RBPJ	recombination signal binding protein for immunoglobulin kappa J region	3516	https://www.ncbi.nlm.nih.gov/gene/?term=3516
ENSG00000145604	SKP2	S-phase kinase associated protein 2	6502	https://www.ncbi.nlm.nih.gov/gene/?term=6502
ENSG00000081059	TCF7	transcription factor 7	6932	https://www.ncbi.nlm.nih.gov/gene/?term=6932
ENSG00000141510	TP53	tumor protein p53	7157	https://www.ncbi.nlm.nih.gov/gene/?term=7157
ENSG00000125084	WNT1	Wnt family member 1	7471	https://www.ncbi.nlm.nih.gov/gene/?term=7471
ENSG00000111186	WNT5B	Wnt family member 5B	81029	https://www.ncbi.nlm.nih.gov/gene/?term=81029
ENSG00000115596	WNT6	Wnt family member 6	7475	https://www.ncbi.nlm.nih.gov/gene/?term=7475
