"Set","J.BP","J.CC","J.MF"
"HALLMARK_ADIPOGENESIS","0.08","0.11","0.07"
"HALLMARK_ALLOGRAFT_REJECTION","0.19","0.17","0.15"
"HALLMARK_ANDROGEN_RESPONSE","0.04","0.11","0.06"
"HALLMARK_ANGIOGENESIS","0.1","0.1","0.06"
"HALLMARK_APICAL_JUNCTION","0.13","0.22","0.09"
"HALLMARK_APICAL_SURFACE","0.04","0.1","0.04"
"HALLMARK_APOPTOSIS","0.17","0.14","0.13"
"HALLMARK_BILE_ACID_METABOLISM","0.09","0.09","0.1"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","0.05","0.07","0.03"
"HALLMARK_COAGULATION","0.13","0.14","0.1"
"HALLMARK_COMPLEMENT","0.14","0.14","0.11"
"HALLMARK_DNA_REPAIR","0.11","0.15","0.11"
"HALLMARK_E2F_TARGETS","0.16","0.25","0.15"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","0.16","0.19","0.13"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","0.08","0.09","0.07"
"HALLMARK_ESTROGEN_RESPONSE_LATE","0.08","0.13","0.03"
"HALLMARK_FATTY_ACID_METABOLISM","0.08","0.1","0.09"
"HALLMARK_G2M_CHECKPOINT","0.16","0.21","0.14"
"HALLMARK_GLYCOLYSIS","0.08","0.08","0.1"
"HALLMARK_HEDGEHOG_SIGNALING","0.12","0.09","0.08"
"HALLMARK_HEME_METABOLISM","0.05","0.08","0.05"
"HALLMARK_HYPOXIA","0.1","0.11","0.07"
"HALLMARK_IL2_STAT5_SIGNALING","0.12","0.11","0.11"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","0.15","0.08","0.1"
"HALLMARK_INFLAMMATORY_RESPONSE","0.15","0.1","0.08"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","0.1","0.06","0.05"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","0.16","0.14","0.09"
"HALLMARK_KRAS_SIGNALING_DN","0.06","0.07","0.04"
"HALLMARK_KRAS_SIGNALING_UP","0.12","0.09","0.09"
"HALLMARK_MITOTIC_SPINDLE","0.15","0.21","0.15"
"HALLMARK_MTORC1_SIGNALING","0.09","0.09","0.08"
"HALLMARK_MYC_TARGETS_V1","0.09","0.21","0.11"
"HALLMARK_MYC_TARGETS_V2","0.05","0.1","0.05"
"HALLMARK_MYOGENESIS","0.1","0.2","0.1"
"HALLMARK_NOTCH_SIGNALING","0.11","0.1","0.08"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","0.09","0.17","0.09"
"HALLMARK_P53_PATHWAY","0.12","0.12","0.1"
"HALLMARK_PANCREAS_BETA_CELLS","0.05","0.05","0.08"
"HALLMARK_PEROXISOME","0.08","0.06","0.11"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","0.13","0.15","0.13"
"HALLMARK_PROTEIN_SECRETION","0.09","0.2","0.06"
"HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","0.05","0.07","0.08"
"HALLMARK_SPERMATOGENESIS","0.05","0.06","0.03"
"HALLMARK_TGF_BETA_SIGNALING","0.15","0.16","0.15"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","0.16","0.08","0.13"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","0.09","0.14","0.11"
"HALLMARK_UV_RESPONSE_DN","0.13","0.12","0.09"
"HALLMARK_UV_RESPONSE_UP","0.04","0.07","0.04"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","0.14","0.13","0.14"
"HALLMARK_XENOBIOTIC_METABOLISM","0.09","0.11","0.09"
