"HALLMARK_ADIPOGENESIS","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_ANGIOGENESIS","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_APOPTOSIS","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_COAGULATION","HALLMARK_COMPLEMENT","HALLMARK_DNA_REPAIR","HALLMARK_E2F_TARGETS","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_G2M_CHECKPOINT","HALLMARK_GLYCOLYSIS","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_HEME_METABOLISM","HALLMARK_HYPOXIA","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_MITOTIC_SPINDLE","HALLMARK_MTORC1_SIGNALING","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_MYOGENESIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_P53_PATHWAY","HALLMARK_PANCREAS_BETA_CELLS","HALLMARK_PEROXISOME","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_PROTEIN_SECRETION","HALLMARK_REACTIVE_OXIGEN_SPECIES_PATHWAY","HALLMARK_SPERMATOGENESIS","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_UV_RESPONSE_DN","HALLMARK_UV_RESPONSE_UP","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_XENOBIOTIC_METABOLISM"
"HALLMARK_ADIPOGENESIS",200,1,2,1,2,1,7,9,4,1,4,2,2,3,4,8,29,1,10,0,5,11,7,2,1,0,2,0,4,1,14,3,1,9,0,41,4,0,10,0,3,4,2,0,6,3,3,6,0,16
"HALLMARK_ALLOGRAFT_REJECTION",1,200,4,3,7,5,18,1,0,6,15,2,3,9,2,2,1,3,2,2,1,4,17,22,37,12,37,6,13,3,4,5,1,2,0,0,10,0,1,11,2,0,0,3,19,2,2,5,1,6
"HALLMARK_ANDROGEN_RESPONSE",2,4,101,1,3,1,5,3,4,0,1,1,2,3,9,9,7,1,2,1,4,3,4,0,2,1,2,3,5,1,11,2,3,2,1,0,4,0,4,2,4,1,1,1,9,2,5,1,0,3
"HALLMARK_ANGIOGENESIS",1,3,1,36,3,1,5,0,2,4,2,0,0,12,0,1,0,0,3,2,0,3,5,2,3,0,0,0,3,0,1,0,0,2,1,0,5,0,0,0,0,0,0,0,4,1,4,1,3,1
"HALLMARK_APICAL_JUNCTION",2,7,3,3,200,5,2,0,3,8,6,1,1,17,3,4,3,2,6,4,1,4,2,0,3,0,4,4,7,14,4,0,0,12,0,0,4,1,3,6,1,0,2,2,4,1,9,2,1,1
"HALLMARK_APICAL_SURFACE",1,5,1,1,5,44,3,0,1,0,4,0,1,3,1,0,1,1,1,1,0,2,1,1,5,0,1,1,3,1,1,0,0,1,0,0,1,0,0,1,1,0,1,0,2,0,0,1,0,0
"HALLMARK_APOPTOSIS",7,18,5,5,2,3,161,3,8,9,14,2,7,18,6,9,2,4,9,0,5,15,13,12,16,7,18,3,9,7,10,2,0,9,2,6,21,0,6,6,5,5,2,5,29,2,7,20,4,7
"HALLMARK_BILE_ACID_METABOLISM",9,1,3,0,0,0,3,112,3,1,1,0,0,0,5,5,11,0,3,0,4,2,1,0,3,0,1,3,3,0,6,0,0,2,0,4,3,0,39,1,2,3,0,1,1,0,3,0,0,12
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",4,0,4,2,3,1,8,3,74,3,6,0,0,2,4,5,7,2,3,0,0,7,3,2,2,1,1,0,2,0,19,0,1,3,1,1,2,0,3,1,0,0,0,1,6,1,2,2,3,2
"HALLMARK_COAGULATION",1,6,0,4,8,0,9,1,3,138,57,1,0,18,1,6,1,0,2,1,4,5,5,4,9,1,5,3,10,1,3,0,0,5,0,1,2,1,0,1,1,0,0,4,7,0,4,3,0,11
"HALLMARK_COMPLEMENT",4,15,1,2,6,4,14,1,6,57,200,1,0,12,2,6,4,0,5,2,5,11,6,7,21,8,23,3,10,1,5,0,0,5,0,3,4,1,0,4,2,1,1,1,16,2,3,10,1,10
"HALLMARK_DNA_REPAIR",2,2,1,0,1,0,2,0,0,1,1,150,15,0,1,1,0,2,1,0,2,0,3,0,2,1,3,1,0,1,3,8,0,1,1,4,10,0,2,0,2,2,1,0,1,0,0,3,1,2
"HALLMARK_E2F_TARGETS",2,3,2,0,1,1,7,0,0,0,0,15,200,1,1,4,2,73,7,0,1,2,2,0,2,0,2,1,0,19,14,35,12,1,0,0,7,0,3,4,2,1,6,0,2,6,2,3,2,0
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",3,9,3,12,17,3,18,0,2,18,12,0,1,200,6,8,2,2,14,3,1,18,10,8,13,1,5,1,9,3,2,1,0,20,2,0,7,0,1,0,1,0,0,5,22,1,20,7,2,5
"HALLMARK_ESTROGEN_RESPONSE_EARLY",4,2,9,0,3,1,6,5,4,1,2,1,1,6,200,101,3,3,8,1,4,13,12,3,5,1,1,3,2,3,10,1,3,10,2,0,8,0,5,3,2,0,0,3,13,5,7,9,2,5
"HALLMARK_ESTROGEN_RESPONSE_LATE",8,2,9,1,4,0,9,5,5,6,6,1,4,8,101,200,6,8,8,0,2,12,8,4,1,1,3,5,8,4,11,2,3,6,1,3,9,0,5,2,1,0,2,4,12,4,4,11,1,11
"HALLMARK_FATTY_ACID_METABOLISM",29,1,7,0,3,1,2,11,7,1,4,0,2,2,3,6,158,3,13,0,6,7,4,1,0,2,2,1,3,0,10,4,0,4,0,31,3,0,25,0,0,1,1,0,1,0,2,9,0,25
"HALLMARK_G2M_CHECKPOINT",1,3,1,0,2,1,4,0,2,0,0,2,73,2,3,8,3,200,7,2,3,3,4,1,3,0,3,2,0,39,9,29,6,2,4,0,1,0,2,4,0,0,11,2,5,6,9,3,2,1
