SIZE,SET
136,KEGG.OXIDATIVE.PHOSPHORYLATION
61,KEGG_ACUTE_MYELOID_LEIKEMIA
39,KEGG_ALLOGRAFT_REJECTION
170,KEGG_ALZHEIMERS_DISEASE
31,KEGG_ASHMA
54,KEGG_AUTOIMMUNE_THYROID_DISEASE
56,KEGG_BASAL_CELL_CARCINOMA
43,KEGG_BLADDER_CANCER
74,KEGG_CHRONIC_MYELOID_LEUKEMIA
63,KEGG_COLORECTAL_CANCER
93,KEGG_DILATED_CARDIOMYOPATHY
53,KEGG_ENDOMETRIAL_CANCER
43,KEGG_GRAFT_VS_HOST_DISEASE
86,KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM
73,KEGG_LEISHMANIA_INFECTION
72,KEGG_MELANOMA
71,KEGG_PANCREATIC_CANCER
134,KEGG_PARKINSONS_DISEASE
60,KEGG_PATHOGENIC_ECOLI_INFECTION
329,KEGG_PATHWAYS_IN_CANCER
36,KEGG_PRIMARY_IMMUNODEFICIENCY
36,KEGG_PRION_DISEASE
87,KEGG_PROGESTERONE_OOCYTE_MATURATION
90,KEGG_PROSTATE_CANCER
85,KEGG_SMALL_CELL_LUNG_CANCER
141,KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS
109,KEGG_T_CELL_RECEPTOR_PATHWAY
53,KEGG_TASTE_TRANSDUCTION
30,KEGG_THYROID_CANCER
48,KEGG_TYPEII_DIABETES_MELLITUS
45,KEGG_TYPEI_DIABETES_MELLITUS
57,KEGG_VIBRIO_CHOLERAE_INFECTION
74,KEGG_VIRAL_MYOCARDITIS
