"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005201"	"extracellular matrix structural constituent"	"72.791"	"1.410188691245815E-29"
"GO:0030020"	"extracellular matrix structural constituent conferring tensile strength"	"51.214"	NA
"GO:0005518"	"collagen binding"	"40.616"	"7.529114629407632E-21"
"GO:0005178"	"integrin binding"	"38.805"	"6.262089121642908E-18"
"GO:0050840"	"extracellular matrix binding"	"34.414"	"2.8581399197184167E-24"
"GO:0048407"	"platelet-derived growth factor binding"	"31.789"	"4.723879645514118E-6"
"GO:0030023"	"extracellular matrix constituent conferring elasticity"	"31.659"	"0.0012195481436303222"
"GO:0005509"	"calcium ion binding"	"29.358"	"3.842003672273237E-12"
"GO:0001968"	"fibronectin binding"	"28.777"	"1.108444203512354E-13"
"GO:0008201"	"heparin binding"	"26.553"	"9.78420136097346E-22"
