ID	Term	pValue
GO:0007399	nervous system development	9.96492127426387e-09
GO:0048731	system development	1.95454145076606e-08
GO:0007275	multicellular organism development	1.03447575110635e-07
GO:0048856	anatomical structure development	4.63898463914523e-07
GO:0044767	single-organism developmental process	4.66109525893466e-07
GO:0032502	developmental process	6.73413020622986e-07
GO:0044707	single-multicellular organism process	1.35536669913862e-06
GO:0048870	cell motility	1.36085830582465e-06
GO:0051674	localization of cell	1.36085830582465e-06
GO:0048699	generation of neurons	1.5866945111214e-06
GO:0009653	anatomical structure morphogenesis	1.58875063333781e-06
GO:0030154	cell differentiation	2.54828088515958e-06
GO:0022008	neurogenesis	2.58841927105019e-06
GO:0040011	locomotion	3.95335257862861e-06
GO:0048869	cellular developmental process	6.48239252307392e-06
GO:0032501	multicellular organismal process	1.19914622302878e-05
GO:0030182	neuron differentiation	1.26096457831593e-05
GO:0006928	movement of cell or subcellular component	1.31795223779214e-05
GO:0048667	cell morphogenesis involved in neuron differentiation	2.33035164997869e-05
GO:0007166	cell surface receptor signaling pathway	2.47713600280619e-05
GO:0007417	central nervous system development	2.96350303677527e-05
GO:0048812	neuron projection morphogenesis	3.60163591736549e-05
GO:0003002	regionalization	8.99557888148976e-05
GO:0048513	animal organ development	9.24588562306179e-05
GO:0016477	cell migration	0.000135224978193315
GO:0048523	negative regulation of cellular process	0.000155972476622602
GO:0000904	cell morphogenesis involved in differentiation	0.000170434056505159
GO:0040012	regulation of locomotion	0.000186996976120611
GO:0051960	regulation of nervous system development	0.000188143738016049
GO:0007409	axonogenesis	0.000216190700800672
GO:0048858	cell projection morphogenesis	0.000222519305558814
GO:0032990	cell part morphogenesis	0.000249895786329994
GO:0031175	neuron projection development	0.000249895786329994
GO:0007389	pattern specification process	0.000266057730966967
GO:0061564	axon development	0.000287668151904923
GO:0048519	negative regulation of biological process	0.000300670057938273
GO:0048666	neuron development	0.000541579419583463
GO:0044700	single organism signaling	0.000598599929334462
GO:0023052	signaling	0.000651626523859124
GO:0007154	cell communication	0.000667368857022171
GO:2000026	regulation of multicellular organismal development	0.00104311134647932
GO:0030334	regulation of cell migration	0.00146142502316368
GO:0000902	cell morphogenesis	0.00169666080835714
GO:2000145	regulation of cell motility	0.00190580759607776
GO:0030030	cell projection organization	0.00210366470720104
GO:0048468	cell development	0.00212120417888456
GO:0007165	signal transduction	0.00215327050901378
GO:0032989	cellular component morphogenesis	0.00225176177542162
GO:0051179	localization	0.00248665762040576
GO:0048522	positive regulation of cellular process	0.00254427876932443
GO:0051270	regulation of cellular component movement	0.00261197162213144
GO:0050793	regulation of developmental process	0.00319378885706797
GO:0010975	regulation of neuron projection development	0.00351549085743949
GO:0007267	cell-cell signaling	0.00414586537083288
GO:0045595	regulation of cell differentiation	0.00447742495584316
GO:0051128	regulation of cellular component organization	0.00499435126625187
GO:0009887	organ morphogenesis	0.00563070710112861
GO:0048518	positive regulation of biological process	0.00575703913222059
GO:0032879	regulation of localization	0.00685058176367663
GO:0022603	regulation of anatomical structure morphogenesis	0.00691412469440457
GO:0050770	regulation of axonogenesis	0.00721895379218112
GO:0021953	central nervous system neuron differentiation	0.00763969770641996
GO:0006935	chemotaxis	0.0078988534538929
GO:0042330	taxis	0.00793835857228838
GO:0045664	regulation of neuron differentiation	0.00821823117931403
GO:0048598	embryonic morphogenesis	0.00866988818183016
GO:0031344	regulation of cell projection organization	0.00871167005670791
GO:0048646	anatomical structure formation involved in morphogenesis	0.00951881644296417
GO:0051239	regulation of multicellular organismal process	0.00982702673637912
GO:0051716	cellular response to stimulus	0.0100312082911295
GO:0009952	anterior/posterior pattern specification	0.0100988638343546
GO:0050896	response to stimulus	0.0103972278319975
GO:0007411	axon guidance	0.0124363751703833
GO:0097485	neuron projection guidance	0.0125429475567542
GO:0050767	regulation of neurogenesis	0.0140629226780901
GO:0007420	brain development	0.014174380281515
GO:0060322	head development	0.0162691818036986
GO:0044763	single-organism cellular process	0.0166515699423569
GO:0051961	negative regulation of nervous system development	0.0171331930525579
GO:0051093	negative regulation of developmental process	0.0174429163255859
GO:0050794	regulation of cellular process	0.0193869180805265
GO:0001702	gastrulation with mouth forming second	0.0214690319804725
GO:0008544	epidermis development	0.0217903007823543
GO:0010605	negative regulation of macromolecule metabolic process	0.0249061053780934
GO:0021696	cerebellar cortex morphogenesis	0.025257716572544
GO:0060284	regulation of cell development	0.0253341566164373
GO:0031324	negative regulation of cellular metabolic process	0.025727528626488
GO:0006898	receptor-mediated endocytosis	0.0267698872199868
GO:0010769	regulation of cell morphogenesis involved in differentiation	0.0273662830735182
GO:0050673	epithelial cell proliferation	0.0285754722997806
GO:0050789	regulation of biological process	0.0297374104493462
GO:0021587	cerebellum morphogenesis	0.0297862629789003
GO:0021575	hindbrain morphogenesis	0.0327944960373
GO:0009790	embryo development	0.0340775962535282
GO:0009892	negative regulation of metabolic process	0.0342757265940132
GO:0021517	ventral spinal cord development	0.0350450180593153
GO:0009948	anterior/posterior axis specification	0.0365426795768918
GO:0021695	cerebellar cortex development	0.0387851491708858
GO:0009888	tissue development	0.0393987217851746
GO:0051241	negative regulation of multicellular organismal process	0.0401298618315352
GO:0045944	positive regulation of transcription from RNA polymerase II promoter	0.0425754290941674
GO:0006366	transcription from RNA polymerase II promoter	0.0441734197582888
GO:0060429	epithelium development	0.0445659730835056
GO:0006357	regulation of transcription from RNA polymerase II promoter	0.0453403117163146
GO:0051962	positive regulation of nervous system development	0.045798929046188
GO:0008283	cell proliferation	0.0474061651940663
GO:0016055	Wnt signaling pathway	0.0493525926595367
GO:0009306	protein secretion	0.0495424349118483
GO:0198738	cell-cell signaling by wnt	0.0495424349118483
