goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0007417	central nervous system development	874	10	APP|0;COL4A1|0;ATN1|0;GLI1|1;RBPJ|0;NKX6-1|1;OPHN1|1;SLIT1|1;UNC5C|1;CELSR1|1	1.0436187399030696	9.582043343653249	9.469246498028383e-9	1.5015384171923607e-4
GO:0007399	nervous system development	2091	12	ACHE|1;APP|0;COL4A1|0;ATN1|0;GLI1|1;RBPJ|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1;CELSR1|1	2.4968041019877787	4.8061439783948	2.9441791604689627e-7	0.002334292447377817
GO:0050808	synapse organization	352	6	ACHE|1;APP|0;COL4A1|0;NTRK1|0;OPHN1|1;SLIT1|1	0.4203132682447145	14.275066844919786	2.1516287325162864e-6	0.011372792270503584
GO:0007420	brain development	654	7	APP|0;COL4A1|0;GLI1|1;RBPJ|0;OPHN1|1;SLIT1|1;UNC5C|1	0.780922947250123	8.96375247346645	5.430270180739605e-6	0.014293266726052245
GO:0007409	axonogenesis	422	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.503898293179743	11.907164761639251	6.137194356936604e-6	0.014293266726052245
GO:0007411	axon guidance	240	5	APP|0;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.286577228348669	17.447303921568626	6.8475848853388754e-6	0.014293266726052245
GO:0097485	neuron projection guidance	241	5	APP|0;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.2877713001334551	17.37490846961191	6.987701428595727e-6	0.014293266726052245
GO:0051091	positive regulation of DNA-binding transcription factor activity	248	5	APP|0;NKX6-1|1;NPM1|0;NTRK1|0;TRIM25|0	0.2961298026269579	16.884487666034154	8.03276932992425e-6	0.014293266726052245
GO:0060322	head development	695	7	APP|0;COL4A1|0;GLI1|1;RBPJ|0;OPHN1|1;SLIT1|1;UNC5C|1	0.8298798904263539	8.434955564959797	8.11246771359464e-6	0.014293266726052245
GO:0061564	axon development	462	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.5516611645711877	10.87624140565317	1.0316705394530779e-5	0.016359199744107458
GO:0007416	synapse assembly	140	4	ACHE|1;APP|0;NTRK1|0;SLIT1|1	0.1671700498700569	23.927731092436975	1.9300740203398448e-5	0.026348608091404668
GO:0051092	positive regulation of NF-kappaB transcription factor activity	144	4	APP|0;NPM1|0;NTRK1|0;TRIM25|0	0.1719463370092014	23.263071895424833	2.1565663763434273e-5	0.026348608091404668
GO:0048667	cell morphogenesis involved in neuron differentiation	526	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.6280817587974995	9.552896443748601	2.160130574435648e-5	0.026348608091404668
GO:0048812	neuron projection morphogenesis	586	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.6997260658846668	8.574784179883556	3.976510859482474e-5	0.04275386518620611
GO:0030900	forebrain development	347	5	APP|0;GLI1|1;RBPJ|0;OPHN1|1;SLIT1|1	0.4143429093207839	12.067299542295304	4.061911207031699e-5	0.04275386518620611
GO:0120039	plasma membrane bounded cell projection morphogenesis	600	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.7164430708716725	8.37470588235294	4.540898737581678e-5	0.04275386518620611
GO:0048858	cell projection morphogenesis	601	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.7176371426564586	8.360771263580306	4.583563777293964e-5	0.04275386518620611
GO:0032990	cell part morphogenesis	619	6	APP|0;NKX6-1|1;NTRK1|0;OPHN1|1;SLIT1|1;UNC5C|1	0.7391304347826088	8.117647058823529	5.408617411339911e-5	0.04764691460645387
