userId	geneSymbol	geneName	entrezgene	gLink
ENSG00000117362	APH1A	aph-1 homolog A, gamma-secretase subunit	51107	https://www.ncbi.nlm.nih.gov/gene/?term=51107
ENSG00000137486	ARRB1	arrestin beta 1	408	https://www.ncbi.nlm.nih.gov/gene/?term=408
ENSG00000110092	CCND1	cyclin D1	595	https://www.ncbi.nlm.nih.gov/gene/?term=595
ENSG00000055130	CUL1	cullin 1	8454	https://www.ncbi.nlm.nih.gov/gene/?term=8454
ENSG00000198719	DLL1	delta like canonical Notch ligand 1	28514	https://www.ncbi.nlm.nih.gov/gene/?term=28514
ENSG00000275555	DLL1	delta like canonical Notch ligand 1	28514	https://www.ncbi.nlm.nih.gov/gene/?term=28514
ENSG00000135144	DTX1	deltex E3 ubiquitin ligase 1	1840	https://www.ncbi.nlm.nih.gov/gene/?term=1840
ENSG00000091073	DTX2	deltex E3 ubiquitin ligase 2	113878	https://www.ncbi.nlm.nih.gov/gene/?term=113878
ENSG00000282379	DTX2	deltex E3 ubiquitin ligase 2	113878	https://www.ncbi.nlm.nih.gov/gene/?term=113878
ENSG00000110042	DTX4	deltex E3 ubiquitin ligase 4	23220	https://www.ncbi.nlm.nih.gov/gene/?term=23220
ENSG00000072803	FBXW11	F-box and WD repeat domain containing 11	23291	https://www.ncbi.nlm.nih.gov/gene/?term=23291
ENSG00000157240	FZD1	frizzled class receptor 1	8321	https://www.ncbi.nlm.nih.gov/gene/?term=8321
ENSG00000163251	FZD5	frizzled class receptor 5	7855	https://www.ncbi.nlm.nih.gov/gene/?term=7855
ENSG00000155760	FZD7	frizzled class receptor 7	8324	https://www.ncbi.nlm.nih.gov/gene/?term=8324
ENSG00000114315	HES1	hes family bHLH transcription factor 1	3280	https://www.ncbi.nlm.nih.gov/gene/?term=3280
ENSG00000163909	HEYL	hes related family bHLH transcription factor with YRPW motif-like	26508	https://www.ncbi.nlm.nih.gov/gene/?term=26508
ENSG00000101384	JAG1	jagged canonical Notch ligand 1	182	https://www.ncbi.nlm.nih.gov/gene/?term=182
ENSG00000108773	KAT2A	lysine acetyltransferase 2A	2648	https://www.ncbi.nlm.nih.gov/gene/?term=2648
ENSG00000106003	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	3955	https://www.ncbi.nlm.nih.gov/gene/?term=3955
ENSG00000184384	MAML2	mastermind like transcriptional coactivator 2	84441	https://www.ncbi.nlm.nih.gov/gene/?term=84441
ENSG00000148400	NOTCH1	notch receptor 1	4851	https://www.ncbi.nlm.nih.gov/gene/?term=4851
ENSG00000134250	NOTCH2	notch receptor 2	4853	https://www.ncbi.nlm.nih.gov/gene/?term=4853
ENSG00000074181	NOTCH3	notch receptor 3	4854	https://www.ncbi.nlm.nih.gov/gene/?term=4854
ENSG00000112033	PPARD	peroxisome proliferator activated receptor delta	5467	https://www.ncbi.nlm.nih.gov/gene/?term=5467
ENSG00000154229	PRKCA	protein kinase C alpha	5578	https://www.ncbi.nlm.nih.gov/gene/?term=5578
ENSG00000143801	PSEN2	presenilin 2	5664	https://www.ncbi.nlm.nih.gov/gene/?term=5664
ENSG00000205155	PSENEN	presenilin enhancer, gamma-secretase subunit	55851	https://www.ncbi.nlm.nih.gov/gene/?term=55851
ENSG00000100387	RBX1	ring-box 1	9978	https://www.ncbi.nlm.nih.gov/gene/?term=9978
ENSG00000164105	SAP30	Sin3A associated protein 30	8819	https://www.ncbi.nlm.nih.gov/gene/?term=8819
ENSG00000113558	SKP1	S-phase kinase associated protein 1	6500	https://www.ncbi.nlm.nih.gov/gene/?term=6500
ENSG00000064225	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6	10402	https://www.ncbi.nlm.nih.gov/gene/?term=10402
ENSG00000148737	TCF7L2	transcription factor 7 like 2	6934	https://www.ncbi.nlm.nih.gov/gene/?term=6934
ENSG00000105989	WNT2	Wnt family member 2	7472	https://www.ncbi.nlm.nih.gov/gene/?term=7472
ENSG00000114251	WNT5A	Wnt family member 5A	7474	https://www.ncbi.nlm.nih.gov/gene/?term=7474
