"ID"	"Pathway"	"Z-score"
"hsa04115"	"p53 signaling pathway"	"19.611"
"hsa05200"	"Pathways in cancer"	"18.31"
"hsa04110"	"Cell cycle"	"18.283"
"hsa05161"	"Hepatitis B"	"17.954"
"hsa05212"	"Pancreatic cancer"	"17.647"
"hsa05220"	"Chronic myeloid leukemia"	"17.41"
"hsa04218"	"Cellular senescence"	"16.128"
"hsa05206"	"MicroRNAs in cancer"	"15.975"
"hsa04068"	"FoxO signaling pathway"	"15.846"
"hsa05210"	"Colorectal cancer"	"15.807"
"hsa05202"	"Transcriptional misregulation in cancer"	"14.979"
"hsa05222"	"Small cell lung cancer"	"14.914"
"hsa05165"	"Human papillomavirus infection"	"14.812"
"hsa05218"	"Melanoma"	"14.808"
"hsa05215"	"Prostate cancer"	"14.683"
"hsa05226"	"Gastric cancer"	"14.374"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"14.363"
"hsa05225"	"Hepatocellular carcinoma"	"14.024"
"hsa05223"	"Non-small cell lung cancer"	"13.835"
"hsa04350"	"TGF-beta signaling pathway"	"13.769"
"hsa05224"	"Breast cancer"	"13.155"
"hsa04919"	"Thyroid hormone signaling pathway"	"13.028"
"hsa05219"	"Bladder cancer"	"12.875"
"hsa05213"	"Endometrial cancer"	"12.78"
"hsa05166"	"HTLV-I infection"	"12.659"
"hsa04151"	"PI3K-Akt signaling pathway"	"12.183"
"hsa05214"	"Glioma"	"11.892"
"hsa04630"	"Jak-STAT signaling pathway"	"11.298"
"hsa05203"	"Viral carcinogenesis"	"11.201"
"hsa05221"	"Acute myeloid leukemia"	"11.157"
"hsa05216"	"Thyroid cancer"	"11.006"
"hsa04210"	"Apoptosis"	"10.622"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"10.309"
"hsa05205"	"Proteoglycans in cancer"	"10.278"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"10.265"
"hsa04659"	"Th17 cell differentiation"	"9.885"
"hsa05160"	"Hepatitis C"	"9.697"
"hsa04668"	"TNF signaling pathway"	"9.396"
"hsa04380"	"Osteoclast differentiation"	"9.243"
"hsa05152"	"Tuberculosis"	"9.104"
"hsa05211"	"Renal cell carcinoma"	"9.081"
"hsa04012"	"ErbB signaling pathway"	"8.929"
"hsa04510"	"Focal adhesion"	"8.912"
"hsa04722"	"Neurotrophin signaling pathway"	"8.644"
"hsa04625"	"C-type lectin receptor signaling pathway"	"8.383"
"hsa04917"	"Prolactin signaling pathway"	"8.315"
"hsa03420"	"Nucleotide excision repair"	"8.297"
"hsa04620"	"Toll-like receptor signaling pathway"	"8.06"
"hsa04330"	"Notch signaling pathway"	"7.873"
"hsa04010"	"MAPK signaling pathway"	"7.827"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"7.794"
"hsa05168"	"Herpes simplex infection"	"7.691"
"hsa04215"	"Apoptosis - multiple species"	"7.648"
"hsa04211"	"Longevity regulating pathway"	"7.524"
"hsa04934"	"Cushing,s syndrome"	"7.479"
"hsa04931"	"Insulin resistance"	"7.477"
"hsa04390"	"Hippo signaling pathway"	"7.316"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"7.275"
"hsa04310"	"Wnt signaling pathway"	"7.26"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"7.241"
"hsa05140"	"Leishmaniasis"	"7.11"
"hsa05217"	"Basal cell carcinoma"	"7.103"
"hsa05231"	"Choline metabolism in cancer"	"6.977"
"hsa04120"	"Ubiquitin mediated proteolysis"	"6.795"
"hsa04664"	"Fc epsilon RI signaling pathway"	"6.715"
"hsa04520"	"Adherens junction"	"6.707"
"hsa04066"	"HIF-1 signaling pathway"	"6.635"
"hsa05169"	"Epstein-Barr virus infection"	"6.627"
"hsa04071"	"Sphingolipid signaling pathway"	"6.548"
"hsa04370"	"VEGF signaling pathway"	"6.473"
"hsa04140"	"Autophagy - animal"	"6.467"
"hsa03410"	"Base excision repair"	"6.362"
"hsa04658"	"Th1 and Th2 cell differentiation"	"6.334"
"hsa04926"	"Relaxin signaling pathway"	"6.321"
"hsa04137"	"Mitophagy - animal"	"6.193"
"hsa04621"	"NOD-like receptor signaling pathway"	"6.182"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"6.103"
"hsa05162"	"Measles"	"6.079"
"hsa03430"	"Mismatch repair"	"6.012"
"hsa04920"	"Adipocytokine signaling pathway"	"5.845"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"5.812"
"hsa04657"	"IL-17 signaling pathway"	"5.79"
"hsa03030"	"DNA replication"	"5.659"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"5.62"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"5.543"
"hsa04660"	"T cell receptor signaling pathway"	"5.307"
"hsa04662"	"B cell receptor signaling pathway"	"4.854"
"hsa03440"	"Homologous recombination"	"4.759"
"hsa04974"	"Protein digestion and absorption"	"4.52"
"hsa05230"	"Central carbon metabolism in cancer"	"4.415"
"hsa04152"	"AMPK signaling pathway"	"4.299"
"hsa04064"	"NF-kappa B signaling pathway"	"4.232"
"hsa05164"	"Influenza A"	"4.229"
"hsa00430"	"Taurine and hypotaurine metabolism"	"4.173"
"hsa04015"	"Rap1 signaling pathway"	"4.145"
"hsa03460"	"Fanconi anemia pathway"	"4.132"
"hsa05145"	"Toxoplasmosis"	"4.079"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"3.987"
"hsa03320"	"PPAR signaling pathway"	"3.951"
"hsa04014"	"Ras signaling pathway"	"3.917"
"hsa04930"	"Type II diabetes mellitus"	"3.867"
"hsa04912"	"GnRH signaling pathway"	"3.841"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"3.708"
"hsa04114"	"Oocyte meiosis"	"3.668"
"hsa04512"	"ECM-receptor interaction"	"3.561"
"hsa03008"	"Ribosome biogenesis in eukaryotes"	"3.515"
"hsa05133"	"Pertussis"	"3.512"
"hsa04640"	"Hematopoietic cell lineage"	"3.359"
"hsa03450"	"Non-homologous end-joining"	"3.214"
"hsa03022"	"Basal transcription factors"	"3.085"
"hsa04371"	"Apelin signaling pathway"	"3.072"
"hsa05332"	"Graft-versus-host disease"	"3.021"
"hsa05330"	"Allograft rejection"	"2.979"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"2.968"
"hsa04611"	"Platelet activation"	"2.952"
"hsa04150"	"mTOR signaling pathway"	"2.95"
"hsa04810"	"Regulation of actin cytoskeleton"	"2.949"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"2.943"
"hsa04530"	"Tight junction"	"2.916"
"hsa05144"	"Malaria"	"2.896"
"hsa04940"	"Type I diabetes mellitus"	"2.889"
"hsa00514"	"Other types of O-glycan biosynthesis"	"2.766"
"hsa05131"	"Shigellosis"	"2.731"
"hsa00510"	"N-Glycan biosynthesis"	"2.663"
"hsa04921"	"Oxytocin signaling pathway"	"2.655"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"2.655"
"hsa04720"	"Long-term potentiation"	"2.612"
"hsa04710"	"Circadian rhythm"	"2.543"
"hsa00592"	"alpha-Linolenic acid metabolism"	"2.528"
"hsa04730"	"Long-term depression"	"2.488"
"hsa04360"	"Axon guidance"	"2.457"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"2.436"
"hsa05320"	"Autoimmune thyroid disease"	"2.399"
"hsa03060"	"Protein export"	"2.38"
"hsa04216"	"Ferroptosis"	"2.369"
"hsa05132"	"Salmonella infection"	"2.326"
"hsa05416"	"Viral myocarditis"	"2.286"
"hsa05031"	"Amphetamine addiction"	"2.24"
"hsa04670"	"Leukocyte transendothelial migration"	"2.181"
"hsa04915"	"Estrogen signaling pathway"	"2.133"
"hsa00565"	"Ether lipid metabolism"	"2.11"
"hsa04973"	"Carbohydrate digestion and absorption"	"1.962"
"hsa04922"	"Glucagon signaling pathway"	"1.947"
"hsa05146"	"Amoebiasis"	"1.824"
"hsa04916"	"Melanogenesis"	"1.743"
"hsa05310"	"Asthma"	"1.714"
"hsa00310"	"Lysine degradation"	"1.699"
"hsa04910"	"Insulin signaling pathway"	"1.662"
"hsa00040"	"Pentose and glucuronate interconversions"	"1.636"
"hsa04022"	"cGMP-PKG signaling pathway"	"1.583"
"hsa04072"	"Phospholipase D signaling pathway"	"1.523"
"hsa05143"	"African trypanosomiasis"	"1.515"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"1.513"
"hsa00531"	"Glycosaminoglycan degradation"	"1.477"
"hsa04392"	"Hippo signaling pathway - multiple species"	"1.42"
"hsa00564"	"Glycerophospholipid metabolism"	"1.413"
"hsa00730"	"Thiamine metabolism"	"1.294"
"hsa00053"	"Ascorbate and aldarate metabolism"	"1.232"
"hsa04918"	"Thyroid hormone synthesis"	"1.212"
"hsa00480"	"Glutathione metabolism"	"1.193"
"hsa04977"	"Vitamin digestion and absorption"	"1.178"
"hsa00785"	"Lipoic acid metabolism"	"1.131"
"hsa00450"	"Selenocompound metabolism"	"1.075"
"hsa00920"	"Sulfur metabolism"	"1.063"
"hsa00062"	"Fatty acid elongation"	"0.984"
"hsa00232"	"Caffeine metabolism"	"0.94"
"hsa04725"	"Cholinergic synapse"	"0.893"
"hsa04975"	"Fat digestion and absorption"	"0.878"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"0.876"
"hsa04340"	"Hedgehog signaling pathway"	"0.857"
"hsa00590"	"Arachidonic acid metabolism"	"0.844"
"hsa04978"	"Mineral absorption"	"0.842"
"hsa00650"	"Butanoate metabolism"	"0.825"
"hsa00982"	"Drug metabolism - cytochrome P450"	"0.812"
"hsa00562"	"Inositol phosphate metabolism"	"0.81"
"hsa04672"	"Intestinal immune network for IgA production"	"0.776"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"0.759"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"0.737"
"hsa00740"	"Riboflavin metabolism"	"0.71"
"hsa00780"	"Biotin metabolism"	"0.704"
"hsa00670"	"One carbon pool by folate"	"0.63"
"hsa00071"	"Fatty acid degradation"	"0.536"
"hsa04614"	"Renin-angiotensin system"	"0.51"
"hsa00350"	"Tyrosine metabolism"	"0.499"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"0.486"
"hsa05030"	"Cocaine addiction"	"0.469"
"hsa04728"	"Dopaminergic synapse"	"0.459"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"0.455"
"hsa00983"	"Drug metabolism - other enzymes"	"0.415"
"hsa04024"	"cAMP signaling pathway"	"0.407"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"0.383"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"0.344"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"0.34"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"0.32"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"0.309"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.301"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"0.291"
"hsa05010"	"Alzheimer,s disease"	"0.277"
"hsa05204"	"Chemical carcinogenesis"	"0.234"
"hsa00750"	"Vitamin B6 metabolism"	"0.228"
"hsa05020"	"Prion diseases"	"0.082"
"hsa04979"	"Cholesterol metabolism"	"0.073"
"hsa04122"	"Sulfur relay system"	"0.06"
"hsa00790"	"Folate biosynthesis"	"0.042"
"hsa05340"	"Primary immunodeficiency"	"0.042"
"hsa04070"	"Phosphatidylinositol signaling system"	"-0.026"
"hsa00061"	"Fatty acid biosynthesis"	"-0.04"
"hsa00511"	"Other glycan degradation"	"-0.094"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"-0.1"
"hsa04217"	"Necroptosis"	"-0.143"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.215"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"-0.217"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"-0.291"
"hsa04714"	"Thermogenesis"	"-0.303"
"hsa00591"	"Linoleic acid metabolism"	"-0.309"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.32"
"hsa04213"	"Longevity regulating pathway - multiple species"	"-0.337"
"hsa00640"	"Propanoate metabolism"	"-0.363"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"-0.411"
"hsa04927"	"Cortisol synthesis and secretion"	"-0.422"
"hsa00360"	"Phenylalanine metabolism"	"-0.428"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.448"
