"ID"	"Pathway"	"Z-score"
"hsa05200"	"Pathways in cancer"	"21.797"
"hsa04630"	"Jak-STAT signaling pathway"	"20.499"
"hsa04919"	"Thyroid hormone signaling pathway"	"19.671"
"hsa05206"	"MicroRNAs in cancer"	"18.95"
"hsa05161"	"Hepatitis B"	"17.615"
"hsa05220"	"Chronic myeloid leukemia"	"16.8"
"hsa05224"	"Breast cancer"	"15.801"
"hsa04012"	"ErbB signaling pathway"	"15.134"
"hsa05215"	"Prostate cancer"	"15.052"
"hsa05223"	"Non-small cell lung cancer"	"14.762"
"hsa05205"	"Proteoglycans in cancer"	"14.52"
"hsa04917"	"Prolactin signaling pathway"	"14.411"
"hsa05225"	"Hepatocellular carcinoma"	"14.021"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"13.589"
"hsa05226"	"Gastric cancer"	"13.515"
"hsa05221"	"Acute myeloid leukemia"	"13.47"
"hsa05210"	"Colorectal cancer"	"13.306"
"hsa05214"	"Glioma"	"13.207"
"hsa05212"	"Pancreatic cancer"	"12.97"
"hsa04722"	"Neurotrophin signaling pathway"	"12.794"
"hsa05213"	"Endometrial cancer"	"12.72"
"hsa05165"	"Human papillomavirus infection"	"12.616"
"hsa04915"	"Estrogen signaling pathway"	"12.334"
"hsa05202"	"Transcriptional misregulation in cancer"	"12.094"
"hsa05231"	"Choline metabolism in cancer"	"11.953"
"hsa05219"	"Bladder cancer"	"11.948"
"hsa04510"	"Focal adhesion"	"11.947"
"hsa04659"	"Th17 cell differentiation"	"11.891"
"hsa04068"	"FoxO signaling pathway"	"11.742"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"11.517"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"11.503"
"hsa04625"	"C-type lectin receptor signaling pathway"	"11.285"
"hsa04151"	"PI3K-Akt signaling pathway"	"11.279"
"hsa04380"	"Osteoclast differentiation"	"11.264"
"hsa05166"	"HTLV-I infection"	"11.103"
"hsa05211"	"Renal cell carcinoma"	"11.093"
"hsa04218"	"Cellular senescence"	"10.799"
"hsa04934"	"Cushing,s syndrome"	"10.773"
"hsa04662"	"B cell receptor signaling pathway"	"10.721"
"hsa04310"	"Wnt signaling pathway"	"10.605"
"hsa04664"	"Fc epsilon RI signaling pathway"	"10.554"
"hsa05218"	"Melanoma"	"10.52"
