"Pathway"	"zscore"
"Pathways in cancer"	"21.797"
"Jak-STAT signaling pathway"	"20.499"
"Thyroid hormone signaling pathway"	"19.671"
"MicroRNAs in cancer"	"18.95"
"Hepatitis B"	"17.615"
"Chronic myeloid leukemia"	"16.8"
"Breast cancer"	"15.801"
"ErbB signaling pathway"	"15.134"
"Prostate cancer"	"15.052"
"Non-small cell lung cancer"	"14.762"
"Proteoglycans in cancer"	"14.52"
"Prolactin signaling pathway"	"14.411"
"Hepatocellular carcinoma"	"14.021"
"Kaposi's sarcoma-associated herpesvirus infection"	"13.589"
"Gastric cancer"	"13.515"
"Acute myeloid leukemia"	"13.47"
"Colorectal cancer"	"13.306"
"Glioma"	"13.207"
"Pancreatic cancer"	"12.97"
"Neurotrophin signaling pathway"	"12.794"
"Endometrial cancer"	"12.72"
"Human papillomavirus infection"	"12.616"
"Estrogen signaling pathway"	"12.334"
"Transcriptional misregulation in cancer"	"12.094"
"Choline metabolism in cancer"	"11.953"
"Bladder cancer"	"11.948"
"Focal adhesion"	"11.947"
"Th17 cell differentiation"	"11.891"
"FoxO signaling pathway"	"11.742"
"Natural killer cell mediated cytotoxicity"	"11.517"
"AGE-RAGE signaling pathway in diabetic complications"	"11.503"
"C-type lectin receptor signaling pathway"	"11.285"
"PI3K-Akt signaling pathway"	"11.279"
"Osteoclast differentiation"	"11.264"
"HTLV-I infection"	"11.103"
"Renal cell carcinoma"	"11.093"
"Cellular senescence"	"10.799"
"Cushing's syndrome"	"10.773"
"B cell receptor signaling pathway"	"10.721"
"Wnt signaling pathway"	"10.605"
"Fc epsilon RI signaling pathway"	"10.554"
"Melanoma"	"10.52"
"Viral carcinogenesis"	"10.483"
"Signaling pathways regulating pluripotency of stem cells"	"10.263"
"Cell cycle"	"10.258"
"Axon guidance"	"10.253"
"Relaxin signaling pathway"	"10.079"
"Small cell lung cancer"	"9.941"
"Rap1 signaling pathway"	"9.81"
"Chemokine signaling pathway"	"9.797"
"GnRH signaling pathway"	"9.674"
"T cell receptor signaling pathway"	"9.628"
"cAMP signaling pathway"	"9.594"
"Hepatitis C"	"9.5"
"Insulin resistance"	"9.466"
"Phospholipase D signaling pathway"	"9.466"
"Adherens junction"	"9.414"
"Th1 and Th2 cell differentiation"	"9.398"
"VEGF signaling pathway"	"9.337"
"HIF-1 signaling pathway"	"9.311"
"MAPK signaling pathway"	"9.307"
"Adipocytokine signaling pathway"	"9.152"
"Melanogenesis"	"9.03"
"Tuberculosis"	"8.983"
"TNF signaling pathway"	"8.95"
"Fc gamma R-mediated phagocytosis"	"8.947"
"p53 signaling pathway"	"8.645"
"Notch signaling pathway"	"8.485"
"TGF-beta signaling pathway"	"8.479"
"Fluid shear stress and atherosclerosis"	"8.437"
"Thyroid cancer"	"8.13"
"Cytokine-cytokine receptor interaction"	"8.117"
"Sphingolipid signaling pathway"	"7.925"
"Ras signaling pathway"	"7.752"
"Long-term potentiation"	"7.717"
"Insulin signaling pathway"	"7.621"
"Aldosterone-regulated sodium reabsorption"	"7.615"
"Longevity regulating pathway"	"7.574"
"Regulation of actin cytoskeleton"	"7.412"
"Inflammatory bowel disease (IBD)"	"7.209"
"Type II diabetes mellitus"	"7.123"
"Apoptosis"	"7.118"
"Chagas disease (American trypanosomiasis)"	"7.019"
"Non-alcoholic fatty liver disease (NAFLD)"	"6.814"
"Toll-like receptor signaling pathway"	"6.791"
"Oxytocin signaling pathway"	"6.735"
"Mitophagy - animal"	"6.64"
"Hippo signaling pathway"	"6.563"
"Inflammatory mediator regulation of TRP channels"	"6.5"
"Cholinergic synapse"	"6.392"
"Epstein-Barr virus infection"	"6.381"
"Regulation of lipolysis in adipocytes"	"6.371"
"IL-17 signaling pathway"	"6.337"
"Long-term depression"	"6.285"
"Leukocyte transendothelial migration"	"6.248"
"Phosphatidylinositol signaling system"	"6.147"
"Mucin type O-glycan biosynthesis"	"6.002"
"Cortisol synthesis and secretion"	"5.994"
"Herpes simplex infection"	"5.987"
"Platelet activation"	"5.966"
"Autophagy - animal"	"5.911"
"Central carbon metabolism in cancer"	"5.857"
"Leishmaniasis"	"5.803"
"Pertussis"	"5.752"
"Measles"	"5.698"
"Amphetamine addiction"	"5.616"
"Bacterial invasion of epithelial cells"	"5.594"
"cGMP-PKG signaling pathway"	"5.498"
"Progesterone-mediated oocyte maturation"	"5.322"
"Apelin signaling pathway"	"5.275"
"Carbohydrate digestion and absorption"	"5.273"
"Shigellosis"	"5.261"
"NF-kappa B signaling pathway"	"5.245"
"RIG-I-like receptor signaling pathway"	"5.225"
"Aldosterone synthesis and secretion"	"5.207"
"African trypanosomiasis"	"5.153"
"Mineral absorption"	"4.96"
"Bile secretion"	"4.958"
"Pancreatic secretion"	"4.926"
"Thyroid hormone synthesis"	"4.897"
"Vascular smooth muscle contraction"	"4.861"
"Salmonella infection"	"4.859"
"NOD-like receptor signaling pathway"	"4.846"
"Influenza A"	"4.818"
"Apoptosis - multiple species"	"4.668"
"Oocyte meiosis"	"4.54"
"Ubiquitin mediated proteolysis"	"4.536"
"Basal cell carcinoma"	"4.448"
"Epithelial cell signaling in Helicobacter pylori infection"	"4.435"
"Gastric acid secretion"	"4.385"
"Endocrine and other factor-regulated calcium reabsorption"	"4.201"
"Amoebiasis"	"4.174"
"Circadian entrainment"	"4.082"
"mTOR signaling pathway"	"4.074"
"PPAR signaling pathway"	"3.912"
"Serotonergic synapse"	"3.894"
"Cocaine addiction"	"3.889"
"Insulin secretion"	"3.71"
"Arachidonic acid metabolism"	"3.696"
"Circadian rhythm"	"3.636"
"Amyotrophic lateral sclerosis (ALS)"	"3.483"
"Thermogenesis"	"3.362"
"ABC transporters"	"3.322"
"Toxoplasmosis"	"3.185"
"Hematopoietic cell lineage"	"3.131"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"3.104"
"Glycosphingolipid biosynthesis - ganglio series"	"3.031"
"Adrenergic signaling in cardiomyocytes"	"3.022"
"Linoleic acid metabolism"	"2.946"
"Steroid biosynthesis"	"2.912"
"Longevity regulating pathway - multiple species"	"2.853"
"Calcium signaling pathway"	"2.842"
"Inositol phosphate metabolism"	"2.781"
"Alzheimer's disease"	"2.779"
