"ID"	"Pathway"	"Z-score"
"hsa04215"	"Apoptosis - multiple species"	"34.192"
"hsa05161"	"Hepatitis B"	"29.849"
"hsa05200"	"Pathways in cancer"	"29.473"
"hsa04668"	"TNF signaling pathway"	"26.252"
"hsa04210"	"Apoptosis"	"26.148"
"hsa05222"	"Small cell lung cancer"	"22.999"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"22.567"
"hsa04621"	"NOD-like receptor signaling pathway"	"22.442"
"hsa04620"	"Toll-like receptor signaling pathway"	"21.473"
"hsa05212"	"Pancreatic cancer"	"21.028"
"hsa04064"	"NF-kappa B signaling pathway"	"20.95"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"20.824"
"hsa05165"	"Human papillomavirus infection"	"20.242"
"hsa05210"	"Colorectal cancer"	"20.211"
"hsa04115"	"p53 signaling pathway"	"19.921"
"hsa05152"	"Tuberculosis"	"19.687"
"hsa05215"	"Prostate cancer"	"19.682"
"hsa04380"	"Osteoclast differentiation"	"19.594"
"hsa05220"	"Chronic myeloid leukemia"	"19.512"
"hsa04510"	"Focal adhesion"	"19.186"
"hsa05160"	"Hepatitis C"	"18.932"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"18.871"
"hsa04625"	"C-type lectin receptor signaling pathway"	"18.606"
"hsa05206"	"MicroRNAs in cancer"	"18.566"
"hsa05225"	"Hepatocellular carcinoma"	"18.447"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"17.468"
"hsa05205"	"Proteoglycans in cancer"	"17.422"
"hsa04630"	"Jak-STAT signaling pathway"	"17.278"
"hsa04151"	"PI3K-Akt signaling pathway"	"17.12"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"16.959"
"hsa05226"	"Gastric cancer"	"16.884"
"hsa04657"	"IL-17 signaling pathway"	"16.836"
"hsa05145"	"Toxoplasmosis"	"16.651"
"hsa04722"	"Neurotrophin signaling pathway"	"16.617"
"hsa04010"	"MAPK signaling pathway"	"16.037"
"hsa05213"	"Endometrial cancer"	"15.995"
"hsa05166"	"HTLV-I infection"	"15.909"
"hsa04217"	"Necroptosis"	"15.786"
"hsa04218"	"Cellular senescence"	"15.654"
"hsa05223"	"Non-small cell lung cancer"	"15.428"
"hsa05218"	"Melanoma"	"15.372"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"15.152"
"hsa04068"	"FoxO signaling pathway"	"15.116"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"14.866"
"hsa05221"	"Acute myeloid leukemia"	"14.662"
"hsa04917"	"Prolactin signaling pathway"	"14.427"
"hsa05224"	"Breast cancer"	"14.282"
"hsa05162"	"Measles"	"14.209"
"hsa05133"	"Pertussis"	"14.124"
"hsa04071"	"Sphingolipid signaling pathway"	"14.05"
"hsa05203"	"Viral carcinogenesis"	"14.012"
"hsa04664"	"Fc epsilon RI signaling pathway"	"13.898"
"hsa04660"	"T cell receptor signaling pathway"	"13.754"
"hsa04014"	"Ras signaling pathway"	"13.73"
"hsa04012"	"ErbB signaling pathway"	"13.345"
