"Pathway"	"zscore"
"Apoptosis - multiple species"	"34.192"
"Hepatitis B"	"29.849"
"Pathways in cancer"	"29.473"
"TNF signaling pathway"	"26.252"
"Apoptosis"	"26.148"
"Small cell lung cancer"	"22.999"
"AGE-RAGE signaling pathway in diabetic complications"	"22.567"
"NOD-like receptor signaling pathway"	"22.442"
"Toll-like receptor signaling pathway"	"21.473"
"Pancreatic cancer"	"21.028"
"NF-kappa B signaling pathway"	"20.95"
"Kaposi's sarcoma-associated herpesvirus infection"	"20.824"
"Human papillomavirus infection"	"20.242"
"Colorectal cancer"	"20.211"
"p53 signaling pathway"	"19.921"
"Tuberculosis"	"19.687"
"Prostate cancer"	"19.682"
"Osteoclast differentiation"	"19.594"
"Chronic myeloid leukemia"	"19.512"
"Focal adhesion"	"19.186"
"Hepatitis C"	"18.932"
"RIG-I-like receptor signaling pathway"	"18.871"
"C-type lectin receptor signaling pathway"	"18.606"
"MicroRNAs in cancer"	"18.566"
"Hepatocellular carcinoma"	"18.447"
"Amyotrophic lateral sclerosis (ALS)"	"17.468"
"Proteoglycans in cancer"	"17.422"
"Jak-STAT signaling pathway"	"17.278"
"PI3K-Akt signaling pathway"	"17.12"
"Chagas disease (American trypanosomiasis)"	"16.959"
"Gastric cancer"	"16.884"
"IL-17 signaling pathway"	"16.836"
"Toxoplasmosis"	"16.651"
"Neurotrophin signaling pathway"	"16.617"
"MAPK signaling pathway"	"16.037"
"Endometrial cancer"	"15.995"
"HTLV-I infection"	"15.909"
"Necroptosis"	"15.786"
"Cellular senescence"	"15.654"
"Non-small cell lung cancer"	"15.428"
"Melanoma"	"15.372"
"Fluid shear stress and atherosclerosis"	"15.152"
"FoxO signaling pathway"	"15.116"
"Natural killer cell mediated cytotoxicity"	"14.866"
"Acute myeloid leukemia"	"14.662"
"Prolactin signaling pathway"	"14.427"
"Breast cancer"	"14.282"
"Measles"	"14.209"
"Pertussis"	"14.124"
"Sphingolipid signaling pathway"	"14.05"
"Viral carcinogenesis"	"14.012"
"Fc epsilon RI signaling pathway"	"13.898"
"T cell receptor signaling pathway"	"13.754"
"Ras signaling pathway"	"13.73"
"ErbB signaling pathway"	"13.345"
"Non-alcoholic fatty liver disease (NAFLD)"	"13.33"
"Thyroid hormone signaling pathway"	"12.866"
"Relaxin signaling pathway"	"12.732"
"B cell receptor signaling pathway"	"12.692"
"Herpes simplex infection"	"12.665"
"Wnt signaling pathway"	"12.609"
"Bladder cancer"	"12.599"
"Glioma"	"12.595"
"TGF-beta signaling pathway"	"12.42"
"Adherens junction"	"12.334"
"Influenza A"	"12.221"
"Choline metabolism in cancer"	"12.066"
"VEGF signaling pathway"	"11.974"
"Cell cycle"	"11.955"
"Adipocytokine signaling pathway"	"11.942"
"Transcriptional misregulation in cancer"	"11.914"
"Insulin resistance"	"11.884"
"Leishmaniasis"	"11.872"
"Autophagy - animal"	"11.871"
"Renal cell carcinoma"	"11.411"
"Th17 cell differentiation"	"11.298"
"Mitophagy - animal"	"11.027"
"Shigellosis"	"10.743"
"Inflammatory bowel disease (IBD)"	"10.621"
"Type II diabetes mellitus"	"10.422"
"Cushing's syndrome"	"10.196"
"Thyroid cancer"	"10.129"
"HIF-1 signaling pathway"	"10.093"
"Axon guidance"	"10.011"
"Chemokine signaling pathway"	"9.868"
"Amoebiasis"	"9.842"
"Platelet activation"	"9.8"
"Rap1 signaling pathway"	"9.787"
"GnRH signaling pathway"	"9.684"
"Cytokine-cytokine receptor interaction"	"9.642"
"Regulation of actin cytoskeleton"	"9.638"
"Alzheimer's disease"	"9.502"
"Salmonella infection"	"9.427"
"Hippo signaling pathway"	"9.409"
"Th1 and Th2 cell differentiation"	"9.253"
"cGMP-PKG signaling pathway"	"9.209"
"Fc gamma R-mediated phagocytosis"	"8.85"
"Epithelial cell signaling in Helicobacter pylori infection"	"8.79"
"Leukocyte transendothelial migration"	"8.652"
"Longevity regulating pathway"	"8.591"
"African trypanosomiasis"	"8.571"
"Insulin signaling pathway"	"8.484"
"Epstein-Barr virus infection"	"8.482"
"Malaria"	"8.474"
"Cholinergic synapse"	"8.363"
"Progesterone-mediated oocyte maturation"	"8.203"
"Signaling pathways regulating pluripotency of stem cells"	"8.157"
"Viral myocarditis"	"8.127"
"Phospholipase D signaling pathway"	"8.065"
"Basal cell carcinoma"	"7.299"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"7.158"
"Inflammatory mediator regulation of TRP channels"	"7"
"cAMP signaling pathway"	"6.943"
"Oxytocin signaling pathway"	"6.784"
"Aldosterone-regulated sodium reabsorption"	"6.668"
"mTOR signaling pathway"	"6.646"
"Oocyte meiosis"	"6.578"
"Adrenergic signaling in cardiomyocytes"	"6.551"
"Vascular smooth muscle contraction"	"6.51"
"Estrogen signaling pathway"	"6.503"
"Bacterial invasion of epithelial cells"	"6.36"
