SN,NAME,Gene
114480,Breast,RAD54L
114480,Breast,CASP8
114480,Breast,BARD1
114480,Breast,PIK3CA
114480,Breast,HMMR
114480,Breast,NQO2
114480,Breast,ESR1
114480,Breast,RB1CC1
114480,Breast,SLC22A18
114480,Breast,ATM
114480,Breast,KRAS
114480,Breast,BRCA2
114480,Breast,XRCC3
114480,Breast,AKT1
114480,Breast,RAD51
114480,Breast,PALB2
114480,Breast,CDH1
114480,Breast,TP53
114480,Breast,PHB
114480,Breast,PPM1D
114480,Breast,BRIP1
114480,Breast,CHEK2
114500,Colorectal,PLA2G2A
114500,Colorectal,NRAS
114500,Colorectal,ODC1
114500,Colorectal,CTNNB1
114500,Colorectal,PIK3CA
114500,Colorectal,FGFR3
114500,Colorectal,TLR2
114500,Colorectal,APC
114500,Colorectal,MCC
114500,Colorectal,PTPN12
114500,Colorectal,DLC1
114500,Colorectal,PDGFRL
114500,Colorectal,RAD54B
114500,Colorectal,PTPRJ
114500,Colorectal,CCND1
114500,Colorectal,MLH3
114500,Colorectal,AKT1
114500,Colorectal,BUB1B
114500,Colorectal,TP53
114500,Colorectal,FLCN
114500,Colorectal,AXIN2
114500,Colorectal,DCC
114500,Colorectal,BAX
114500,Colorectal,SRC
114500,Colorectal,ARUKA
114500,Colorectal,EP300
211980,Lung,FASLG
211980,Lung,CASP8
211980,Lung,PIK3CA
211980,Lung,IRF1
211980,Lung,PRKN
211980,Lung,EGFR
211980,Lung,BRAF
211980,Lung,MAP3K8
211980,Lung,ERCC6
211980,Lung,SLC22A1L
211980,Lung,PPP2R1B
211980,Lung,KRAS
211980,Lung,ERBB2
211980,Lung,CYP2A6
167000,Ovarian,CTNNB1
167000,Ovarian,PIK3CA
167000,Ovarian,PRKN
167000,Ovarian,OPCML
167000,Ovarian,AKT1
167000,Ovarian,CDH1
114550,HCC,CASP8
114550,HCC,CTNNB1
114550,HCC,PIK3CA
114550,HCC,APC
114550,HCC,IGF2R
114550,HCC,MET
114550,HCC,PDGFRL
114550,HCC,AXIN1
114550,HCC,TP53
133239,Esophageal,TGFBR2
133239,Esophageal,LZTS1
133239,Esophageal,RNF6
133239,Esophageal,WWOX
133239,Esophageal,DCC
613659,Gastric,MUTYH
613659,Gastric,CASP10
613659,Gastric,PIK3CA
613659,Gastric,APC
613659,Gastric,IRF1
613659,Gastric,KLF6
613659,Gastric,FGFR2
613659,Gastric,ERBB2
176807,Prostate,MAD1L1
176807,Prostate,KLF6
176807,Prostate,PTEN
176807,Prostate,MXI1
176807,Prostate,BRCA2
176807,Prostate,CDH1
176807,Prostate,ZFHX3
176807,Prostate,CHEK2
176807,Prostate,AR
144700,RCC,OGG1
144700,RCC,VHL
144700,RCC,DIRC2
144700,RCC,RNF139
144700,RCC,HNF1A
144700,RCC,FLCN
144700,RCC,HNF1B
601626,AML,DNMT3A
601626,AML,GATA2
601626,AML,MLF1
601626,AML,LPP
601626,AML,CHIC2
