ID	Pathway	Fold_Enrichment	occurrence	lowest_p	highest_p	Up_regulated	Down_regulated
hsa05012	Parkinson disease	83.75070	10	3.2e-58	3.8e-52	NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, HTRA2, VDAC1, VDAC2, VDAC3, SLC25A4, SLC25A5, SLC25A6, CYCS	
hsa00190	Oxidative phosphorylation	91.88978	10	4.3e-57	7.4e-51	NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX10, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, COX11, COX15, COX17, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V1H, TCIRG1, ATP6V0C, ATP6V0B, ATP6V0E1, ATP6AP1	
hsa04932	Non-alcoholic fatty liver disease (NAFLD)	63.14064	10	8.1e-53	4.4e-49	BAX, CYCS, CASP7, NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A	
hsa05016	Huntington disease	58.79188	10	1.1e-52	2.7e-47	POLR2F, BAX, NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, VDAC1, VDAC2, VDAC3, SLC25A4, SLC25A5, SLC25A6, CYCS	
hsa05010	Alzheimer disease	64.46000	10	1.2e-52	3.5e-49	NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, HSD17B10, CYCS, CASP7	
hsa04714	Thermogenesis	51.61380	10	1.1e-49	1.2e-44	NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFC2, SDHA, SDHB, SDHC, SDHD, UQCRFS1, CYC1, UQCRC1, UQCRC2, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX6C, COX7A2, COX7A2L, COX7B, COX7C, COX8A, COX10, COX11, COX15, COX17, SLC25A20, CPT1A	
hsa04723	Retrograde endocannabinoid signaling	45.50480	10	1.6e-45	1.3e-26	NDUFV1, NDUFV2, NDUFA1, NDUFA2, NDUFA3, NDUFA4, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS6, NDUFS7, NDUFS8, NDUFC2	
hsa00020	Citrate cycle (TCA cycle)	104.54286	10	1.1e-23	1.1e-13	CS, ACO2, IDH1, IDH2, IDH3B, IDH3G, IDH3A, OGDH, DLST, DLD, SUCLG1, SUCLA2, SDHA, SDHB, SDHC, SDHD, FH, MDH1, MDH2, PDHA1, PDHB, DLAT	
hsa05110	Vibrio cholerae infection	253.43723	10	5.4e-16	5.4e-16	ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V1G1, ATP6V0E1, TCIRG1, ATP6V1H, ATP6AP1, ATP6V0C, ATP6V0B	
hsa04966	Collecting duct acid secretion	404.94862	10	3.3e-15	3.3e-15	ATP6V1G1, ATP6V1C1, ATP6V1D, ATP6V1E1, ATP6V1F, ATP6V0E1, TCIRG1, ATP6V0C	
