"Pathway"	"Z-score"
"RIG-I-like receptor signaling pathway"	"27.377"
"Proteasome"	"22.698"
"NOD-like receptor signaling pathway"	"21.761"
"NF-kappa B signaling pathway"	"17.816"
"Hepatitis C"	"16.39"
"Herpes simplex infection"	"15.955"
"Toll-like receptor signaling pathway"	"15.867"
"Cytosolic DNA-sensing pathway"	"14.245"
"Hepatitis B"	"11.989"
"Autoimmune thyroid disease"	"11.938"
"Measles"	"11.837"
"Kaposi's sarcoma-associated herpesvirus infection"	"11.39"
"TNF signaling pathway"	"10.966"
"Graft-versus-host disease"	"10.839"
"Cytokine-cytokine receptor interaction"	"10.673"
"Jak-STAT signaling pathway"	"10.258"
"Primary immunodeficiency"	"9.92"
"IL-17 signaling pathway"	"9.518"
"Necroptosis"	"9.346"
"Tuberculosis"	"9.311"
"Ubiquitin mediated proteolysis"	"9.127"
"Osteoclast differentiation"	"8.832"
"Th1 and Th2 cell differentiation"	"8.22"
"Allograft rejection"	"8.213"
"Natural killer cell mediated cytotoxicity"	"8.171"
"Influenza A"	"8.088"
"Leishmaniasis"	"8.053"
"Small cell lung cancer"	"7.912"
"Human papillomavirus infection"	"7.791"
"Th17 cell differentiation"	"7.765"
"Toxoplasmosis"	"7.404"
"Inflammatory bowel disease (IBD)"	"7.213"
"Pertussis"	"6.77"
"Epstein-Barr virus infection"	"6.737"
"Chagas disease (American trypanosomiasis)"	"6.393"
"Type I diabetes mellitus"	"6.385"
"Adipocytokine signaling pathway"	"6.205"
"Hematopoietic cell lineage"	"6.021"
"Apoptosis"	"5.947"
"Antigen processing and presentation"	"5.927"
"Staphylococcus aureus infection"	"5.889"
"Neuroactive ligand-receptor interaction"	"5.815"
"Pathways in cancer"	"5.662"
"Mismatch repair"	"5.364"
"Acute myeloid leukemia"	"5.292"
"Asthma"	"5.277"
"Intestinal immune network for IgA production"	"4.943"
"Chemokine signaling pathway"	"4.834"
"Apoptosis - multiple species"	"4.79"
"C-type lectin receptor signaling pathway"	"4.686"
"Cell adhesion molecules (CAMs)"	"4.506"
"Fanconi anemia pathway"	"4.472"
"DNA replication"	"4.43"
"ABC transporters"	"4.335"
"Pancreatic cancer"	"4.116"
"Complement and coagulation cascades"	"3.997"
"Chronic myeloid leukemia"	"3.61"
"Taste transduction"	"3.578"
"Malaria"	"3.45"
"Viral myocarditis"	"3.426"
"B cell receptor signaling pathway"	"3.379"
"HTLV-I infection"	"3.36"
"Other types of O-glycan biosynthesis"	"3"
"Sphingolipid signaling pathway"	"2.949"
"Mitophagy - animal"	"2.884"
"MicroRNAs in cancer"	"2.836"
"Shigellosis"	"2.764"
"T cell receptor signaling pathway"	"2.705"
"Lysosome"	"2.687"
"PI3K-Akt signaling pathway"	"2.655"
"Prostate cancer"	"2.604"
"Butanoate metabolism"	"2.568"
"Protein processing in endoplasmic reticulum"	"2.436"
"Fluid shear stress and atherosclerosis"	"2.408"
"Nucleotide excision repair"	"2.34"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"2.188"
"African trypanosomiasis"	"2.17"
"Autophagy - other"	"2.104"
"Amoebiasis"	"1.779"
"Epithelial cell signaling in Helicobacter pylori infection"	"1.756"
"MAPK signaling pathway"	"1.725"
"Fatty acid elongation"	"1.654"
"Synthesis and degradation of ketone bodies"	"1.608"
"Homologous recombination"	"1.436"
"Proximal tubule bicarbonate reclamation"	"1.399"
"Autophagy - animal"	"1.392"
"HIF-1 signaling pathway"	"1.37"
"Ferroptosis"	"1.351"
"Mannose type O-glycan biosynthesis"	"1.28"
"Linoleic acid metabolism"	"1.27"
"Legionellosis"	"1.269"
"Prolactin signaling pathway"	"1.185"
"Non-alcoholic fatty liver disease (NAFLD)"	"1.135"
"AGE-RAGE signaling pathway in diabetic complications"	"1.061"
"Renin-angiotensin system"	"1.053"
"Phagosome"	"1.026"
"Viral carcinogenesis"	"1.005"
"Nicotinate and nicotinamide metabolism"	"0.989"
"alpha-Linolenic acid metabolism"	"0.954"
"Other glycan degradation"	"0.948"
"Arachidonic acid metabolism"	"0.91"
"Non-small cell lung cancer"	"0.876"
"Vitamin B6 metabolism"	"0.863"
"Phospholipase D signaling pathway"	"0.849"
"Aminoacyl-tRNA biosynthesis"	"0.806"
"Base excision repair"	"0.792"
"Selenocompound metabolism"	"0.786"
"Aldosterone-regulated sodium reabsorption"	"0.758"
"Neurotrophin signaling pathway"	"0.719"
"Protein digestion and absorption"	"0.694"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"0.652"
"Rheumatoid arthritis"	"0.609"
"Glycosphingolipid biosynthesis - ganglio series"	"0.533"
"Lipoic acid metabolism"	"0.506"
"PPAR signaling pathway"	"0.47"
"Terpenoid backbone biosynthesis"	"0.381"
"Thyroid cancer"	"0.358"
"TGF-beta signaling pathway"	"0.352"
"FoxO signaling pathway"	"0.329"
"Riboflavin metabolism"	"0.274"
"Sphingolipid metabolism"	"0.257"
"Bladder cancer"	"0.249"
"Taurine and hypotaurine metabolism"	"0.249"
"Glutathione metabolism"	"0.219"
"Insulin resistance"	"0.179"
"D-Glutamine and D-glutamate metabolism"	"0.178"
"Ether lipid metabolism"	"0.169"
"Arginine and proline metabolism"	"0.138"
"Non-homologous end-joining"	"0.118"
"Endometrial cancer"	"0.113"
"N-Glycan biosynthesis"	"0.079"
"Phosphatidylinositol signaling system"	"0.003"
"Adherens junction"	"-0.035"
"Leukocyte transendothelial migration"	"-0.037"
"p53 signaling pathway"	"-0.047"
"Sulfur relay system"	"-0.108"
"Inositol phosphate metabolism"	"-0.121"
"Amyotrophic lateral sclerosis (ALS)"	"-0.143"
"D-Arginine and D-ornithine metabolism"	"-0.157"
"Phosphonate and phosphinate metabolism"	"-0.193"
"Cocaine addiction"	"-0.241"
"Valine, leucine and isoleucine biosynthesis"	"-0.257"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.258"
"ECM-receptor interaction"	"-0.261"
"Mucin type O-glycan biosynthesis"	"-0.265"
"Arginine biosynthesis"	"-0.337"
"Nitrogen metabolism"	"-0.345"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.36"
"Maturity onset diabetes of the young"	"-0.36"
"Glioma"	"-0.385"
"Transcriptional misregulation in cancer"	"-0.387"
"Type II diabetes mellitus"	"-0.395"
"Valine, leucine and isoleucine degradation"	"-0.41"
"Mineral absorption"	"-0.42"
"Tyrosine metabolism"	"-0.458"
"Ras signaling pathway"	"-0.467"
"Phenylalanine metabolism"	"-0.493"
"Glyoxylate and dicarboxylate metabolism"	"-0.496"
"Glycerophospholipid metabolism"	"-0.5"
"Salmonella infection"	"-0.52"
