"ID"	"Pathway"	"Z-score"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"27.377"
"hsa03050"	"Proteasome"	"22.698"
"hsa04621"	"NOD-like receptor signaling pathway"	"21.761"
"hsa04064"	"NF-kappa B signaling pathway"	"17.816"
"hsa05160"	"Hepatitis C"	"16.39"
"hsa05168"	"Herpes simplex infection"	"15.955"
"hsa04620"	"Toll-like receptor signaling pathway"	"15.867"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"14.245"
"hsa05161"	"Hepatitis B"	"11.989"
"hsa05320"	"Autoimmune thyroid disease"	"11.938"
"hsa05162"	"Measles"	"11.837"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"11.39"
"hsa04668"	"TNF signaling pathway"	"10.966"
"hsa05332"	"Graft-versus-host disease"	"10.839"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"10.673"
"hsa04630"	"Jak-STAT signaling pathway"	"10.258"
"hsa05340"	"Primary immunodeficiency"	"9.92"
"hsa04657"	"IL-17 signaling pathway"	"9.518"
"hsa04217"	"Necroptosis"	"9.346"
"hsa05152"	"Tuberculosis"	"9.311"
"hsa04120"	"Ubiquitin mediated proteolysis"	"9.127"
"hsa04380"	"Osteoclast differentiation"	"8.832"
"hsa04658"	"Th1 and Th2 cell differentiation"	"8.22"
"hsa05330"	"Allograft rejection"	"8.213"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"8.171"
"hsa05164"	"Influenza A"	"8.088"
"hsa05140"	"Leishmaniasis"	"8.053"
"hsa05222"	"Small cell lung cancer"	"7.912"
"hsa05165"	"Human papillomavirus infection"	"7.791"
"hsa04659"	"Th17 cell differentiation"	"7.765"
"hsa05145"	"Toxoplasmosis"	"7.404"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"7.213"
"hsa05133"	"Pertussis"	"6.77"
"hsa05169"	"Epstein-Barr virus infection"	"6.737"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"6.393"
"hsa04940"	"Type I diabetes mellitus"	"6.385"
"hsa04920"	"Adipocytokine signaling pathway"	"6.205"
"hsa04640"	"Hematopoietic cell lineage"	"6.021"
"hsa04210"	"Apoptosis"	"5.947"
"hsa04612"	"Antigen processing and presentation"	"5.927"
"hsa05150"	"Staphylococcus aureus infection"	"5.889"
"hsa04080"	"Neuroactive ligand-receptor interaction"	"5.815"
"hsa05200"	"Pathways in cancer"	"5.662"
