"ID","Name","GN"
"C0036341","Schizophrenia","181"
"C0002395","Alzheimer's Disease","81"
"C0007102","Malignant tumor of colon","144"
"C0011265","Presenile dementia","81"
"C0011570","Mental Depression","168"
"C0011581","Depressive disorder","125"
"C0019202","Hepatolenticular Degeneration","23"
"C0022660","Kidney Failure, Acute","83"
"C0023890","Liver Cirrhosis","86"
"C0023893","Liver Cirrhosis, Experimental","2"
"C0206669","Hepatocellular Adenoma","9"
"C0239946","Fibrosis, Liver","86"
"C0242379","Malignant neoplasm of lung","155"
"C0276496","Familial Alzheimer Disease (FAD)","82"
"C0494463","Alzheimer Disease, Late Onset","81"
"C0546126","Acute Confusional Senile Dementia","81"
"C0750900","Alzheimer's Disease, Focal Onset","81"
"C0750901","Alzheimer Disease, Early Onset","81"
"C1527352","Hepatic Form of Wilson Disease","23"
"C1565662","Acute Kidney Insufficiency","83"
"C2239176","Liver carcinoma","171"
"C2609414","Acute kidney injury","83"
"C3279661","alpha-2-Macroglobulin Deficiency","1"
"C0001973","Alcoholic Intoxication, Chronic","119"
"C0005684","Malignant neoplasm of urinary bladder","121"
"C0028796","Dermatitis, Occupational","4"
"C0086457","Industrial Dermatosis","4"
"C0376358","Malignant neoplasm of prostate","182"
"C0006142","Malignant neoplasm of breast","62"
"C0010054","Coronary Arteriosclerosis","60"
"C0011999","Diastematomyelia","26"
"C0019193","Hepatitis, Toxic","193"
"C0023452","Childhood Acute Lymphoblastic Leukemia","48"
"C0023453","Leukemia, Lymphocytic, Acute, L2","48"
"C0023530","Leukopenia","8"
"C0027806","Neurenteric Cyst","26"
"C0080218","Tethered Cord Syndrome","26"
"C0152234","Iniencephaly","26"
"C0152426","Craniorachischisis","27"
"C0266453","Exencephaly","26"
"C0344479","Spinal Cord Myelodysplasia","26"
"C0345904","Malignant neoplasm of liver","129"
"C0345967","Malignant mesothelioma","105"
"C0678222","Breast Carcinoma","63"
"C0702169","Acrania","26"
"C0860207","Drug-Induced Liver Disease","193"
"C1262760","Hepatitis, Drug-Induced","193"
"C1956346","Coronary Artery Disease","60"
"C1961102","Precursor Cell Lymphoblastic Leukemia Lymphoma","57"
"C3658290","Drug-Induced Acute Liver Injury","193"
"C4277682","Chemical and Drug Induced Liver Injury","193"
"C4279912","Chemically-Induced Liver Toxicity","193"
"C0023794","Lipoidosis","18"
"C0349204","Nonorganic psychosis","77"
"C0005587","Depression, Bipolar","52"
"C0393770","Delayed Sleep Phase Syndrome","5"
"C0751758","Advanced Sleep Phase Syndrome","5"
"C0751759","Non-24 Hour Sleep-Wake Disorder","5"
"C0751760","Shift-Work Sleep Disorder","5"
"C0007959","Charcot-Marie-Tooth Disease","190"
"C0543888","Epileptic encephalopathy","71"
"C2750090","Charcot-Marie-Tooth Disease, Axonal, Type 2n","1"
"C4225361","EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 29","1"
"C0017168","Gastroesophageal reflux disease","4"
"C0022333","Jacksonian Seizure","99"
"C0149958","Complex partial seizures","99"
"C0234533","Generalized seizures","99"
"C0234535","Seizures, Clonic","99"
"C0270824","Visual seizure","99"
"C0270846","Epileptic drop attack","99"
"C0342708","Gamma aminobutyric acid transaminase deficiency","1"
"C0422853","Olfactory seizure","99"
"C0422855","Vertiginous seizure","99"
"C0494475","Tonic - clonic seizures","99"
"C0751110","Single Seizure","99"
"C0751123","Atonic Absence Seizures","99"
"C0751456","Developmental Psychomotor Disorders","7"
"C2267233","Neonatal Hypotonia","6"
"C3495874","Nonepileptic Seizures","99"
"C4317109","Epileptic Seizures","99"
"C4505436","Generalized Absence Seizures","99"
"C0004153","Atherosclerosis","54"
"C0009402","Colorectal Carcinoma","151"
"C0020443","Hypercholesterolemia","22"
"C0020445","Hypercholesterolemia, Familial","39"
"C0022661","Kidney Failure, Chronic","45"
"C0039292","Tangier Disease","1"
"C0473527","Hypoalphalipoproteinemias","2"
"C0745103","Hyperlipoproteinemia Type IIa","16"
"C0751544","Tangier Disease Neuropathy","1"
"C1527249","Colorectal Cancer","188"
"C1704417","Hyperlipoproteinemia Type IIb","12"
"C1704429","Hypoalphalipoproteinemia, Familial","2"
"C2931838","Familial HDL deficiency","1"
"C3165209","High density lipoprotein deficiency","1"
"C3711531","Hdl Deficiency, Type 2","1"
"C0020192","Hyaline Membrane Disease","3"
"C0034069","Pulmonary Fibrosis","66"
"C0035220","Respiratory Distress Syndrome, Newborn","5"
"C0085786","Hamman-Rich syndrome","75"
"C0852283","Respiratory Distress Syndrome","3"
"C1800706","Idiopathic Pulmonary Fibrosis","16"
"C1970456","Surfactant Metabolism Dysfunction, Pulmonary, 3","1"
"C0002896","Sideroblastic anemia","7"
"C0158995","Congenital anemia","0"
"Congenital anemia","C0158995","0"
"C0750940","Tremor, Rubral","15"
"C1845028","ANEMIA, SIDEROBLASTIC, AND SPINOCEREBELLAR ATAXIA","1"
"C0032285","Pneumonia","51"
"C0032300","Lobar Pneumonia","51"
"C0887898","Experimental Lung Inflammation","51"
"C3714636","Pneumonitis","51"
"C0008924","Cleft upper lip","27"
"C0035334","Retinitis Pigmentosa","88"
"C0242383","Age related macular degeneration","18"
"C1855465","STARGARDT DISEASE 1 (disorder)","4"
"C1858080","Retinal Dystrophy, Early Onset Severe","6"
"C1858806","CONE-ROD DYSTROPHY 3 (disorder)","1"
"C1866422","RETINITIS PIGMENTOSA 19","1"
"C3495438","Macular Degeneration, Age-Related, 2","1"
"C4282180","Juvenile macular degeneration","2"
"C0006413","Burkitt Lymphoma","35"
"C0015544","Failure to Thrive","1"
"C0023473","Myeloid Leukemia, Chronic","28"
"C0025202","melanoma","135"
"C0205641","Adenocarcinoma, Basal Cell","113"
"C0205642","Adenocarcinoma, Oxyphilic","113"
"C0205643","Carcinoma, Cribriform","113"
"C0205644","Carcinoma, Granular Cell","113"
"C0205645","Adenocarcinoma, Tubular","113"
"C0345958","Large cell carcinoma of lung","31"
"C0546837","Malignant neoplasm of esophagus","69"
"C1292769","Precursor B-cell lymphoblastic leukemia","20"
"C1961099","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","48"
"C4539857","CONGENITAL HEART DEFECTS AND SKELETAL MALFORMATIONS SYNDROME","1"
"C0010474","Curling Ulcer","6"
"C0013295","Duodenal Ulcer","6"
"C0030297","Pancreatic Neoplasm","91"
"C0085762","Alcohol abuse","68"
"C0346647","Malignant neoplasm of pancreas","92"
"C0677886","Epithelial ovarian cancer","16"
"C0751956","Acute Cerebrovascular Accidents","55"
"C0018801","Heart failure","97"
"C0018802","Congestive heart failure","97"
"C0023212","Left-Sided Heart Failure","97"
"C0235527","Heart Failure, Right-Sided","97"
"C0268603","Acetyl-CoA: carboxylase deficiency","1"
"C1959583","Myocardial Failure","97"
"C0028754","Obesity","169"
"C1335302","Pancreatic Ductal Adenocarcinoma","11"
"C0220711","Long chain acyl-CoA dehydrogenase deficiency","1"
"C0003886","Arthrogryposis","56"
"C0085605","Liver Failure","4"
"C0220710","Medium-chain acyl-coenzyme A dehydrogenase deficiency","1"
"C0520459","Necrotizing Enterocolitis","17"
"C0005586","Bipolar Disorder","140"
"C0342783","Deficiency of butyryl-CoA dehydrogenase","1"
"C1864912","2-Methylbutyryl-CoA Dehydrogenase Deficiency","1"
"C0007194","Hypertrophic Cardiomyopathy","86"
"C3887523","Very long chain acyl-CoA dehydrogenase deficiency","1"
"C1536500","Deficiency of acetyl-CoA acetyltransferase","1"
"C0342735","Cytosolic acetoacetyl-CoA thiolase deficiency","1"
"C0007786","Brain Ischemia","60"
"C0272945","Brain Lacerations","67"
"C0917798","Cerebral Ischemia","60"
"C0002726","Amyloidosis","6"
"C0007134","Renal Cell Carcinoma","120"
"C0025261","Memory Disorders","40"
"C0026850","Muscular Dystrophy","6"
"C0236804","Amphetamine Addiction","71"
"C0236807","Amphetamine Abuse","71"
"C0266487","Etat Marbre","23"
"C0279702","Conventional (Clear Cell) Renal Cell Carcinoma","140"
"C0353676","Organophosphorus Poisoning","4"
"C0700359","Organophosphate poisoning","4"
"C0751263","Learning Disturbance","28"
"C0751265","Learning Disabilities","28"
"C0751292","Age-Related Memory Disorders","40"
"C0751293","Memory Disorder, Semantic","40"
"C0751294","Memory Disorder, Spatial","40"
"C1266042","Chromophobe Renal Cell Carcinoma","120"
