"gene","ID","Name"
"ADCYAP1","C0036341","Schizophrenia"
"ADRA1A","C0036341","Schizophrenia"
"AKT1","C0036341","Schizophrenia"
"ANK3","C0036341","Schizophrenia"
"APOE","C0036341","Schizophrenia"
"ATP2A2","C0036341","Schizophrenia"
"BCL9","C0036341","Schizophrenia"
"BDNF","C0036341","Schizophrenia"
"CACNA1B","C0036341","Schizophrenia"
"CACNA1C","C0036341","Schizophrenia"
"DDR1","C0036341","Schizophrenia"
"CACNB2","C0036341","Schizophrenia"
"CCK","C0036341","Schizophrenia"
"CCKAR","C0036341","Schizophrenia"
"CDC25C","C0036341","Schizophrenia"
"CHI3L1","C0036341","Schizophrenia"
"CHRM1","C0036341","Schizophrenia"
"CHRNA3","C0036341","Schizophrenia"
"CHRNA4","C0036341","Schizophrenia"
"CHRNA5","C0036341","Schizophrenia"
"CHRNA7","C0036341","Schizophrenia"
"CNP","C0036341","Schizophrenia"
"CNR1","C0036341","Schizophrenia"
"CNTF","C0036341","Schizophrenia"
"COMT","C0036341","Schizophrenia"
"CRP","C0036341","Schizophrenia"
"CYP1A2","C0036341","Schizophrenia"
"CYP2D6","C0036341","Schizophrenia"
"DAO","C0036341","Schizophrenia"
"ACE","C0036341","Schizophrenia"
"DLG2","C0036341","Schizophrenia"
"DLG4","C0036341","Schizophrenia"
"DNMT1","C0036341","Schizophrenia"
"DPYD","C0036341","Schizophrenia"
"DRD1","C0036341","Schizophrenia"
"DRD2","C0036341","Schizophrenia"
"DRD3","C0036341","Schizophrenia"
"DRD4","C0036341","Schizophrenia"
"EGR3","C0036341","Schizophrenia"
"ERBB3","C0036341","Schizophrenia"
"ERBB4","C0036341","Schizophrenia"
"ESR1","C0036341","Schizophrenia"
"F2","C0036341","Schizophrenia"
"FGFR1","C0036341","Schizophrenia"
"FMR1","C0036341","Schizophrenia"
"FYN","C0036341","Schizophrenia"
"GABRB2","C0036341","Schizophrenia"
"GAD1","C0036341","Schizophrenia"
"GJA8","C0036341","Schizophrenia"
"GNAO1","C0036341","Schizophrenia"
"GPM6A","C0036341","Schizophrenia"
"GRIA1","C0036341","Schizophrenia"
"GRIN2A","C0036341","Schizophrenia"
"GRIN2B","C0036341","Schizophrenia"
"NR3C1","C0036341","Schizophrenia"
"GRM2","C0036341","Schizophrenia"
"GRM3","C0036341","Schizophrenia"
"GRM5","C0036341","Schizophrenia"
"GRM7","C0036341","Schizophrenia"
"GSK3B","C0036341","Schizophrenia"
"GSTM1","C0036341","Schizophrenia"
"GSTT1","C0036341","Schizophrenia"
"NRG1","C0036341","Schizophrenia"
"HLA-B","C0036341","Schizophrenia"
"HLA-C","C0036341","Schizophrenia"
"HLA-DQB1","C0036341","Schizophrenia"
"HLA-DRB1","C0036341","Schizophrenia"
