DisGeNET,DisGeNET name
C0002170,Alopecia
C0002395,Alzheimer's Disease
C0002871,Anemia
C0004096,Asthma  disease
C0005586,Bipolar Disorder
C0007131,Non-Small Cell Lung Carcinoma
C0008370,Cholestasis
C0009402,Colorectal Carcinoma
C0011570,Mental Depression
C0015695,Fatty Liver
C0023212,Left-Sided Heart Failure
C0023452,Childhood Acute Lymphoblastic Leukemia
C0023467,"Leukemia, Myelocytic, Acute"
C0023473,"Myeloid Leukemia, Chronic"
C0025202,melanoma
C0028754,Obesity disease
C0029456,Osteoporosis
C0029925,Ovarian Carcinoma
C0030567,Parkinson Disease
C0032285,Pneumonia
C0036202,Sarcoidosis
C0036341,Schizophrenia
C0036631,Seminoma
C0038362,Stomatitis
C0041296,Tuberculosis
C0086196,"Eczema, Infantile"
C0149925,Small cell carcinoma of lung
C0151468,Thyroid Gland Follicular Adenoma
C0152018,Esophageal carcinoma
C0156147,Crohn's disease of large bowel
C0205697,"Carcinoma, Spindle-Cell"
C0206669,Hepatocellular Adenoma
C0235527,"Heart Failure, Right-Sided"
C0235974,Pancreatic carcinoma
C0243026,Sepsis
C0269102,Endometrioma
C0278701,Gastric Adenocarcinoma
C0476089,Endometrial Carcinoma
C0553580,Ewings sarcoma
C0678222,Breast Carcinoma
C0699790,Colon Carcinoma
C0699791,Stomach Carcinoma
C0699885,Carcinoma of bladder
C0750974,"Brain Tumor, Primary"
C1510586,Autism Spectrum Disorders
C2239176,Liver carcinoma
C2711227,Steatohepatitis disease
C2931456,"Prostate cancer, familial"
C0220633,Uveal melanoma
C1168401,Squamous cell carcinoma of the head and neck
