"gene","ID","Name"
"PARP1","C0002170","Alopecia"
"AR","C0002170","Alopecia"
"ABCC2","C0002170","Alopecia"
"CRH","C0002170","Alopecia"
"MTHFR","C0002170","Alopecia"
"SRD5A2","C0002170","Alopecia"
"SUPV3L1","C0002170","Alopecia"
"VDR","C0002170","Alopecia"
"ZFP36","C0002170","Alopecia"
"TNFRSF10A","C0002170","Alopecia"
"BRD4","C0002170","Alopecia"
"ZDHHC13","C0002170","Alopecia"
"HR","C0002170","Alopecia"
"A2M","C0002395","Alzheimer's Disease"
"ACHE","C0002395","Alzheimer's Disease"
"AMFR","C0002395","Alzheimer's Disease"
"BIN1","C0002395","Alzheimer's Disease"
"APBB2","C0002395","Alzheimer's Disease"
"APOE","C0002395","Alzheimer's Disease"
"APP","C0002395","Alzheimer's Disease"
"ATP5F1A","C0002395","Alzheimer's Disease"
"BAX","C0002395","Alzheimer's Disease"
"BCHE","C0002395","Alzheimer's Disease"
"BCL2","C0002395","Alzheimer's Disease"
"BDNF","C0002395","Alzheimer's Disease"
"BLMH","C0002395","Alzheimer's Disease"
"CALM1","C0002395","Alzheimer's Disease"
"CASP3","C0002395","Alzheimer's Disease"
"CD33","C0002395","Alzheimer's Disease"
"CHRNA7","C0002395","Alzheimer's Disease"
"CHRNB2","C0002395","Alzheimer's Disease"
"CLU","C0002395","Alzheimer's Disease"
"TPP1","C0002395","Alzheimer's Disease"
"CR1","C0002395","Alzheimer's Disease"
"CRH","C0002395","Alzheimer's Disease"
"CST3","C0002395","Alzheimer's Disease"
"CYP2D6","C0002395","Alzheimer's Disease"
"ACE","C0002395","Alzheimer's Disease"
"DHCR24","C0002395","Alzheimer's Disease"
"DPYSL2","C0002395","Alzheimer's Disease"
"EIF2S1","C0002395","Alzheimer's Disease"
"ENO1","C0002395","Alzheimer's Disease"
"EPHA1","C0002395","Alzheimer's Disease"
"ESR1","C0002395","Alzheimer's Disease"
"F2","C0002395","Alzheimer's Disease"
"GSK3B","C0002395","Alzheimer's Disease"
"HFE","C0002395","Alzheimer's Disease"
"HLA-DRB5","C0002395","Alzheimer's Disease"
"HMOX1","C0002395","Alzheimer's Disease"
"IDE","C0002395","Alzheimer's Disease"
