40,59,66,66,120,58,39,90,93,121,75,87,72,106,53,21,21,16,42,25,89,51,15,5,90,22,89,45,8,4,81,32,74,107,9,28,83,104,121,91,103,63,112,23,102,128,6,34,15,65
59,15,33,48,56,42,26,52,44,71,33,37,40,52,42,13,8,2,22,16,57,30,11,2,39,11,39,20,3,1,40,27,55,56,9,15,39,55,63,57,53,23,35,14,54,71,1,18,10,46
66,33,21,41,65,41,39,63,73,71,39,44,36,57,40,19,10,10,28,18,45,38,15,5,51,15,64,35,3,3,44,18,49,60,7,24,52,64,80,68,68,26,75,18,72,74,5,19,11,47
66,48,41,33,84,45,35,62,68,72,55,44,40,76,41,15,6,9,31,24,65,37,12,7,57,25,64,31,5,1,61,33,44,86,18,21,63,92,97,79,63,35,77,14,92,70,6,29,9,55
120,56,65,84,60,79,52,117,114,153,87,96,89,123,57,20,13,18,55,30,93,54,16,9,116,30,89,49,6,3,113,42,80,128,23,25,126,125,137,100,101,56,127,24,119,119,12,44,18,84
58,42,41,45,79,25,25,65,61,78,51,53,52,76,40,11,11,8,27,31,61,33,7,7,53,18,49,29,1,3,48,26,37,58,11,16,67,82,85,58,84,28,68,17,76,94,3,27,12,61
39,26,39,35,52,25,11,53,48,73,44,35,25,49,26,10,7,12,35,19,39,26,8,5,42,13,39,21,1,2,43,24,37,38,10,10,44,59,62,44,36,21,31,8,50,53,0,24,9,34
90,52,63,62,117,65,53,40,101,120,85,81,72,111,56,17,14,15,49,34,94,48,19,13,96,21,82,57,10,5,82,31,60,104,17,24,101,131,120,85,83,58,120,26,89,119,3,33,20,70
93,44,73,68,114,61,48,101,43,117,75,99,80,115,54,19,18,18,58,24,76,56,18,6,94,24,81,48,6,2,87,45,64,97,17,26,90,141,116,93,103,54,79,29,108,130,7,43,15,76
121,71,71,72,153,78,73,120,117,82,101,97,70,127,75,27,21,19,55,45,108,65,16,7,99,27,102,54,8,6,126,68,93,153,18,29,110,159,173,125,133,73,125,25,143,139,12,58,20,85
75,33,39,55,87,51,44,85,75,101,33,53,56,78,37,13,14,14,38,25,47,38,13,3,70,21,62,32,6,1,78,38,59,71,16,17,75,91,91,76,63,39,71,18,85,78,4,37,12,63
87,37,44,44,96,53,35,81,99,97,53,32,64,98,49,15,11,11,41,20,67,47,15,8,77,17,65,34,8,1,66,33,39,114,11,23,78,107,103,92,83,42,94,21,91,84,8,40,12,49
72,40,36,40,89,52,25,72,80,70,56,64,28,58,34,15,10,8,27,27,58,32,14,3,70,8,65,35,6,1,66,29,56,78,10,13,50,70,80,63,60,34,76,17,65,80,3,22,9,59
106,52,57,76,123,76,49,111,115,127,78,98,58,48,71,23,18,13,55,30,90,58,19,10,88,24,88,43,7,5,110,51,86,123,27,26,94,114,120,110,90,48,124,28,112,120,2,52,14,77
53,42,40,41,57,40,26,56,54,75,37,49,34,71,13,12,10,7,23,25,55,25,12,2,44,12,40,23,3,2,46,22,41,69,14,10,38,63,82,43,69,27,81,12,64,71,3,19,7,46
21,13,19,15,20,11,10,17,19,27,13,15,15,23,12,3,9,5,7,7,19,17,2,1,13,8,19,15,1,2,18,10,22,29,4,6,22,20,30,19,20,12,28,5,19,26,2,4,3,17
21,8,10,6,13,11,7,14,18,21,14,11,10,18,10,9,1,2,4,2,12,13,1,1,18,1,7,15,0,0,14,8,17,20,1,4,18,16,12,14,23,3,25,4,15,18,2,3,4,21
16,2,10,9,18,8,12,15,18,19,14,11,8,13,7,5,2,0,12,3,5,6,3,2,13,2,11,9,1,1,14,5,10,14,3,2,13,16,16,13,14,8,17,1,14,16,1,2,6,13
42,22,28,31,55,27,35,49,58,55,38,41,27,55,23,7,4,12,12,16,43,18,4,4,32,14,49,15,3,0,41,22,23,56,10,10,40,63,53,37,39,27,53,6,54,60,2,20,7,32
