Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa00190:Oxidative phosphorylation	81	40.909090909090914	4.003998512312607E-106	ENSG00000176340, ENSG00000115286, ENSG00000010256, ENSG00000166136, ENSG00000173660, ENSG00000178741, ENSG00000109390, ENSG00000136521, ENSG00000126267, ENSG00000023228, ENSG00000128609, ENSG00000158864, ENSG00000145494, ENSG00000117410, ENSG00000131174, ENSG00000127540, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000117118, ENSG00000112695, ENSG00000204370, ENSG00000143252, ENSG00000155097, ENSG00000170906, ENSG00000165264, ENSG00000099795, ENSG00000099624, ENSG00000006695, ENSG00000139180, ENSG00000184076, ENSG00000125356, ENSG00000183648, ENSG00000136888, ENSG00000065518, ENSG00000179091, ENSG00000267855, ENSG00000184983, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000169020, ENSG00000100554, ENSG00000241837, ENSG00000151366, ENSG00000167863, ENSG00000213619, ENSG00000152234, ENSG00000116459, ENSG00000124172, ENSG00000189043, ENSG00000047249, ENSG00000156467, ENSG00000110955, ENSG00000128524, ENSG00000140740, ENSG00000164405, ENSG00000167792, ENSG00000164919, ENSG00000167283, ENSG00000113732, ENSG00000073578, ENSG00000131100, ENSG00000135390, ENSG00000131495, ENSG00000159199, ENSG00000165629, ENSG00000138495, ENSG00000166260, ENSG00000110719, ENSG00000071553, ENSG00000119421, ENSG00000164258, ENSG00000241468, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000154518, ENSG00000014919, ENSG00000185883, ENSG00000115944	155	133	6879	27.028813970409896	4.724718244528876E-104	4.724718244528876E-104	4.582329231703395E-103
KEGG_PATHWAY	hsa05012:Parkinson's disease	71	35.858585858585855	4.6855880408376026E-83	ENSG00000176340, ENSG00000115286, ENSG00000010256, ENSG00000166136, ENSG00000151729, ENSG00000173660, ENSG00000178741, ENSG00000109390, ENSG00000136521, ENSG00000213585, ENSG00000126267, ENSG00000023228, ENSG00000128609, ENSG00000158864, ENSG00000145494, ENSG00000131174, ENSG00000127540, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000117118, ENSG00000112695, ENSG00000204370, ENSG00000115317, ENSG00000143252, ENSG00000170906, ENSG00000165264, ENSG00000099795, ENSG00000099624, ENSG00000139180, ENSG00000184076, ENSG00000125356, ENSG00000183648, ENSG00000065518, ENSG00000179091, ENSG00000184983, ENSG00000267855, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000241837, ENSG00000151366, ENSG00000167863, ENSG00000172115, ENSG00000213619, ENSG00000152234, ENSG00000116459, ENSG00000124172, ENSG00000005022, ENSG00000189043, ENSG00000156467, ENSG00000110955, ENSG00000140740, ENSG00000164405, ENSG00000167792, ENSG00000164919, ENSG00000169100, ENSG00000073578, ENSG00000135390, ENSG00000131495, ENSG00000159199, ENSG00000165629, ENSG00000165637, ENSG00000078668, ENSG00000119421, ENSG00000164258, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000154518, ENSG00000115944	155	142	6879	22.19032258064516	5.528993888188371E-81	2.7644969440941854E-81	5.362366389803911E-80
KEGG_PATHWAY	hsa05016:Huntington's disease	72	36.36363636363637	4.456033409748306E-73	ENSG00000176340, ENSG00000115286, ENSG00000010256, ENSG00000166136, ENSG00000151729, ENSG00000173660, ENSG00000178741, ENSG00000109390, ENSG00000136521, ENSG00000213585, ENSG00000126267, ENSG00000023228, ENSG00000128609, ENSG00000158864, ENSG00000145494, ENSG00000131174, ENSG00000127540, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000117118, ENSG00000112695, ENSG00000204370, ENSG00000143252, ENSG00000170906, ENSG00000165264, ENSG00000087088, ENSG00000099795, ENSG00000099624, ENSG00000139180, ENSG00000184076, ENSG00000125356, ENSG00000100142, ENSG00000183648, ENSG00000065518, ENSG00000179091, ENSG00000184983, ENSG00000267855, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000241837, ENSG00000151366, ENSG00000167863, ENSG00000172115, ENSG00000213619, ENSG00000152234, ENSG00000116459, ENSG00000124172, ENSG00000005022, ENSG00000189043, ENSG00000156467, ENSG00000110955, ENSG00000140740, ENSG00000164405, ENSG00000167792, ENSG00000164919, ENSG00000169100, ENSG00000073578, ENSG00000135390, ENSG00000131495, ENSG00000159199, ENSG00000165629, ENSG00000165637, ENSG00000078668, ENSG00000119421, ENSG00000164258, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000154518, ENSG00000115944	155	192	6879	16.642741935483873	5.258119423503001E-71	1.7527064745010004E-71	5.099655279128242E-70
KEGG_PATHWAY	hsa05010:Alzheimer's disease	66	33.33333333333333	7.287549212751518E-68	ENSG00000115286, ENSG00000176340, ENSG00000010256, ENSG00000166136, ENSG00000173660, ENSG00000178741, ENSG00000109390, ENSG00000136521, ENSG00000165806, ENSG00000126267, ENSG00000023228, ENSG00000128609, ENSG00000158864, ENSG00000145494, ENSG00000131174, ENSG00000127540, ENSG00000178127, ENSG00000135940, ENSG00000154723, ENSG00000117118, ENSG00000112695, ENSG00000204370, ENSG00000143252, ENSG00000170906, ENSG00000165264, ENSG00000099795, ENSG00000099624, ENSG00000139180, ENSG00000184076, ENSG00000125356, ENSG00000183648, ENSG00000065518, ENSG00000179091, ENSG00000184983, ENSG00000267855, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000241837, ENSG00000151366, ENSG00000167863, ENSG00000172115, ENSG00000213619, ENSG00000152234, ENSG00000116459, ENSG00000124172, ENSG00000189043, ENSG00000156467, ENSG00000110955, ENSG00000140740, ENSG00000164405, ENSG00000167792, ENSG00000164919, ENSG00000073578, ENSG00000135390, ENSG00000131495, ENSG00000159199, ENSG00000165629, ENSG00000072506, ENSG00000119421, ENSG00000164258, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000154518, ENSG00000115944	155	168	6879	17.435253456221197	8.599308071046792E-66	2.149827017761698E-66	8.340150397753482E-65
KEGG_PATHWAY	hsa01100:Metabolic pathways	121	61.111111111111114	1.609466347546411E-61	ENSG00000115286, ENSG00000176340, ENSG00000010256, ENSG00000166136, ENSG00000109390, ENSG00000146701, ENSG00000126267, ENSG00000023228, ENSG00000158864, ENSG00000131174, ENSG00000117118, ENSG00000135940, ENSG00000178127, ENSG00000204370, ENSG00000062485, ENSG00000165264, ENSG00000182054, ENSG00000148672, ENSG00000099624, ENSG00000139180, ENSG00000125356, ENSG00000100142, ENSG00000084754, ENSG00000136888, ENSG00000091140, ENSG00000075239, ENSG00000119689, ENSG00000111716, ENSG00000100554, ENSG00000105953, ENSG00000112992, ENSG00000167863, ENSG00000213619, ENSG00000117054, ENSG00000152234, ENSG00000116459, ENSG00000124172, ENSG00000189043, ENSG00000091483, ENSG00000105220, ENSG00000065154, ENSG00000164405, ENSG00000128524, ENSG00000167792, ENSG00000138413, ENSG00000073578, ENSG00000072778, ENSG00000159199, ENSG00000165629, ENSG00000119711, ENSG00000196177, ENSG00000138495, ENSG00000127884, ENSG00000166260, ENSG00000072506, ENSG00000023330, ENSG00000110719, ENSG00000138029, ENSG00000167315, ENSG00000164258, ENSG00000131143, ENSG00000185883, ENSG00000173660, ENSG00000178741, ENSG00000136521, ENSG00000163541, ENSG00000101365, ENSG00000128609, ENSG00000014641, ENSG00000150768, ENSG00000117410, ENSG00000145494, ENSG00000248098, ENSG00000127540, ENSG00000154723, ENSG00000125166, ENSG00000067829, ENSG00000143252, ENSG00000155097, ENSG00000170906, ENSG00000164039, ENSG00000099795, ENSG00000006695, ENSG00000184076, ENSG00000183648, ENSG00000065518, ENSG00000184983, ENSG00000267855, ENSG00000179091, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000169020, ENSG00000241837, ENSG00000168291, ENSG00000136143, ENSG00000166411, ENSG00000151366, ENSG00000110435, ENSG00000134333, ENSG00000047249, ENSG00000156467, ENSG00000110955, ENSG00000131828, ENSG00000100412, ENSG00000140740, ENSG00000164919, ENSG00000167283, ENSG00000113732, ENSG00000131100, ENSG00000135390, ENSG00000131495, ENSG00000069535, ENSG00000071553, ENSG00000060971, ENSG00000119421, ENSG00000241468, ENSG00000111775, ENSG00000119013, ENSG00000014919, ENSG00000154518	155	1219	6879	4.4052978379951835	1.899170290104765E-59	3.7983405802095303E-60	1.8419349230839607E-58
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease (NAFLD)	54	27.27272727272727	8.044888244766976E-52	ENSG00000115286, ENSG00000176340, ENSG00000010256, ENSG00000166136, ENSG00000173660, ENSG00000178741, ENSG00000136521, ENSG00000109390, ENSG00000165806, ENSG00000126267, ENSG00000023228, ENSG00000128609, ENSG00000158864, ENSG00000145494, ENSG00000131174, ENSG00000127540, ENSG00000178127, ENSG00000117118, ENSG00000135940, ENSG00000204370, ENSG00000112695, ENSG00000143252, ENSG00000170906, ENSG00000165264, ENSG00000087088, ENSG00000099795, ENSG00000139180, ENSG00000125356, ENSG00000184076, ENSG00000183648, ENSG00000065518, ENSG00000184983, ENSG00000267855, ENSG00000179091, ENSG00000169021, ENSG00000090266, ENSG00000004779, ENSG00000172115, ENSG00000151366, ENSG00000213619, ENSG00000189043, ENSG00000156467, ENSG00000164405, ENSG00000140740, ENSG00000167792, ENSG00000164919, ENSG00000073578, ENSG00000131495, ENSG00000119421, ENSG00000164258, ENSG00000111775, ENSG00000131143, ENSG00000119013, ENSG00000115944	155	151	6879	15.871224097415082	9.492968128825033E-50	1.582161354804172E-50	9.206878188496337E-49
KEGG_PATHWAY	hsa00020:Citrate cycle (TCA cycle)	22	11.11111111111111	6.633413201839713E-29	ENSG00000105953, ENSG00000117118, ENSG00000138413, ENSG00000204370, ENSG00000067829, ENSG00000143252, ENSG00000062485, ENSG00000073578, ENSG00000146701, ENSG00000168291, ENSG00000136143, ENSG00000166411, ENSG00000182054, ENSG00000163541, ENSG00000101365, ENSG00000014641, ENSG00000150768, ENSG00000091483, ENSG00000091140, ENSG00000100412, ENSG00000119689, ENSG00000131828	155	30	6879	32.545806451612904	7.827427578170862E-27	1.1182039397386944E-27	7.59153209654943E-26
KEGG_PATHWAY	hsa01200:Carbon metabolism	30	15.151515151515152	1.4394624498847947E-23	ENSG00000105953, ENSG00000146701, ENSG00000136143, ENSG00000168291, ENSG00000166411, ENSG00000117054, ENSG00000163541, ENSG00000101365, ENSG00000014641, ENSG00000150768, ENSG00000091483, ENSG00000105220, ENSG00000100412, ENSG00000131828, ENSG00000117118, ENSG00000138413, ENSG00000204370, ENSG00000125166, ENSG00000143252, ENSG00000067829, ENSG00000073578, ENSG00000062485, ENSG00000182054, ENSG00000119711, ENSG00000148672, ENSG00000127884, ENSG00000084754, ENSG00000075239, ENSG00000091140, ENSG00000119689	155	113	6879	11.782472166714244	1.6985656908640578E-21	2.123207113580072E-22	1.6473759522544736E-20
KEGG_PATHWAY	hsa01130:Biosynthesis of antibiotics	36	18.181818181818183	1.6533435763826872E-21	ENSG00000105953, ENSG00000146701, ENSG00000136143, ENSG00000168291, ENSG00000166411, ENSG00000117054, ENSG00000134333, ENSG00000163541, ENSG00000101365, ENSG00000014641, ENSG00000150768, ENSG00000091483, ENSG00000065154, ENSG00000105220, ENSG00000100412, ENSG00000131828, ENSG00000248098, ENSG00000117118, ENSG00000138413, ENSG00000204370, ENSG00000125166, ENSG00000143252, ENSG00000067829, ENSG00000073578, ENSG00000062485, ENSG00000182054, ENSG00000127884, ENSG00000072506, ENSG00000060971, ENSG00000138029, ENSG00000167315, ENSG00000084754, ENSG00000091140, ENSG00000075239, ENSG00000119689, ENSG00000111716	155	212	6879	7.536335970785149	1.950945420131571E-19	2.1677171334795232E-20	1.892149704054616E-18
KEGG_PATHWAY	hsa04260:Cardiac muscle contraction	20	10.1010101010101	1.460669652364069E-15	ENSG00000164919, ENSG00000176340, ENSG00000127540, ENSG00000135940, ENSG00000010256, ENSG00000112695, ENSG00000173660, ENSG00000178741, ENSG00000126267, ENSG00000184076, ENSG00000156467, ENSG00000143153, ENSG00000111775, ENSG00000179091, ENSG00000169021, ENSG00000131174, ENSG00000164405, ENSG00000131143, ENSG00000140740, ENSG00000115944	155	75	6879	11.83483870967742	1.7030821197749901E-13	1.6986412276764895E-14	1.6542323066914832E-12
