"Pathway"	"NetBAS"	"DAVID"
"Oxidative phosphorylation"	"56.685"	"4.003998512312607E-106"
"Parkinson's disease"	"48.99"	"4.6855880408376026E-83"
"Non-alcoholic fatty liver disease (NAFLD)"	"44.18"	"8.044888244766976E-52"
"Huntington's disease"	"42.237"	"4.456033409748306E-73"
"Alzheimer's disease"	"40.314"	"7.287549212751518E-68"
"Citrate cycle (TCA cycle)"	"39.431"	"6.633413201839713E-29"
"Thermogenesis"	"36.646"	"NA"
"Cardiac muscle contraction"	"22.759"	"1.460669652364069E-15"
"Retrograde endocannabinoid signaling"	"22.378"	"NA"
"Propanoate metabolism"	"18.77"	"1.1181701525717102E-7"
