"Pathway"	"Z-score"
"Oxidative phosphorylation - Homo sapiens (human)"	"131.407"
"Parkinson,s disease - Homo sapiens (human)"	"106.522"
"Alzheimer,s disease - Homo sapiens (human)"	"89.046"
"Thermogenesis - Homo sapiens (human)"	"88.015"
"Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	"75.753"
"Retrograde endocannabinoid signaling - Homo sapiens (human)"	"75.041"
"Huntington,s disease - Homo sapiens (human)"	"65.045"
"Cardiac muscle contraction - Homo sapiens (human)"	"39.95"
"Collecting duct acid secretion - Homo sapiens (human)"	"29.452"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"28.487"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"27.177"
"Phagosome - Homo sapiens (human)"	"25.374"
"Vibrio cholerae infection - Homo sapiens (human)"	"23.096"
"Pentose phosphate pathway - Homo sapiens (human)"	"21.421"
"Synaptic vesicle cycle - Homo sapiens (human)"	"20.482"
"Fructose and mannose metabolism - Homo sapiens (human)"	"20.16"
"Pyruvate metabolism - Homo sapiens (human)"	"19.574"
"Rheumatoid arthritis - Homo sapiens (human)"	"19.01"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"18.679"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"18.461"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"17.779"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"15.828"
"Propanoate metabolism - Homo sapiens (human)"	"15.733"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"15.361"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"13.986"
"Starch and sucrose metabolism - Homo sapiens (human)"	"13.847"
"Fatty acid degradation - Homo sapiens (human)"	"13.745"
"Sulfur metabolism - Homo sapiens (human)"	"13.544"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"13.228"
"Galactose metabolism - Homo sapiens (human)"	"12.814"
"Glutathione metabolism - Homo sapiens (human)"	"12.728"
"Peroxisome - Homo sapiens (human)"	"12.139"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"11.753"
"Proteasome - Homo sapiens (human)"	"11.645"
"Arginine and proline metabolism - Homo sapiens (human)"	"11.307"
"Glucagon signaling pathway - Homo sapiens (human)"	"11.152"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"10.987"
"Necroptosis - Homo sapiens (human)"	"10.928"
"Lysosome - Homo sapiens (human)"	"10.862"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"10.323"
"Tryptophan metabolism - Homo sapiens (human)"	"10.126"
"beta-Alanine metabolism - Homo sapiens (human)"	"10.062"
"Porphyrin and chlorophyll metabolism - Homo sapiens (human)"	"9.872"
"Arginine biosynthesis - Homo sapiens (human)"	"9.818"
"Legionellosis - Homo sapiens (human)"	"9.627"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"9.36"
"Gap junction - Homo sapiens (human)"	"8.886"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"8.765"
"Drug metabolism - cytochrome P450 - Homo sapiens (human)"	"8.699"
"Histidine metabolism - Homo sapiens (human)"	"8.615"
"Fatty acid biosynthesis - Homo sapiens (human)"	"8.472"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"8.365"
"Glycerolipid metabolism - Homo sapiens (human)"	"7.901"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"7.798"
"Glycerophospholipid metabolism - Homo sapiens (human)"	"7.771"
"Ascorbate and aldarate metabolism - Homo sapiens (human)"	"7.537"
"Tuberculosis - Homo sapiens (human)"	"7.515"
"RNA degradation - Homo sapiens (human)"	"7.507"
"Butanoate metabolism - Homo sapiens (human)"	"7.307"
"Metabolism of xenobiotics by cytochrome P450 - Homo sapiens (human)"	"7.289"
"Ubiquinone and other terpenoid-quinone biosynthesis - Homo sapiens (human)"	"7.202"
"Phenylalanine metabolism - Homo sapiens (human)"	"7.155"
"Apoptosis - Homo sapiens (human)"	"6.884"
"Cholesterol metabolism - Homo sapiens (human)"	"6.832"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"6.664"
"Pentose and glucuronate interconversions - Homo sapiens (human)"	"6.554"
"Tyrosine metabolism - Homo sapiens (human)"	"6.4"
"Lysine degradation - Homo sapiens (human)"	"6.304"
"Retinol metabolism - Homo sapiens (human)"	"6.219"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"6.199"
"Chemical carcinogenesis - Homo sapiens (human)"	"6.092"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"6.025"
"Phosphonate and phosphinate metabolism - Homo sapiens (human)"	"5.734"
"One carbon pool by folate - Homo sapiens (human)"	"5.637"
"HIF-1 signaling pathway - Homo sapiens (human)"	"5.633"
"Antigen processing and presentation - Homo sapiens (human)"	"5.624"
"Purine metabolism - Homo sapiens (human)"	"5.559"
"Thiamine metabolism - Homo sapiens (human)"	"5.376"
