"Pathway"	"Z-score"
"Oxidative phosphorylation"	"56.685"
"Parkinson's disease"	"48.99"
"Non-alcoholic fatty liver disease (NAFLD)"	"44.18"
"Huntington's disease"	"42.237"
"Alzheimer's disease"	"40.314"
"Citrate cycle (TCA cycle)"	"39.431"
"Thermogenesis"	"36.646"
"Cardiac muscle contraction"	"22.759"
"Retrograde endocannabinoid signaling"	"22.378"
"Propanoate metabolism"	"18.77"
"Valine, leucine and isoleucine degradation"	"16.402"
"Fatty acid degradation"	"15.705"
"Pyruvate metabolism"	"15.293"
"Vibrio cholerae infection"	"14.711"
"Collecting duct acid secretion"	"14.664"
"Epithelial cell signaling in Helicobacter pylori infection"	"12.186"
"Synaptic vesicle cycle"	"11.549"
"Glyoxylate and dicarboxylate metabolism"	"11.104"
"Rheumatoid arthritis"	"10.472"
"Porphyrin and chlorophyll metabolism"	"8.121"
"Glycolysis / Gluconeogenesis"	"7.662"
"Phagosome"	"7.553"
"Tryptophan metabolism"	"7.132"
"Fatty acid elongation"	"6.952"
"Butanoate metabolism"	"6.741"
"Cysteine and methionine metabolism"	"6.735"
"beta-Alanine metabolism"	"6.419"
"Apoptosis - multiple species"	"6.206"
"Synthesis and degradation of ketone bodies"	"5.86"
"Proximal tubule bicarbonate reclamation"	"5.781"
"Necroptosis"	"5.683"
"Lysine degradation"	"5.616"
"Ribosome"	"4.873"
"Peroxisome"	"4.679"
"Glutathione metabolism"	"4.677"
"Tuberculosis"	"4.545"
"Phenylalanine metabolism"	"4.34"
"cGMP-PKG signaling pathway"	"4.212"
"D-Glutamine and D-glutamate metabolism"	"4.21"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"4.149"
"Central carbon metabolism in cancer"	"4.123"
"Glycine, serine and threonine metabolism"	"4.109"
"Ferroptosis"	"4.04"
"Arginine biosynthesis"	"3.962"
"Glucagon signaling pathway"	"3.841"
"mTOR signaling pathway"	"3.638"
"Arginine and proline metabolism"	"3.557"
"Biosynthesis of unsaturated fatty acids"	"3.527"
"Cholesterol metabolism"	"3.527"
"Cellular senescence"	"3.386"
"Lysosome"	"3.334"
"Apoptosis"	"3.046"
"Calcium signaling pathway"	"3.022"
"Sulfur metabolism"	"2.893"
"Mitophagy - animal"	"2.824"
"Alanine, aspartate and glutamate metabolism"	"2.703"
"HTLV-I infection"	"2.7"
"Tyrosine metabolism"	"2.684"
"PPAR signaling pathway"	"2.653"
"Amino sugar and nucleotide sugar metabolism"	"2.13"
"Hepatitis B"	"2.057"
"Amyotrophic lateral sclerosis (ALS)"	"1.995"
"Nitrogen metabolism"	"1.974"
"HIF-1 signaling pathway"	"1.924"
"Legionellosis"	"1.86"
"Drug metabolism - cytochrome P450"	"1.796"
"NOD-like receptor signaling pathway"	"1.722"
"Terpenoid backbone biosynthesis"	"1.623"
"Histidine metabolism"	"1.564"
"Protein export"	"1.563"
