"ID"	"Pathway"	"Z-score"
"hsa00190"	"Oxidative phosphorylation"	"131.407"
"hsa05012"	"Parkinson,s disease"	"106.522"
"hsa05010"	"Alzheimer,s disease"	"89.046"
"hsa04714"	"Thermogenesis"	"88.015"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"75.753"
"hsa04723"	"Retrograde endocannabinoid signaling"	"75.041"
"hsa05016"	"Huntington,s disease"	"65.045"
"hsa04260"	"Cardiac muscle contraction"	"39.95"
"hsa04966"	"Collecting duct acid secretion"	"29.452"
"hsa00010"	"Glycolysis / Gluconeogenesis"	"28.487"
"hsa00020"	"Citrate cycle (TCA cycle)"	"27.177"
"hsa04145"	"Phagosome"	"25.374"
"hsa05110"	"Vibrio cholerae infection"	"23.096"
"hsa00030"	"Pentose phosphate pathway"	"21.421"
"hsa04721"	"Synaptic vesicle cycle"	"20.482"
"hsa00051"	"Fructose and mannose metabolism"	"20.16"
"hsa00620"	"Pyruvate metabolism"	"19.574"
"hsa05323"	"Rheumatoid arthritis"	"19.01"
"hsa00280"	"Valine, leucine and isoleucine degradation"	"18.679"
"hsa00260"	"Glycine, serine and threonine metabolism"	"18.461"
"hsa00520"	"Amino sugar and nucleotide sugar metabolism"	"17.779"
"hsa00270"	"Cysteine and methionine metabolism"	"15.828"
"hsa00640"	"Propanoate metabolism"	"15.733"
"hsa00630"	"Glyoxylate and dicarboxylate metabolism"	"15.361"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"13.986"
"hsa00500"	"Starch and sucrose metabolism"	"13.847"
"hsa00071"	"Fatty acid degradation"	"13.745"
"hsa00920"	"Sulfur metabolism"	"13.544"
"hsa00983"	"Drug metabolism - other enzymes"	"13.228"
"hsa00052"	"Galactose metabolism"	"12.814"
"hsa00480"	"Glutathione metabolism"	"12.728"
"hsa04146"	"Peroxisome"	"12.139"
"hsa00970"	"Aminoacyl-tRNA biosynthesis"	"11.753"
"hsa03050"	"Proteasome"	"11.645"
"hsa00330"	"Arginine and proline metabolism"	"11.307"
"hsa04922"	"Glucagon signaling pathway"	"11.152"
"hsa00250"	"Alanine, aspartate and glutamate metabolism"	"10.987"
"hsa04217"	"Necroptosis"	"10.928"
"hsa04142"	"Lysosome"	"10.862"
"hsa05130"	"Pathogenic Escherichia coli infection"	"10.323"
"hsa00380"	"Tryptophan metabolism"	"10.126"
"hsa00410"	"beta-Alanine metabolism"	"10.062"
"hsa00860"	"Porphyrin and chlorophyll metabolism"	"9.872"
"hsa00220"	"Arginine biosynthesis"	"9.818"
"hsa05134"	"Legionellosis"	"9.627"
"hsa05230"	"Central carbon metabolism in cancer"	"9.36"
"hsa04540"	"Gap junction"	"8.886"
"hsa00290"	"Valine, leucine and isoleucine biosynthesis"	"8.765"
"hsa00982"	"Drug metabolism - cytochrome P450"	"8.699"
"hsa00340"	"Histidine metabolism"	"8.615"
"hsa00061"	"Fatty acid biosynthesis"	"8.472"
"hsa04022"	"cGMP-PKG signaling pathway"	"8.365"
"hsa00561"	"Glycerolipid metabolism"	"7.901"
"hsa00072"	"Synthesis and degradation of ketone bodies"	"7.798"
"hsa00564"	"Glycerophospholipid metabolism"	"7.771"
"hsa00053"	"Ascorbate and aldarate metabolism"	"7.537"
"hsa05152"	"Tuberculosis"	"7.515"
"hsa03018"	"RNA degradation"	"7.507"
"hsa00650"	"Butanoate metabolism"	"7.307"
"hsa00980"	"Metabolism of xenobiotics by cytochrome P450"	"7.289"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"7.202"
"hsa00360"	"Phenylalanine metabolism"	"7.155"
"hsa04210"	"Apoptosis"	"6.884"
"hsa04979"	"Cholesterol metabolism"	"6.832"
"hsa00524"	"Neomycin, kanamycin and gentamicin biosynthesis"	"6.664"
"hsa00040"	"Pentose and glucuronate interconversions"	"6.554"
"hsa00350"	"Tyrosine metabolism"	"6.4"
"hsa00310"	"Lysine degradation"	"6.304"
"hsa00830"	"Retinol metabolism"	"6.219"
"hsa00400"	"Phenylalanine, tyrosine and tryptophan biosynthesis"	"6.199"
"hsa05204"	"Chemical carcinogenesis"	"6.092"
"hsa04141"	"Protein processing in endoplasmic reticulum"	"6.025"
"hsa00440"	"Phosphonate and phosphinate metabolism"	"5.734"
"hsa00670"	"One carbon pool by folate"	"5.637"
"hsa04066"	"HIF-1 signaling pathway"	"5.633"
"hsa04612"	"Antigen processing and presentation"	"5.624"
"hsa00230"	"Purine metabolism"	"5.559"
"hsa00730"	"Thiamine metabolism"	"5.376"
"hsa00471"	"D-Glutamine and D-glutamate metabolism"	"5.338"
"hsa04216"	"Ferroptosis"	"5.181"
"hsa00785"	"Lipoic acid metabolism"	"5.05"
"hsa04215"	"Apoptosis - multiple species"	"5.007"
"hsa00910"	"Nitrogen metabolism"	"4.971"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"4.544"
"hsa04975"	"Fat digestion and absorption"	"4.534"
"hsa05020"	"Prion diseases"	"4.46"
"hsa00900"	"Terpenoid backbone biosynthesis"	"4.25"
"hsa05145"	"Toxoplasmosis"	"4.168"
"hsa00140"	"Steroid hormone biosynthesis"	"4.145"
"hsa05322"	"Systemic lupus erythematosus"	"4.085"
"hsa00780"	"Biotin metabolism"	"3.949"
"hsa05169"	"Epstein-Barr virus infection"	"3.907"
"hsa00240"	"Pyrimidine metabolism"	"3.853"
"hsa00770"	"Pantothenate and CoA biosynthesis"	"3.835"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"3.805"
"hsa04150"	"mTOR signaling pathway"	"3.651"
"hsa04950"	"Maturity onset diabetes of the young"	"3.603"
"hsa05164"	"Influenza A"	"3.554"
"hsa04930"	"Type II diabetes mellitus"	"3.455"
"hsa00062"	"Fatty acid elongation"	"3.394"
"hsa04940"	"Type I diabetes mellitus"	"3.334"
"hsa04213"	"Longevity regulating pathway - multiple species"	"3.309"
"hsa04020"	"Calcium signaling pathway"	"2.744"
"hsa04621"	"NOD-like receptor signaling pathway"	"2.482"
"hsa04218"	"Cellular senescence"	"2.362"
"hsa00790"	"Folate biosynthesis"	"2.265"
"hsa03320"	"PPAR signaling pathway"	"2.167"
"hsa04918"	"Thyroid hormone synthesis"	"2.065"
"hsa04530"	"Tight junction"	"1.983"
"hsa00510"	"N-Glycan biosynthesis"	"1.909"
"hsa04136"	"Autophagy - other"	"1.607"
"hsa00760"	"Nicotinate and nicotinamide metabolism"	"1.586"
"hsa04122"	"Sulfur relay system"	"1.539"
"hsa04910"	"Insulin signaling pathway"	"1.395"
"hsa00232"	"Caffeine metabolism"	"1.335"
"hsa04152"	"AMPK signaling pathway"	"1.201"
"hsa00450"	"Selenocompound metabolism"	"1.11"
"hsa05030"	"Cocaine addiction"	"1.055"
"hsa04962"	"Vasopressin-regulated water reabsorption"	"0.944"
"hsa05034"	"Alcoholism"	"0.592"
"hsa05332"	"Graft-versus-host disease"	"0.567"
"hsa05330"	"Allograft rejection"	"0.546"
"hsa04915"	"Estrogen signaling pathway"	"0.513"
"hsa04261"	"Adrenergic signaling in cardiomyocytes"	"0.489"
"hsa04970"	"Salivary secretion"	"0.417"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"0.381"
"hsa04614"	"Renin-angiotensin system"	"0.363"
"hsa04921"	"Oxytocin signaling pathway"	"0.313"
"hsa05216"	"Thyroid cancer"	"0.309"
"hsa00591"	"Linoleic acid metabolism"	"0.304"
"hsa04924"	"Renin secretion"	"0.243"
"hsa04931"	"Insulin resistance"	"0.204"
"hsa01040"	"Biosynthesis of unsaturated fatty acids"	"0.139"
"hsa00590"	"Arachidonic acid metabolism"	"0.104"
"hsa04010"	"MAPK signaling pathway"	"0.102"
"hsa00600"	"Sphingolipid metabolism"	"0.077"
"hsa04114"	"Oocyte meiosis"	"0.03"
"hsa05219"	"Bladder cancer"	"-0.016"
"hsa04972"	"Pancreatic secretion"	"-0.083"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.163"
"hsa00511"	"Other glycan degradation"	"-0.169"
"hsa04144"	"Endocytosis"	"-0.173"
"hsa04392"	"Hippo signaling pathway - multiple species"	"-0.175"
"hsa04920"	"Adipocytokine signaling pathway"	"-0.185"
"hsa04710"	"Circadian rhythm"	"-0.188"
"hsa05203"	"Viral carcinogenesis"	"-0.201"
"hsa05146"	"Amoebiasis"	"-0.234"
"hsa00120"	"Primary bile acid biosynthesis"	"-0.24"
"hsa00592"	"alpha-Linolenic acid metabolism"	"-0.269"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"-0.303"
"hsa04925"	"Aldosterone synthesis and secretion"	"-0.312"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"-0.318"
"hsa04911"	"Insulin secretion"	"-0.328"
"hsa04115"	"p53 signaling pathway"	"-0.347"
"hsa05140"	"Leishmaniasis"	"-0.436"
"hsa05031"	"Amphetamine addiction"	"-0.45"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-0.503"
"hsa00562"	"Inositol phosphate metabolism"	"-0.514"
"hsa04974"	"Protein digestion and absorption"	"-0.535"
"hsa05162"	"Measles"	"-0.675"
"hsa05320"	"Autoimmune thyroid disease"	"-0.691"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.77"
"hsa05133"	"Pertussis"	"-0.859"
"hsa04390"	"Hippo signaling pathway"	"-0.884"
"hsa00740"	"Riboflavin metabolism"	"-0.933"
"hsa00565"	"Ether lipid metabolism"	"-0.955"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"-0.985"
"hsa00750"	"Vitamin B6 metabolism"	"-1.006"
"hsa04270"	"Vascular smooth muscle contraction"	"-1.071"
"hsa00604"	"Glycosphingolipid biosynthesis - ganglio series"	"-1.099"
"hsa03013"	"RNA transport"	"-1.198"
"hsa05222"	"Small cell lung cancer"	"-1.285"
"hsa02010"	"ABC transporters"	"-1.336"
"hsa04137"	"Mitophagy - animal"	"-1.378"
"hsa05166"	"HTLV-I infection"	"-1.404"
"hsa04730"	"Long-term depression"	"-1.461"
"hsa04625"	"C-type lectin receptor signaling pathway"	"-1.481"
"hsa00430"	"Taurine and hypotaurine metabolism"	"-1.514"
"hsa05416"	"Viral myocarditis"	"-1.551"
"hsa04658"	"Th1 and Th2 cell differentiation"	"-1.597"
"hsa04720"	"Long-term potentiation"	"-1.73"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"-1.764"
"hsa03430"	"Mismatch repair"	"-1.792"
"hsa04140"	"Autophagy - animal"	"-1.806"
"hsa03060"	"Protein export"	"-1.853"
"hsa04978"	"Mineral absorption"	"-1.881"
"hsa04976"	"Bile secretion"	"-1.907"
"hsa04973"	"Carbohydrate digestion and absorption"	"-1.915"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-1.951"
"hsa00100"	"Steroid biosynthesis"	"-2.001"
"hsa00531"	"Glycosaminoglycan degradation"	"-2.005"
"hsa04927"	"Cortisol synthesis and secretion"	"-2.019"
"hsa05143"	"African trypanosomiasis"	"-2.023"
"hsa03010"	"Ribosome"	"-2.054"
"hsa00601"	"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-2.223"
"hsa00514"	"Other types of O-glycan biosynthesis"	"-2.239"
"hsa00515"	"Mannose type O-glycan biosynthesis"	"-2.269"
"hsa03020"	"RNA polymerase"	"-2.277"
"hsa04350"	"TGF-beta signaling pathway"	"-2.393"
"hsa03410"	"Base excision repair"	"-2.438"
"hsa05161"	"Hepatitis B"	"-2.484"
"hsa04340"	"Hedgehog signaling pathway"	"-2.532"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"-2.536"
"hsa05033"	"Nicotine addiction"	"-2.596"
"hsa04668"	"TNF signaling pathway"	"-2.604"
"hsa04977"	"Vitamin digestion and absorption"	"-2.608"
"hsa04724"	"Glutamatergic synapse"	"-2.648"
"hsa00533"	"Glycosaminoglycan biosynthesis - keratan sulfate"	"-2.668"
"hsa04913"	"Ovarian steroidogenesis"	"-2.684"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"-2.749"
"hsa04971"	"Gastric acid secretion"	"-2.783"
"hsa04211"	"Longevity regulating pathway"	"-2.837"
"hsa04657"	"IL-17 signaling pathway"	"-3.009"
"hsa04371"	"Apelin signaling pathway"	"-3.061"
"hsa04912"	"GnRH signaling pathway"	"-3.062"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"-3.184"
"hsa05144"	"Malaria"	"-3.247"
"hsa03450"	"Non-homologous end-joining"	"-3.387"
"hsa04727"	"GABAergic synapse"	"-3.393"
"hsa00532"	"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-3.412"
"hsa00512"	"Mucin type O-glycan biosynthesis"	"-3.433"
"hsa04512"	"ECM-receptor interaction"	"-3.609"
"hsa05132"	"Salmonella infection"	"-3.62"
"hsa04620"	"Toll-like receptor signaling pathway"	"-3.625"
"hsa05310"	"Asthma"	"-3.722"
"hsa05210"	"Colorectal cancer"	"-3.853"
"hsa04070"	"Phosphatidylinositol signaling system"	"-3.876"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"-3.945"
"hsa05218"	"Melanoma"	"-3.953"
"hsa05213"	"Endometrial cancer"	"-4.01"
"hsa03022"	"Basal transcription factors"	"-4.018"
"hsa05340"	"Primary immunodeficiency"	"-4.181"
"hsa04310"	"Wnt signaling pathway"	"-4.231"
"hsa04662"	"B cell receptor signaling pathway"	"-4.233"
"hsa04659"	"Th17 cell differentiation"	"-4.241"
"hsa04722"	"Neurotrophin signaling pathway"	"-4.308"
"hsa04380"	"Osteoclast differentiation"	"-4.395"
"hsa00534"	"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-4.419"
"hsa05100"	"Bacterial invasion of epithelial cells"	"-4.471"
"hsa03008"	"Ribosome biogenesis in eukaryotes"	"-4.497"
"hsa05221"	"Acute myeloid leukemia"	"-4.5"
"hsa05131"	"Shigellosis"	"-4.524"
"hsa04744"	"Phototransduction"	"-4.619"
"hsa04740"	"Olfactory transduction"	"-4.712"
"hsa05231"	"Choline metabolism in cancer"	"-4.751"
"hsa04919"	"Thyroid hormone signaling pathway"	"-4.778"
"hsa04068"	"FoxO signaling pathway"	"-4.816"
"hsa03015"	"mRNA surveillance pathway"	"-4.82"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"-4.879"
"hsa05214"	"Glioma"	"-4.932"
"hsa05211"	"Renal cell carcinoma"	"-4.977"
"hsa04917"	"Prolactin signaling pathway"	"-4.997"
"hsa04151"	"PI3K-Akt signaling pathway"	"-5.017"
"hsa04713"	"Circadian entrainment"	"-5.071"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"-5.073"
"hsa04370"	"VEGF signaling pathway"	"-5.106"
"hsa04120"	"Ubiquitin mediated proteolysis"	"-5.135"
"hsa05215"	"Prostate cancer"	"-5.16"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"-5.258"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"-5.269"
"hsa04728"	"Dopaminergic synapse"	"-5.285"
"hsa04012"	"ErbB signaling pathway"	"-5.328"
"hsa04611"	"Platelet activation"	"-5.341"
