"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0005747"	"mitochondrial respiratory chain complex I"	"144.857"	"2.8913112021767183E-41"
"GO:0005743"	"mitochondrial inner membrane"	"114.285"	"4.851684827176871E-143"
"GO:0005739"	"mitochondrion"	"80.941"	"2.1783393849949053E-160"
"GO:0005751"	"mitochondrial respiratory chain complex IV"	"57.947"	"1.519572671531467E-7"
"GO:0005759"	"mitochondrial matrix"	"53.46"	"2.1933624305807818E-66"
"GO:0005746"	"mitochondrial respiratory chain"	"39.762"	"9.02592072523946E-80"
"GO:0030964"	"NADH dehydrogenase complex"	"38.336"	"2.8913112021767183E-41"
"GO:0045277"	"respiratory chain complex IV"	"37.083"	"1.4660637395351629E-8"
"GO:0005750"	"mitochondrial respiratory chain complex III"	"36.09"	"2.1789154224597947E-11"
"GO:0031966"	"mitochondrial membrane"	"35.46"	"4.779205225210721E-140"
