"Pathway"	"Z-score"
"Cytokine-cytokine receptor interaction"	"23.184"
"Jak-STAT signaling pathway"	"22.194"
"Pathways in cancer"	"17.798"
"PI3K-Akt signaling pathway"	"15.005"
"Hepatitis B"	"14.79"
"Human papillomavirus infection"	"13.324"
"MicroRNAs in cancer"	"12.532"
"Kaposi's sarcoma-associated herpesvirus infection"	"12.32"
"Non-small cell lung cancer"	"12.234"
"Neuroactive ligand-receptor interaction"	"12.093"
"Chemokine signaling pathway"	"11.953"
"Natural killer cell mediated cytotoxicity"	"11.801"
"Prostate cancer"	"11.8"
"Breast cancer"	"11.749"
"Cellular senescence"	"11.576"
"ErbB signaling pathway"	"11.538"
"Sphingolipid signaling pathway"	"11.53"
"Hepatitis C"	"11.482"
"Chronic myeloid leukemia"	"11.456"
"Glioma"	"11.371"
"Phospholipase D signaling pathway"	"11.332"
"Proteoglycans in cancer"	"11.011"
"AGE-RAGE signaling pathway in diabetic complications"	"10.984"
"Pancreatic cancer"	"10.943"
"Prolactin signaling pathway"	"10.848"
"FoxO signaling pathway"	"10.724"
"Gastric cancer"	"10.636"
"Rap1 signaling pathway"	"10.601"
"Thyroid hormone signaling pathway"	"10.56"
"Melanoma"	"10.531"
"Acute myeloid leukemia"	"10.508"
"Cell cycle"	"10.334"
"Bladder cancer"	"10.262"
"Taste transduction"	"10.177"
"Endometrial cancer"	"10.021"
"Toll-like receptor signaling pathway"	"9.951"
"cAMP signaling pathway"	"9.84"
"Choline metabolism in cancer"	"9.79"
"Colorectal cancer"	"9.745"
"Tuberculosis"	"9.687"
"Th17 cell differentiation"	"9.558"
"Hepatocellular carcinoma"	"9.518"
"Osteoclast differentiation"	"9.352"
"GnRH signaling pathway"	"9.303"
"Th1 and Th2 cell differentiation"	"9.274"
"Fc epsilon RI signaling pathway"	"9.225"
"Signaling pathways regulating pluripotency of stem cells"	"9.17"
"Progesterone-mediated oocyte maturation"	"9.123"
"MAPK signaling pathway"	"9.107"
"C-type lectin receptor signaling pathway"	"9.063"
"Chagas disease (American trypanosomiasis)"	"9.059"
"HTLV-I infection"	"9.045"
"VEGF signaling pathway"	"9.005"
"HIF-1 signaling pathway"	"8.903"
"Neurotrophin signaling pathway"	"8.86"
"Cushing's syndrome"	"8.744"
"Axon guidance"	"8.736"
"Estrogen signaling pathway"	"8.699"
"Aldosterone-regulated sodium reabsorption"	"8.301"
"Long-term depression"	"8.27"
"T cell receptor signaling pathway"	"8.26"
"Focal adhesion"	"8.087"
"TNF signaling pathway"	"8.063"
"Relaxin signaling pathway"	"8.038"
"Hematopoietic cell lineage"	"7.943"
"Ras signaling pathway"	"7.781"
"Measles"	"7.743"
"Oocyte meiosis"	"7.733"
"Wnt signaling pathway"	"7.679"
"Long-term potentiation"	"7.657"
"Small cell lung cancer"	"7.573"
"B cell receptor signaling pathway"	"7.569"
"Autophagy - animal"	"7.425"
"Melanogenesis"	"7.408"
"Autoimmune thyroid disease"	"7.327"
"Insulin resistance"	"7.311"
"Adrenergic signaling in cardiomyocytes"	"7.269"
"p53 signaling pathway"	"7.234"
"RIG-I-like receptor signaling pathway"	"7.129"
"Type II diabetes mellitus"	"7.061"
"Regulation of lipolysis in adipocytes"	"7.024"
"Insulin signaling pathway"	"6.982"
"Serotonergic synapse"	"6.98"
"NOD-like receptor signaling pathway"	"6.973"
"Renal cell carcinoma"	"6.963"
"Oxytocin signaling pathway"	"6.852"
"TGF-beta signaling pathway"	"6.851"
"Cholinergic synapse"	"6.727"
"Influenza A"	"6.726"
"IL-17 signaling pathway"	"6.617"
"Phosphatidylinositol signaling system"	"6.571"
"Central carbon metabolism in cancer"	"6.529"
