"Disorder.Name","disease.class"
"Schizophrenia","F03"
"Alzheimer's Disease","C10;F03"
"Malignant tumor of colon","C04;C06"
"Presenile dementia","C10;F03"
"Mental Depression","F01"
"Depressive disorder","F03"
"Hepatolenticular Degeneration","C06;C10;C16;C18"
"Kidney Failure, Acute","C12;C13"
"Liver Cirrhosis","C06"
"Fibrosis, Liver","C06"
"Malignant neoplasm of lung","C04;C08"
"Familial Alzheimer Disease (FAD)","C10;F03"
"Alzheimer Disease, Late Onset","C10;F03"
"Acute Confusional Senile Dementia","C10;F03"
"Alzheimer's Disease, Focal Onset","C10;F03"
"Alzheimer Disease, Early Onset","C10;F03"
"Hepatic Form of Wilson Disease","C06;C10;C16;C18"
"Acute Kidney Insufficiency","C12;C13"
"Liver carcinoma","C04;C06"
"Acute kidney injury","C12;C13"
"Alcoholic Intoxication, Chronic","C25;F03"
"Malignant neoplasm of urinary bladder","C04;C12;C13"
"Malignant neoplasm of prostate","C04;C12"
"Malignant neoplasm of breast","C04;C17"
"Coronary Arteriosclerosis","C14"
"Diastematomyelia","C10;C16"
"Hepatitis, Toxic","C06;C25"
"Childhood Acute Lymphoblastic Leukemia","C04;C15;C20"
"Leukemia, Lymphocytic, Acute, L2","C04;C15;C20"
"Neurenteric Cyst","C10;C16"
"Tethered Cord Syndrome","C10;C16"
"Iniencephaly","C10;C16"
"Craniorachischisis","C10;C16"
"Exencephaly","C10;C16"
"Spinal Cord Myelodysplasia","C10;C16"
"Malignant neoplasm of liver","C04;C06"
"Malignant mesothelioma","C04;C08"
"Breast Carcinoma","C04;C17"
"Acrania","C10;C16"
"Drug-Induced Liver Disease","C06;C25"
"Hepatitis, Drug-Induced","C06;C25"
"Coronary Artery Disease","C14"
"Precursor Cell Lymphoblastic Leukemia Lymphoma","C04;C15;C20"
"Drug-Induced Acute Liver Injury","C06;C25"
"Chemical and Drug Induced Liver Injury","C06;C25"
"Chemically-Induced Liver Toxicity","C06;C25"
"Lipoidosis","C16;C18"
"Nonorganic psychosis",""
"Depression, Bipolar","F03"
"Charcot-Marie-Tooth Disease","C10;C16"
"Epileptic encephalopathy",""
"Jacksonian Seizure","C10;C23"
"Complex partial seizures","C10;C23"
"Generalized seizures","C10;C23"
"Seizures, Clonic","C10;C23"
"Visual seizure","C10;C23"
"Epileptic drop attack","C10;C23"
"Olfactory seizure","C10;C23"
"Vertiginous seizure","C10;C23"
"Tonic - clonic seizures","C10;C23"
"Single Seizure","C10;C23"
"Atonic Absence Seizures","C10;C23"
"Nonepileptic Seizures","C10;C23"
"Epileptic Seizures","C10;C23"
"Generalized Absence Seizures","C10;C23"
"Atherosclerosis","C14"
"Colorectal Carcinoma","C04;C06"
"Hypercholesterolemia","C18"
"Hypercholesterolemia, Familial","C16;C18"
"Kidney Failure, Chronic","C12;C13"
"Hyperlipoproteinemia Type IIa","C16;C18"
"Colorectal Cancer","C04;C06"
"Pulmonary Fibrosis","C08"
"Hamman-Rich syndrome","C08"
"Idiopathic Pulmonary Fibrosis","C08"
"Tremor, Rubral","C10;C23"
"Pneumonia","C08"
"Lobar Pneumonia","C08"
"Experimental Lung Inflammation","C08"
"Pneumonitis","C08"
"Cleft upper lip","C07;C16"
"Retinitis Pigmentosa","C11;C16"
"Age related macular degeneration","C11"
"Burkitt Lymphoma","C02;C04;C15;C20"
"Myeloid Leukemia, Chronic","C04;C15"
"melanoma","C04"
"Adenocarcinoma, Basal Cell","C04"
"Adenocarcinoma, Oxyphilic","C04"
"Carcinoma, Cribriform","C04"
"Carcinoma, Granular Cell","C04"
"Adenocarcinoma, Tubular","C04"
"Large cell carcinoma of lung",""
"Malignant neoplasm of esophagus","C04;C06"
"Precursor B-cell lymphoblastic leukemia",""
"Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","C04;C15;C20"
"Pancreatic Neoplasm","C04;C06;C19"
"Alcohol abuse","C25;F03"
"Malignant neoplasm of pancreas","C04;C06;C19"
"Epithelial ovarian cancer","C04;C13;C19"
"Acute Cerebrovascular Accidents","C10;C14"
"Heart failure","C14"
"Congestive heart failure","C14"
"Left-Sided Heart Failure","C14"
"Heart Failure, Right-Sided","C14"
"Myocardial Failure","C14"
"Obesity","C18;C23"
"Arthrogryposis","C05;C16"
"Necrotizing Enterocolitis","C06"
"Bipolar Disorder","F03"
"Hypertrophic Cardiomyopathy","C14"
"Brain Ischemia","C10;C14"
"Brain Lacerations","C10;C26"
"Cerebral Ischemia","C10;C14"
"Renal Cell Carcinoma","C04;C12;C13"
"Memory Disorders","C10;C23;F01"
"Amphetamine Addiction","C25;F03"
"Amphetamine Abuse","C25;F03"
"Etat Marbre","C10"
"Conventional (Clear Cell) Renal Cell Carcinoma","C04;C12;C13"
"Learning Disturbance","C10;C23;F03"
"Learning Disabilities","C10;C23;F03"
"Age-Related Memory Disorders","C10;C23;F01"
"Memory Disorder, Semantic","C10;C23;F01"
"Memory Disorder, Spatial","C10;C23;F01"
"Chromophobe Renal Cell Carcinoma","C04;C12;C13"
"Sarcomatoid Renal Cell Carcinoma","C04;C12;C13"
"Collecting Duct Carcinoma of the Kidney","C04;C12;C13"
"Papillary Renal Cell Carcinoma","C04;C12;C13"
"Degenerative polyarthritis","C05"
"Osteoarthrosis Deformans","C05"
"Respiratory Distress Syndrome, Adult","C08"
"Alloxan Diabetes","C18;C19"
"Diabetes Mellitus, Experimental","C18;C19"
"Leukodystrophy",""
"Streptozotocin Diabetes","C18;C19"
"Unipolar Depression","F03"
"Major Depressive Disorder","F03"
"Osteogenesis Imperfecta","C05;C16;C17"
"Juvenile-Onset Still Disease","C05;C17;C20"
"Juvenile arthritis","C05;C17;C20"
"Juvenile psoriatic arthritis","C05;C17;C20"
"Left Ventricular Hypertrophy","C14;C23"
"Congenital Fiber Type Disproportion","C05;C10"
"Congenital muscular dystrophy (disorder)",""
"Cardiomyopathy, Hypertrophic, Familial","C14;C16"
"Cholestasis, Extrahepatic","C06"
"Ehlers-Danlos Syndrome","C14;C15;C16;C17"
"Endometriosis","C13"
"Focal glomerulosclerosis","C12;C13"
"Hepatitis, Chronic","C06"
"Marfan Syndrome","C05;C14;C16;C17"
