"Disorder.Name","Semantic.Type"
"Schizophrenia","Mental or Behavioral Dysfunction"
"Alzheimer's Disease","Disease or Syndrome"
"Malignant tumor of colon","Neoplastic Process"
"Presenile dementia","Mental or Behavioral Dysfunction"
"Mental Depression","Mental or Behavioral Dysfunction"
"Depressive disorder","Mental or Behavioral Dysfunction"
"Hepatolenticular Degeneration","Disease or Syndrome"
"Kidney Failure, Acute","Disease or Syndrome"
"Liver Cirrhosis","Disease or Syndrome"
"Fibrosis, Liver","Disease or Syndrome"
"Malignant neoplasm of lung","Neoplastic Process"
"Familial Alzheimer Disease (FAD)","Disease or Syndrome"
"Alzheimer Disease, Late Onset","Mental or Behavioral Dysfunction"
"Acute Confusional Senile Dementia","Mental or Behavioral Dysfunction"
"Alzheimer's Disease, Focal Onset","Mental or Behavioral Dysfunction"
"Alzheimer Disease, Early Onset","Disease or Syndrome"
"Hepatic Form of Wilson Disease","Disease or Syndrome"
"Acute Kidney Insufficiency","Disease or Syndrome"
"Liver carcinoma","Neoplastic Process"
"Acute kidney injury","Injury or Poisoning"
"Alcoholic Intoxication, Chronic","Mental or Behavioral Dysfunction"
"Malignant neoplasm of urinary bladder","Neoplastic Process"
"Malignant neoplasm of prostate","Neoplastic Process"
"Malignant neoplasm of breast","Neoplastic Process"
"Coronary Arteriosclerosis","Disease or Syndrome"
"Diastematomyelia","Congenital Abnormality"
"Hepatitis, Toxic","Injury or Poisoning"
"Childhood Acute Lymphoblastic Leukemia","Neoplastic Process"
"Leukemia, Lymphocytic, Acute, L2","Neoplastic Process"
"Neurenteric Cyst","Congenital Abnormality"
"Tethered Cord Syndrome","Disease or Syndrome"
"Iniencephaly","Congenital Abnormality"
"Craniorachischisis","Congenital Abnormality"
"Exencephaly","Congenital Abnormality"
"Spinal Cord Myelodysplasia","Congenital Abnormality"
"Malignant neoplasm of liver","Neoplastic Process"
"Malignant mesothelioma","Neoplastic Process"
"Breast Carcinoma","Neoplastic Process"
"Acrania","Congenital Abnormality"
"Drug-Induced Liver Disease","Disease or Syndrome"
"Hepatitis, Drug-Induced","Disease or Syndrome"
"Coronary Artery Disease","Disease or Syndrome"
"Precursor Cell Lymphoblastic Leukemia Lymphoma","Neoplastic Process"
"Drug-Induced Acute Liver Injury","Disease or Syndrome"
"Chemical and Drug Induced Liver Injury","Disease or Syndrome"
"Chemically-Induced Liver Toxicity","Disease or Syndrome"
"Lipoidosis","Disease or Syndrome"
