"Disorder.Name","Semantic.Type","Disease.class"
"Schizophrenia","Mental or Behavioral Dysfunction","F03"
"Alzheimer's Disease","Disease or Syndrome","C10;F03"
"Malignant tumor of colon","Neoplastic Process","C04;C06"
"Presenile dementia","Mental or Behavioral Dysfunction","C10;F03"
"Mental Depression","Mental or Behavioral Dysfunction","F01"
"Depressive disorder","Mental or Behavioral Dysfunction","F03"
"Hepatolenticular Degeneration","Disease or Syndrome","C06;C10;C16;C18"
"Kidney Failure, Acute","Disease or Syndrome","C12;C13"
"Liver Cirrhosis","Disease or Syndrome","C06"
"Fibrosis, Liver","Disease or Syndrome","C06"
"Malignant neoplasm of lung","Neoplastic Process","C04;C08"
"Familial Alzheimer Disease (FAD)","Disease or Syndrome","C10;F03"
"Alzheimer Disease, Late Onset","Mental or Behavioral Dysfunction","C10;F03"
"Acute Confusional Senile Dementia","Mental or Behavioral Dysfunction","C10;F03"
"Alzheimer's Disease, Focal Onset","Mental or Behavioral Dysfunction","C10;F03"
"Alzheimer Disease, Early Onset","Disease or Syndrome","C10;F03"
"Hepatic Form of Wilson Disease","Disease or Syndrome","C06;C10;C16;C18"
"Acute Kidney Insufficiency","Disease or Syndrome","C12;C13"
"Liver carcinoma","Neoplastic Process","C04;C06"
"Acute kidney injury","Injury or Poisoning","C12;C13"
"Alcoholic Intoxication, Chronic","Mental or Behavioral Dysfunction","C25;F03"
"Malignant neoplasm of urinary bladder","Neoplastic Process","C04;C12;C13"
"Malignant neoplasm of prostate","Neoplastic Process","C04;C12"
"Malignant neoplasm of breast","Neoplastic Process","C04;C17"
"Coronary Arteriosclerosis","Disease or Syndrome","C14"
"Diastematomyelia","Congenital Abnormality","C10;C16"
"Hepatitis, Toxic","Injury or Poisoning","C06;C25"
"Childhood Acute Lymphoblastic Leukemia","Neoplastic Process","C04;C15;C20"
"Leukemia, Lymphocytic, Acute, L2","Neoplastic Process","C04;C15;C20"
"Neurenteric Cyst","Congenital Abnormality","C10;C16"
"Tethered Cord Syndrome","Disease or Syndrome","C10;C16"
"Iniencephaly","Congenital Abnormality","C10;C16"
"Craniorachischisis","Congenital Abnormality","C10;C16"
"Exencephaly","Congenital Abnormality","C10;C16"
"Spinal Cord Myelodysplasia","Congenital Abnormality","C10;C16"
"Malignant neoplasm of liver","Neoplastic Process","C04;C06"
"Malignant mesothelioma","Neoplastic Process","C04;C08"
"Breast Carcinoma","Neoplastic Process","C04;C17"
"Acrania","Congenital Abnormality","C10;C16"
"Drug-Induced Liver Disease","Disease or Syndrome","C06;C25"
"Hepatitis, Drug-Induced","Disease or Syndrome","C06;C25"
"Coronary Artery Disease","Disease or Syndrome","C14"
"Precursor Cell Lymphoblastic Leukemia Lymphoma","Neoplastic Process","C04;C15;C20"
"Drug-Induced Acute Liver Injury","Disease or Syndrome","C06;C25"
"Chemical and Drug Induced Liver Injury","Disease or Syndrome","C06;C25"
"Chemically-Induced Liver Toxicity","Disease or Syndrome","C06;C25"
"Lipoidosis","Disease or Syndrome","C16;C18"
"Nonorganic psychosis","Mental or Behavioral Dysfunction",""
"Depression, Bipolar","Mental or Behavioral Dysfunction","F03"
"Charcot-Marie-Tooth Disease","Disease or Syndrome","C10;C16"
"Epileptic encephalopathy","Disease or Syndrome",""
"Jacksonian Seizure","Disease or Syndrome","C10;C23"
"Complex partial seizures","Disease or Syndrome","C10;C23"
"Generalized seizures","Disease or Syndrome","C10;C23"
"Seizures, Clonic","Disease or Syndrome","C10;C23"
"Visual seizure","Disease or Syndrome","C10;C23"
"Epileptic drop attack","Disease or Syndrome","C10;C23"
"Olfactory seizure","Disease or Syndrome","C10;C23"
"Vertiginous seizure","Disease or Syndrome","C10;C23"
"Tonic - clonic seizures","Disease or Syndrome","C10;C23"
"Single Seizure","Disease or Syndrome","C10;C23"
"Atonic Absence Seizures","Disease or Syndrome","C10;C23"
"Nonepileptic Seizures","Disease or Syndrome","C10;C23"
