"ID","Name","GN"
"C0036341","Schizophrenia","181"
"C0002395","Alzheimer's Disease","81"
"C0007102","Malignant tumor of colon","144"
"C0011265","Presenile dementia","81"
"C0011570","Mental Depression","168"
"C0011581","Depressive disorder","125"
"C0019202","Hepatolenticular Degeneration","23"
"C0022660","Kidney Failure, Acute","83"
"C0023890","Liver Cirrhosis","86"
"C0239946","Fibrosis, Liver","86"
"C0242379","Malignant neoplasm of lung","155"
"C0276496","Familial Alzheimer Disease (FAD)","82"
"C0494463","Alzheimer Disease, Late Onset","81"
"C0546126","Acute Confusional Senile Dementia","81"
"C0750900","Alzheimer's Disease, Focal Onset","81"
"C0750901","Alzheimer Disease, Early Onset","81"
"C1527352","Hepatic Form of Wilson Disease","23"
"C1565662","Acute Kidney Insufficiency","83"
"C2239176","Liver carcinoma","171"
"C2609414","Acute kidney injury","83"
"C0001973","Alcoholic Intoxication, Chronic","119"
"C0005684","Malignant neoplasm of urinary bladder","121"
"C0376358","Malignant neoplasm of prostate","182"
"C0006142","Malignant neoplasm of breast","62"
"C0010054","Coronary Arteriosclerosis","60"
"C0011999","Diastematomyelia","26"
"C0019193","Hepatitis, Toxic","193"
"C0023452","Childhood Acute Lymphoblastic Leukemia","48"
"C0023453","Leukemia, Lymphocytic, Acute, L2","48"
"C0027806","Neurenteric Cyst","26"
"C0080218","Tethered Cord Syndrome","26"
"C0152234","Iniencephaly","26"
"C0152426","Craniorachischisis","27"
"C0266453","Exencephaly","26"
"C0344479","Spinal Cord Myelodysplasia","26"
"C0345904","Malignant neoplasm of liver","129"
"C0345967","Malignant mesothelioma","105"
"C0678222","Breast Carcinoma","63"
"C0702169","Acrania","26"
"C0860207","Drug-Induced Liver Disease","193"
"C1262760","Hepatitis, Drug-Induced","193"
"C1956346","Coronary Artery Disease","60"
"C1961102","Precursor Cell Lymphoblastic Leukemia Lymphoma","57"
"C3658290","Drug-Induced Acute Liver Injury","193"
"C4277682","Chemical and Drug Induced Liver Injury","193"
"C4279912","Chemically-Induced Liver Toxicity","193"
"C0023794","Lipoidosis","18"
"C0349204","Nonorganic psychosis","77"
"C0005587","Depression, Bipolar","52"
"C0007959","Charcot-Marie-Tooth Disease","190"
"C0543888","Epileptic encephalopathy","71"
"C0022333","Jacksonian Seizure","99"
"C0149958","Complex partial seizures","99"
"C0234533","Generalized seizures","99"
"C0234535","Seizures, Clonic","99"
"C0270824","Visual seizure","99"
"C0270846","Epileptic drop attack","99"
"C0422853","Olfactory seizure","99"
"C0422855","Vertiginous seizure","99"
"C0494475","Tonic - clonic seizures","99"
"C0751110","Single Seizure","99"
"C0751123","Atonic Absence Seizures","99"
"C3495874","Nonepileptic Seizures","99"
"C4317109","Epileptic Seizures","99"
"C4505436","Generalized Absence Seizures","99"
"C0004153","Atherosclerosis","54"
"C0009402","Colorectal Carcinoma","151"
"C0020443","Hypercholesterolemia","22"
"C0020445","Hypercholesterolemia, Familial","39"
"C0022661","Kidney Failure, Chronic","45"
"C0745103","Hyperlipoproteinemia Type IIa","16"
"C1527249","Colorectal Cancer","188"
"C0034069","Pulmonary Fibrosis","66"
"C0085786","Hamman-Rich syndrome","75"
"C1800706","Idiopathic Pulmonary Fibrosis","16"
"C0750940","Tremor, Rubral","15"
"C0032285","Pneumonia","51"
"C0032300","Lobar Pneumonia","51"
"C0887898","Experimental Lung Inflammation","51"
"C3714636","Pneumonitis","51"
"C0008924","Cleft upper lip","27"
"C0035334","Retinitis Pigmentosa","88"
"C0242383","Age related macular degeneration","18"
"C0006413","Burkitt Lymphoma","35"
"C0023473","Myeloid Leukemia, Chronic","28"
"C0025202","melanoma","135"
"C0205641","Adenocarcinoma, Basal Cell","113"
"C0205642","Adenocarcinoma, Oxyphilic","113"
"C0205643","Carcinoma, Cribriform","113"
"C0205644","Carcinoma, Granular Cell","113"
"C0205645","Adenocarcinoma, Tubular","113"
"C0345958","Large cell carcinoma of lung","31"
"C0546837","Malignant neoplasm of esophagus","69"
"C1292769","Precursor B-cell lymphoblastic leukemia","20"
"C1961099","Precursor T-Cell Lymphoblastic Leukemia-Lymphoma","48"
"C0030297","Pancreatic Neoplasm","91"
"C0085762","Alcohol abuse","68"
"C0346647","Malignant neoplasm of pancreas","92"
"C0677886","Epithelial ovarian cancer","16"
"C0751956","Acute Cerebrovascular Accidents","55"
"C0018801","Heart failure","97"
"C0018802","Congestive heart failure","97"
"C0023212","Left-Sided Heart Failure","97"
"C0235527","Heart Failure, Right-Sided","97"
"C1959583","Myocardial Failure","97"
"C0028754","Obesity","169"
"C0003886","Arthrogryposis","56"
"C0520459","Necrotizing Enterocolitis","17"
"C0005586","Bipolar Disorder","140"
"C0007194","Hypertrophic Cardiomyopathy","86"
"C0007786","Brain Ischemia","60"
"C0272945","Brain Lacerations","67"
"C0917798","Cerebral Ischemia","60"
"C0007134","Renal Cell Carcinoma","120"
"C0025261","Memory Disorders","40"
"C0236804","Amphetamine Addiction","71"
"C0236807","Amphetamine Abuse","71"
"C0266487","Etat Marbre","23"
"C0279702","Conventional (Clear Cell) Renal Cell Carcinoma","140"
"C0751263","Learning Disturbance","28"
"C0751265","Learning Disabilities","28"
"C0751292","Age-Related Memory Disorders","40"
"C0751293","Memory Disorder, Semantic","40"
"C0751294","Memory Disorder, Spatial","40"
"C1266042","Chromophobe Renal Cell Carcinoma","120"
"C1266043","Sarcomatoid Renal Cell Carcinoma","120"
"C1266044","Collecting Duct Carcinoma of the Kidney","120"
"C1306837","Papillary Renal Cell Carcinoma","120"
"C0029408","Degenerative polyarthritis","88"
"C0086743","Osteoarthrosis Deformans","88"
"C0035222","Respiratory Distress Syndrome, Adult","39"
"C0002152","Alloxan Diabetes","106"
"C0011853","Diabetes Mellitus, Experimental","106"
"C0023520","Leukodystrophy","140"
"C0038433","Streptozotocin Diabetes","106"
"C0041696","Unipolar Depression","171"
"C1269683","Major Depressive Disorder","102"
"C0029434","Osteogenesis Imperfecta","171"
"C0087031","Juvenile-Onset Still Disease","123"
"C3495559","Juvenile arthritis","119"
"C3714758","Juvenile psoriatic arthritis","119"
"C0149721","Left Ventricular Hypertrophy","24"
"C0546264","Congenital Fiber Type Disproportion","16"
"C0699743","Congenital muscular dystrophy (disorder)","41"
"C0949658","Cardiomyopathy, Hypertrophic, Familial","23"
"C0005398","Cholestasis, Extrahepatic","25"
"C0013720","Ehlers-Danlos Syndrome","71"
"C0014175","Endometriosis","148"
"C0017668","Focal glomerulosclerosis","28"
"C0019189","Hepatitis, Chronic","22"
"C0024796","Marfan Syndrome","30"
"C0027051","Myocardial Infarction","84"
"C0086432","Hyalinosis, Segmental Glomerular","28"
"C0149519","Chronic Persistent Hepatitis","22"
"C0162872","Aortic Aneurysm, Thoracic","54"
"C0269102","Endometrioma","148"
"C0345050","Congenital aneurysm of ascending aorta","54"
"C0520463","Chronic active hepatitis","22"
"C0524611","Cryptogenic Chronic Hepatitis","22"
"C1968949","Cakut","61"
"C0009363","Congenital ocular coloboma (disorder)","59"
"C0010278","Craniosynostosis","70"
"C0151744","Myocardial Ischemia","169"
"C0205696","Anaplastic carcinoma","161"
"C0205697","Carcinoma, Spindle-Cell","161"
"C1257925","Mammary Carcinoma, Animal","135"
"C0024623","Malignant neoplasm of stomach","160"
"C0340427","Familial dilated cardiomyopathy","42"
"C1449563","Cardiomyopathy, Familial Idiopathic","38"
"C4021133","Left ventricular noncompaction cardiomyopathy","16"
"C0001787","Osteoporosis, Age-Related","59"
"C0029456","Osteoporosis","59"
"C0029459","Osteoporosis, Senile","59"
"C0751406","Post-Traumatic Osteoporosis","59"
"C0948089","Acute Coronary Syndrome","33"
"C0004114","Astrocytoma","29"
"C0017638","Glioma","85"
"C0205768","Subependymal Giant Cell Astrocytoma","25"
"C0242488","Acute Lung Injury","20"
"C0259783","mixed gliomas","67"
"C0280783","Juvenile Pilocytic Astrocytoma","25"
"C0280785","Diffuse Astrocytoma","25"
"C0334579","Anaplastic astrocytoma","27"
"C0334580","Protoplasmic astrocytoma","26"
"C0334581","Gemistocytic astrocytoma","26"
"C0334582","Fibrillary Astrocytoma","26"
"C0334583","Pilocytic Astrocytoma","27"
"C0338070","Childhood Cerebral Astrocytoma","25"
"C0547065","Mixed oligoastrocytoma","25"
