"Pathway"	"zscore"
"Prostate cancer"	"10.325"
"Human papillomavirus infection"	"8.563"
"PI3K-Akt signaling pathway"	"8.093"
"Cellular senescence"	"7.962"
"Pathways in cancer"	"7.667"
"Fluid shear stress and atherosclerosis"	"7.52"
"Proteasome"	"7.34"
"MAPK signaling pathway"	"7.325"
"Non-homologous end-joining"	"7.212"
"Thyroid hormone signaling pathway"	"7.163"
"Hepatitis B"	"7.155"
"C-type lectin receptor signaling pathway"	"7.117"
"Estrogen signaling pathway"	"6.984"
"Kaposi's sarcoma-associated herpesvirus infection"	"6.945"
"Focal adhesion"	"6.887"
"Pancreatic cancer"	"6.731"
"MicroRNAs in cancer"	"6.72"
"HTLV-I infection"	"6.669"
"Antigen processing and presentation"	"6.651"
"FoxO signaling pathway"	"6.514"
"p53 signaling pathway"	"6.442"
"Th1 and Th2 cell differentiation"	"6.38"
"Th17 cell differentiation"	"6.014"
"Osteoclast differentiation"	"5.96"
"AGE-RAGE signaling pathway in diabetic complications"	"5.905"
"Transcriptional misregulation in cancer"	"5.896"
"Bladder cancer"	"5.822"
"Protein processing in endoplasmic reticulum"	"5.773"
"Non-small cell lung cancer"	"5.701"
"Small cell lung cancer"	"5.641"
"Hepatitis C"	"5.573"
"Toxoplasmosis"	"5.566"
"Proteoglycans in cancer"	"5.345"
"IL-17 signaling pathway"	"5.304"
"Endometrial cancer"	"5.234"
"T cell receptor signaling pathway"	"5.222"
"Breast cancer"	"5.182"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"5.116"
"Leishmaniasis"	"5.064"
"AMPK signaling pathway"	"5.015"
"Acute myeloid leukemia"	"4.961"
"Melanoma"	"4.895"
"Glioma"	"4.752"
"Apoptosis"	"4.735"
"mTOR signaling pathway"	"4.722"
"Tight junction"	"4.683"
"VEGF signaling pathway"	"4.655"
"Thyroid cancer"	"4.587"
"Chronic myeloid leukemia"	"4.559"
"Toll-like receptor signaling pathway"	"4.554"
"Epithelial cell signaling in Helicobacter pylori infection"	"4.549"
"Adrenergic signaling in cardiomyocytes"	"4.535"
"Insulin resistance"	"4.518"
"B cell receptor signaling pathway"	"4.506"
"Oxytocin signaling pathway"	"4.488"
"Measles"	"4.472"
"Influenza A"	"4.468"
"Choline metabolism in cancer"	"4.454"
"Prolactin signaling pathway"	"4.432"
"Adherens junction"	"4.414"
"Tuberculosis"	"4.323"
"Cell adhesion molecules (CAMs)"	"4.303"
"Colorectal cancer"	"4.299"
"Cell cycle"	"4.269"
"Epstein-Barr virus infection"	"4.254"
"Dopaminergic synapse"	"4.245"
"GnRH signaling pathway"	"4.245"
"Adipocytokine signaling pathway"	"4.167"
"Longevity regulating pathway"	"4.166"
"TNF signaling pathway"	"4.155"
"Viral carcinogenesis"	"4.144"
"Hypertrophic cardiomyopathy (HCM)"	"4.134"
"Aldosterone-regulated sodium reabsorption"	"4.125"
"Sphingolipid signaling pathway"	"4.081"
"Neurotrophin signaling pathway"	"4.069"
"Signaling pathways regulating pluripotency of stem cells"	"4.065"
"Oocyte meiosis"	"4.055"
"Apelin signaling pathway"	"4.047"
"Graft-versus-host disease"	"4.019"
"Ras signaling pathway"	"3.989"
"ErbB signaling pathway"	"3.972"
"Rap1 signaling pathway"	"3.947"
"Chagas disease (American trypanosomiasis)"	"3.901"
"TGF-beta signaling pathway"	"3.868"
"HIF-1 signaling pathway"	"3.828"
"Long-term potentiation"	"3.793"
"Salmonella infection"	"3.789"
"Nicotine addiction"	"3.767"
"ECM-receptor interaction"	"3.765"
"Glutamatergic synapse"	"3.642"
"Jak-STAT signaling pathway"	"3.595"
"Primary immunodeficiency"	"3.557"
"Progesterone-mediated oocyte maturation"	"3.509"
"RIG-I-like receptor signaling pathway"	"3.503"
"Renal cell carcinoma"	"3.491"
"Hippo signaling pathway"	"3.481"
"Alzheimer's disease"	"3.461"
"Legionellosis"	"3.46"
"Leukocyte transendothelial migration"	"3.448"
"Relaxin signaling pathway"	"3.291"
"Amyotrophic lateral sclerosis (ALS)"	"3.271"
"Pertussis"	"3.259"
"Gastric cancer"	"3.255"
"Dilated cardiomyopathy (DCM)"	"3.199"
"Longevity regulating pathway - multiple species"	"3.194"
"cGMP-PKG signaling pathway"	"3.174"
"Autophagy - animal"	"3.153"
"Type II diabetes mellitus"	"3.131"
"NOD-like receptor signaling pathway"	"3.122"
"Natural killer cell mediated cytotoxicity"	"3.021"
"Cushing's syndrome"	"2.976"
"Regulation of actin cytoskeleton"	"2.916"
"cAMP signaling pathway"	"2.912"
"Hepatocellular carcinoma"	"2.907"
"Platelet activation"	"2.872"
"Central carbon metabolism in cancer"	"2.865"
"Amphetamine addiction"	"2.863"
"Non-alcoholic fatty liver disease (NAFLD)"	"2.828"
"PPAR signaling pathway"	"2.82"
"Allograft rejection"	"2.818"
"Autoimmune thyroid disease"	"2.719"
"Hematopoietic cell lineage"	"2.715"
"Fc epsilon RI signaling pathway"	"2.646"
"Other glycan degradation"	"2.602"
"Cocaine addiction"	"2.588"
"Insulin signaling pathway"	"2.517"
"Biosynthesis of unsaturated fatty acids"	"2.49"
"Alcoholism"	"2.471"
"Circadian entrainment"	"2.38"
"Rheumatoid arthritis"	"2.374"
"Hippo signaling pathway - multiple species"	"2.333"
"Shigellosis"	"2.306"
"Phagosome"	"2.28"
"Vascular smooth muscle contraction"	"2.255"
"Phosphonate and phosphinate metabolism"	"2.08"
"Fc gamma R-mediated phagocytosis"	"2.077"
"Prion diseases"	"2.075"
"NF-kappa B signaling pathway"	"2.049"
"Bacterial invasion of epithelial cells"	"2.005"
"Ribosome biogenesis in eukaryotes"	"2.005"
"Thyroid hormone synthesis"	"1.996"
"Inflammatory mediator regulation of TRP channels"	"1.982"
"Pancreatic secretion"	"1.962"
"Endocytosis"	"1.958"
"Axon guidance"	"1.905"
"Glycerophospholipid metabolism"	"1.89"
"Fatty acid elongation"	"1.887"
"Viral myocarditis"	"1.875"
"Retrograde endocannabinoid signaling"	"1.854"
"Inflammatory bowel disease (IBD)"	"1.798"
"N-Glycan biosynthesis"	"1.775"
"Malaria"	"1.75"
"Protein export"	"1.748"
"ABC transporters"	"1.671"
"Glucagon signaling pathway"	"1.625"
"Collecting duct acid secretion"	"1.615"
"Melanogenesis"	"1.609"
"Thermogenesis"	"1.514"
"Cytosolic DNA-sensing pathway"	"1.497"
"Aldosterone synthesis and secretion"	"1.425"
"Type I diabetes mellitus"	"1.423"
"Basal cell carcinoma"	"1.365"
"Cysteine and methionine metabolism"	"1.357"
"Vibrio cholerae infection"	"1.312"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"1.267"
