"Pathway"	"Z-score"
"Neuroactive ligand-receptor interaction - Homo sapiens (human)"	"105.084"
"Cytokine-cytokine receptor interaction - Homo sapiens (human)"	"62.501"
"Taste transduction - Homo sapiens (human)"	"53.174"
"Chemokine signaling pathway - Homo sapiens (human)"	"51.623"
"Calcium signaling pathway - Homo sapiens (human)"	"35.664"
"Phospholipase D signaling pathway - Homo sapiens (human)"	"31.281"
"cAMP signaling pathway - Homo sapiens (human)"	"29.265"
"Complement and coagulation cascades - Homo sapiens (human)"	"29.16"
"NF-kappa B signaling pathway - Homo sapiens (human)"	"26.391"
"Toll-like receptor signaling pathway - Homo sapiens (human)"	"26.04"
"Pathways in cancer - Homo sapiens (human)"	"24.992"
"Staphylococcus aureus infection - Homo sapiens (human)"	"23.07"
"Serotonergic synapse - Homo sapiens (human)"	"23.007"
"TNF signaling pathway - Homo sapiens (human)"	"22.544"
"Kaposi,s sarcoma-associated herpesvirus infection - Homo sapiens (human)"	"21.955"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"21.838"
"Chagas disease (American trypanosomiasis) - Homo sapiens (human)"	"21.247"
"Rap1 signaling pathway - Homo sapiens (human)"	"21.216"
"Cholinergic synapse - Homo sapiens (human)"	"21.158"
"Relaxin signaling pathway - Homo sapiens (human)"	"20.901"
"Regulation of lipolysis in adipocytes - Homo sapiens (human)"	"20.878"
"Jak-STAT signaling pathway - Homo sapiens (human)"	"20.772"
"Morphine addiction - Homo sapiens (human)"	"20.389"
"Intestinal immune network for IgA production - Homo sapiens (human)"	"19.711"
"Glutamatergic synapse - Homo sapiens (human)"	"18.244"
"Pertussis - Homo sapiens (human)"	"17.781"
"IL-17 signaling pathway - Homo sapiens (human)"	"16.932"
"Sphingolipid signaling pathway - Homo sapiens (human)"	"16.677"
"Malaria - Homo sapiens (human)"	"16.502"
"RIG-I-like receptor signaling pathway - Homo sapiens (human)"	"16.3"
"Amoebiasis - Homo sapiens (human)"	"16.06"
"Leishmaniasis - Homo sapiens (human)"	"15.567"
"Osteoclast differentiation - Homo sapiens (human)"	"15.301"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"14.565"
"Renin secretion - Homo sapiens (human)"	"14.073"
"PI3K-Akt signaling pathway - Homo sapiens (human)"	"14.025"
"AGE-RAGE signaling pathway in diabetic complications - Homo sapiens (human)"	"13.552"
"Inflammatory mediator regulation of TRP channels - Homo sapiens (human)"	"13.529"
"Platelet activation - Homo sapiens (human)"	"13.461"
"Natural killer cell mediated cytotoxicity - Homo sapiens (human)"	"13.327"
"Renin-angiotensin system - Homo sapiens (human)"	"13.212"
"Hepatitis C - Homo sapiens (human)"	"13.182"
"Tuberculosis - Homo sapiens (human)"	"12.951"
"Inflammatory bowel disease (IBD) - Homo sapiens (human)"	"12.885"
"Hepatitis B - Homo sapiens (human)"	"12.874"
"GABAergic synapse - Homo sapiens (human)"	"12.791"
"Circadian entrainment - Homo sapiens (human)"	"12.762"
