"Pathway"	"zscore"
"Neuroactive ligand-receptor interaction"	"105.084"
"Cytokine-cytokine receptor interaction"	"62.501"
"Taste transduction"	"53.174"
"Chemokine signaling pathway"	"51.623"
"Calcium signaling pathway"	"35.664"
"Phospholipase D signaling pathway"	"31.281"
"cAMP signaling pathway"	"29.265"
"Complement and coagulation cascades"	"29.16"
"NF-kappa B signaling pathway"	"26.391"
"Toll-like receptor signaling pathway"	"26.04"
"Pathways in cancer"	"24.992"
"Staphylococcus aureus infection"	"23.07"
"Serotonergic synapse"	"23.007"
"TNF signaling pathway"	"22.544"
"Kaposi's sarcoma-associated herpesvirus infection"	"21.955"
"NOD-like receptor signaling pathway"	"21.838"
"Chagas disease (American trypanosomiasis)"	"21.247"
"Rap1 signaling pathway"	"21.216"
"Cholinergic synapse"	"21.158"
"Relaxin signaling pathway"	"20.901"
"Regulation of lipolysis in adipocytes"	"20.878"
"Jak-STAT signaling pathway"	"20.772"
"Morphine addiction"	"20.389"
"Intestinal immune network for IgA production"	"19.711"
"Glutamatergic synapse"	"18.244"
"Pertussis"	"17.781"
"IL-17 signaling pathway"	"16.932"
"Sphingolipid signaling pathway"	"16.677"
"Malaria"	"16.502"
"RIG-I-like receptor signaling pathway"	"16.3"
"Amoebiasis"	"16.06"
"Leishmaniasis"	"15.567"
"Osteoclast differentiation"	"15.301"
"cGMP-PKG signaling pathway"	"14.565"
"Renin secretion"	"14.073"
"PI3K-Akt signaling pathway"	"14.025"
"AGE-RAGE signaling pathway in diabetic complications"	"13.552"
"Inflammatory mediator regulation of TRP channels"	"13.529"
"Platelet activation"	"13.461"
"Natural killer cell mediated cytotoxicity"	"13.327"
"Renin-angiotensin system"	"13.212"
"Hepatitis C"	"13.182"
"Tuberculosis"	"12.951"
"Inflammatory bowel disease (IBD)"	"12.885"
"Hepatitis B"	"12.874"
"GABAergic synapse"	"12.791"
"Circadian entrainment"	"12.762"
"Gastric acid secretion"	"12.564"
"Adipocytokine signaling pathway"	"12.399"
"Ras signaling pathway"	"12.368"
"Toxoplasmosis"	"12.304"
"Leukocyte transendothelial migration"	"12.276"
"T cell receptor signaling pathway"	"11.919"
"Regulation of actin cytoskeleton"	"11.761"
"Insulin secretion"	"11.502"
"Axon guidance"	"11.444"
"Th17 cell differentiation"	"11.422"
"Prolactin signaling pathway"	"11.374"
"Cocaine addiction"	"11.2"
"African trypanosomiasis"	"11.076"
"Hematopoietic cell lineage"	"10.991"
"Melanogenesis"	"10.718"
"Measles"	"10.71"
"C-type lectin receptor signaling pathway"	"10.653"
"B cell receptor signaling pathway"	"10.632"
"Fc epsilon RI signaling pathway"	"10.565"
"Th1 and Th2 cell differentiation"	"10.562"
"Cortisol synthesis and secretion"	"10.394"
"Long-term depression"	"10.304"
"Rheumatoid arthritis"	"10.006"
"Herpes simplex infection"	"9.909"
"GnRH signaling pathway"	"9.809"
"Apelin signaling pathway"	"9.645"
"Retrograde endocannabinoid signaling"	"9.6"
"Cushing's syndrome"	"9.568"
"Vascular smooth muscle contraction"	"9.568"
"Primary immunodeficiency"	"9.504"
"Acute myeloid leukemia"	"9.487"
"Pancreatic cancer"	"9.486"
"Small cell lung cancer"	"9.377"
"Salivary secretion"	"9.127"
"Cytosolic DNA-sensing pathway"	"9.082"
"ErbB signaling pathway"	"8.67"
"Autoimmune thyroid disease"	"8.64"
"Chronic myeloid leukemia"	"8.292"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"7.989"
"Epithelial cell signaling in Helicobacter pylori infection"	"7.865"
"Pancreatic secretion"	"7.79"
"Dopaminergic synapse"	"7.786"
"Neurotrophin signaling pathway"	"7.759"
"Proteoglycans in cancer"	"7.58"
"Focal adhesion"	"7.52"
"Gap junction"	"7.234"
"Non-small cell lung cancer"	"6.993"
"Salmonella infection"	"6.96"
"Cell adhesion molecules (CAMs)"	"6.955"
"Prostate cancer"	"6.91"
"Human papillomavirus infection"	"6.767"
"Graft-versus-host disease"	"6.755"
"Carbohydrate digestion and absorption"	"6.748"
"Apoptosis - multiple species"	"6.439"
"Fc gamma R-mediated phagocytosis"	"6.381"
"Influenza A"	"6.249"
"Allograft rejection"	"6.201"
"Aldosterone synthesis and secretion"	"6.199"
"Asthma"	"6.196"
"MicroRNAs in cancer"	"5.975"
"Ovarian steroidogenesis"	"5.5"
"Estrogen signaling pathway"	"5.474"
"Renal cell carcinoma"	"5.376"
"Choline metabolism in cancer"	"5.33"
"HTLV-I infection"	"5.249"
"MAPK signaling pathway"	"5.188"
"Type II diabetes mellitus"	"5.116"
"FoxO signaling pathway"	"4.891"
"Thyroid hormone synthesis"	"4.836"
"ECM-receptor interaction"	"4.756"
"Endometrial cancer"	"4.64"
"Non-alcoholic fatty liver disease (NAFLD)"	"4.623"
"Fluid shear stress and atherosclerosis"	"4.609"
"Insulin resistance"	"4.605"
"Shigellosis"	"4.549"
"VEGF signaling pathway"	"4.448"
"Adrenergic signaling in cardiomyocytes"	"4.432"
"Bladder cancer"	"4.371"
"Type I diabetes mellitus"	"4.334"
"Signaling pathways regulating pluripotency of stem cells"	"4.314"
"Aldosterone-regulated sodium reabsorption"	"4.237"
"Glioma"	"4.156"
"Gastric cancer"	"3.98"
"Adherens junction"	"3.778"
"Phosphatidylinositol signaling system"	"3.705"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"3.638"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"3.636"
"Apoptosis"	"3.534"
"Colorectal cancer"	"3.383"
"HIF-1 signaling pathway"	"3.273"
"Oxytocin signaling pathway"	"3.041"
"Taurine and hypotaurine metabolism"	"2.987"
"Bacterial invasion of epithelial cells"	"2.9"
"Glycosaminoglycan degradation"	"2.761"
"Thyroid hormone signaling pathway"	"2.733"
"Protein digestion and absorption"	"2.683"
"Vitamin digestion and absorption"	"2.609"
"Melanoma"	"2.602"
"Hepatocellular carcinoma"	"2.601"
"Necroptosis"	"2.596"
"Viral carcinogenesis"	"2.435"
"Bile secretion"	"2.386"
"Autophagy - animal"	"2.384"
"Endocrine and other factor-regulated calcium reabsorption"	"2.382"
"TGF-beta signaling pathway"	"2.323"
"Longevity regulating pathway"	"2.29"
"Breast cancer"	"2.278"
"Long-term potentiation"	"2.053"
"Progesterone-mediated oocyte maturation"	"2.046"
"Fat digestion and absorption"	"2.016"
"Viral myocarditis"	"1.906"
"Ether lipid metabolism"	"1.903"
"Olfactory transduction"	"1.902"
"Cholesterol metabolism"	"1.834"
"Phototransduction"	"1.756"
"Inositol phosphate metabolism"	"1.641"
"Legionellosis"	"1.632"
"Riboflavin metabolism"	"1.583"
"N-Glycan biosynthesis"	"1.573"
"Sphingolipid metabolism"	"1.487"
"alpha-Linolenic acid metabolism"	"1.461"
"Prion diseases"	"1.305"
"Arachidonic acid metabolism"	"1.068"
"Other types of O-glycan biosynthesis"	"1.012"
"Amyotrophic lateral sclerosis (ALS)"	"0.919"
"Mannose type O-glycan biosynthesis"	"0.796"
"ABC transporters"	"0.771"
"Insulin signaling pathway"	"0.545"
"Fatty acid elongation"	"0.535"
"Mineral absorption"	"0.524"
"Lipoic acid metabolism"	"0.486"
"Proximal tubule bicarbonate reclamation"	"0.469"
"Caffeine metabolism"	"0.429"
"Glycosphingolipid biosynthesis - ganglio series"	"0.414"
"Sulfur relay system"	"0.27"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"0.261"
"Linoleic acid metabolism"	"0.236"
"Vitamin B6 metabolism"	"0.176"
"Mitophagy - animal"	"0.092"
"D-Arginine and D-ornithine metabolism"	"-0.17"
"Transcriptional misregulation in cancer"	"-0.177"
"Biosynthesis of unsaturated fatty acids"	"-0.358"
"Parkinson's disease"	"-0.395"
"Notch signaling pathway"	"-0.483"
"Alzheimer's disease"	"-0.5"
"Nitrogen metabolism"	"-0.576"
"mTOR signaling pathway"	"-0.73"
"D-Glutamine and D-glutamate metabolism"	"-0.785"
"Cellular senescence"	"-0.788"
"Dilated cardiomyopathy (DCM)"	"-0.808"
"Vasopressin-regulated water reabsorption"	"-0.822"
"Biotin metabolism"	"-0.858"
"Wnt signaling pathway"	"-0.899"
"Basal cell carcinoma"	"-0.9"
"Glycerophospholipid metabolism"	"-0.913"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.972"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-1.109"
"Nicotinate and nicotinamide metabolism"	"-1.149"
"Phosphonate and phosphinate metabolism"	"-1.262"
"Pantothenate and CoA biosynthesis"	"-1.37"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-1.381"
"Sulfur metabolism"	"-1.384"
"Thiamine metabolism"	"-1.488"
"Glucagon signaling pathway"	"-1.582"
"Butanoate metabolism"	"-1.599"
"Ubiquitin mediated proteolysis"	"-1.631"
"Non-homologous end-joining"	"-1.736"
"Thyroid cancer"	"-1.809"
"Mucin type O-glycan biosynthesis"	"-1.828"
"Hedgehog signaling pathway"	"-1.86"
"Alcoholism"	"-1.881"
"Lysosome"	"-1.946"
"Arginine biosynthesis"	"-1.979"
"Thermogenesis"	"-2.044"
"Selenocompound metabolism"	"-2.053"
"Central carbon metabolism in cancer"	"-2.088"
"Other glycan degradation"	"-2.11"
"Steroid biosynthesis"	"-2.241"
"PPAR signaling pathway"	"-2.245"
"Primary bile acid biosynthesis"	"-2.3"
"Nicotine addiction"	"-2.308"
"Valine, leucine and isoleucine biosynthesis"	"-2.373"
"Amphetamine addiction"	"-2.489"
"Epstein-Barr virus infection"	"-2.572"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-2.659"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"-2.721"
"Base excision repair"	"-2.724"
"Maturity onset diabetes of the young"	"-2.79"
"Folate biosynthesis"	"-2.796"
"Synthesis and degradation of ketone bodies"	"-2.889"
"Peroxisome"	"-2.894"
"Fatty acid biosynthesis"	"-2.928"
"Propanoate metabolism"	"-3.021"
"Endocytosis"	"-3.042"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-3.054"
"Protein export"	"-3.127"
"Cardiac muscle contraction"	"-3.247"
"Glutathione metabolism"	"-3.315"
"SNARE interactions in vesicular transport"	"-3.341"
"Phenylalanine metabolism"	"-3.349"
"Arginine and proline metabolism"	"-3.357"
"Longevity regulating pathway - multiple species"	"-3.408"
"Hypertrophic cardiomyopathy (HCM)"	"-3.44"
"Tyrosine metabolism"	"-3.464"
"AMPK signaling pathway"	"-3.548"
"Pentose and glucuronate interconversions"	"-3.605"
"Porphyrin and chlorophyll metabolism"	"-3.621"
"Hippo signaling pathway - multiple species"	"-3.73"
"p53 signaling pathway"	"-3.75"
"Circadian rhythm"	"-3.895"
"Terpenoid backbone biosynthesis"	"-3.91"
"Drug metabolism - cytochrome P450"	"-4.009"
"Chemical carcinogenesis"	"-4.016"
"Alanine, aspartate and glutamate metabolism"	"-4.085"
"Pathogenic Escherichia coli infection"	"-4.236"
"Retinol metabolism"	"-4.24"
"Autophagy - other"	"-4.29"
"Phagosome"	"-4.33"
"Tryptophan metabolism"	"-4.332"
"One carbon pool by folate"	"-4.341"
"Metabolism of xenobiotics by cytochrome P450"	"-4.355"
"Ferroptosis"	"-4.422"
"beta-Alanine metabolism"	"-4.453"
"Steroid hormone biosynthesis"	"-4.514"
"Valine, leucine and isoleucine degradation"	"-4.516"
"Glycerolipid metabolism"	"-4.636"
"Ascorbate and aldarate metabolism"	"-4.846"
"Histidine metabolism"	"-4.899"
"Antigen processing and presentation"	"-4.923"
"Fatty acid degradation"	"-4.979"
"Hippo signaling pathway"	"-5.049"
"Drug metabolism - other enzymes"	"-5.074"
"Proteasome"	"-5.464"
"Glyoxylate and dicarboxylate metabolism"	"-5.484"
"Aminoacyl-tRNA biosynthesis"	"-5.6"
"Cysteine and methionine metabolism"	"-5.645"
"Vibrio cholerae infection"	"-5.67"
"Mismatch repair"	"-6"
"Homologous recombination"	"-6.018"
"Lysine degradation"	"-6.055"
"Cell cycle"	"-6.121"
"Tight junction"	"-6.334"
"Citrate cycle (TCA cycle)"	"-6.349"
"Pyruvate metabolism"	"-6.533"
"DNA replication"	"-6.595"
"Starch and sucrose metabolism"	"-6.629"
"Fanconi anemia pathway"	"-6.843"
"Collecting duct acid secretion"	"-6.899"
"Basal transcription factors"	"-7.008"
"Amino sugar and nucleotide sugar metabolism"	"-7.023"
"Fructose and mannose metabolism"	"-7.081"
"Glycine, serine and threonine metabolism"	"-7.278"
"Galactose metabolism"	"-7.392"
"Huntington's disease"	"-7.469"
"Oocyte meiosis"	"-7.526"
"Pentose phosphate pathway"	"-7.751"
"Synaptic vesicle cycle"	"-8.077"
"Oxidative phosphorylation"	"-8.297"
"Nucleotide excision repair"	"-8.482"
"Protein processing in endoplasmic reticulum"	"-8.886"
"Systemic lupus erythematosus"	"-9.895"
"RNA polymerase"	"-10.044"
"Ribosome"	"-10.713"
"Purine metabolism"	"-11.675"
"Pyrimidine metabolism"	"-12"
"Glycolysis / Gluconeogenesis"	"-12.129"
"RNA degradation"	"-13.106"
"Ribosome biogenesis in eukaryotes"	"-13.509"
"mRNA surveillance pathway"	"-14.675"
"RNA transport"	"-17.815"
"Spliceosome"	"-18.734"
