"GO.ID"	"GO.Term"	"NetBAS"	"DAVID"
"GO:0007186"	"G-protein coupled receptor signaling pathway"	"157.204"	"1.762722610894063E-16"
"GO:0007204"	"positive regulation of cytosolic calcium ion concentration"	"77.471"	"5.380484680835222E-12"
"GO:0007218"	"neuropeptide signaling pathway"	"77.066"	NA
"GO:0010469"	"regulation of receptor activity"	"72.394"	NA
"GO:0006954"	"inflammatory response"	"69.574"	"2.8776694343112915E-52"
"GO:0070098"	"chemokine-mediated signaling pathway"	"67.93"	"4.6296378767792376E-17"
"GO:0006935"	"chemotaxis"	"61.535"	"6.006611011682504E-22"
"GO:0006955"	"immune response"	"61.491"	"5.630456883489633E-49"
"GO:0007187"	"G-protein coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger"	"58.771"	"2.5553874811058875E-6"
"GO:0007200"	"phospholipase C-activating G-protein coupled receptor signaling pathway"	"56.946"	"6.847317159148311E-7"
