pathway	external_id	source	hgnc_symbol_ids
Rosiglitazone Pharmacokinetic Pathway	PA165816969	PharmGKB	SLCO1B1,CYP2C8,CYP2C9
spermine biosynthesis	ARGSPECAT-PWY	HumanCyc	SMS,AMD1
Plasma lipoprotein assembly, remodeling, and clearance	WP4129	Wikipathways	APOA4,APOA5,APOC2,CIDEC,FGF21
Signaling by Overexpressed Wild-Type EGFR in Cancer	R-HSA-5638302	Reactome	EGFR,EGF
Carbamazepine Pathway, Pharmacokinetics	PA165817070	PharmGKB	EPHX1,CYP1A2,RALBP1,CYP2C8,MPO,CYP2B6,CYP2E1,NR1I3,NR1I2,CYP2C19,CYP2A6,UGT2B7,CYP3A7,CYP3A4,CYP3A5,ABCC2
RUNX1 regulates genes involved in megakaryocyte differentiation and platelet function	WP4132	Wikipathways	MIR27A,GP1BA,ITGA2B,THBS1,NFE2,NR4A3,PRKCQ,MYL9,PF4
PI3K-Akt signaling pathway - Homo sapiens (human)	path:hsa04151	KEGG	THBS2,STK11,IFNAR2,IFNAR1,PIK3CA,PIK3CB,PIK3CD,PIK3CG,IFNA13,PIK3R3,IFNA10,IFNA17,IFNA16,IFNA14,IGF1R,PPP2R2D,PPP2R2A,PPP2R2C,PPP2R2B,CSF3R,VEGFA,CCND1,CCND3,CCND2,PTEN,ITGA8,ITGA9,CDKN1B,CDKN1A,ITGA3,ITGA4,ITGA5,HSP90B1,ITGA7,MTCP1,JAK2,JAK3,JAK1,COL1A2,EREG,CHUK,VEGFD,COL4A5,COL4A4,COL4A3,COL4A2,VEGFC,VEGFB,ITGAV,INS,VWF,CD19,COL2A1,PIK3AP1,TSC1,CDC37,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,RXRA,IL3RA,IL2RA,IL2RB,IL2RG,INSR,IFNA21,SPP1,BRCA1,EGFR,BAD,NGFR,PGF,ITGB1,RPTOR,ITGB3,NOS3,ITGB5,ITGB4,ITGB7,ITGB6,ITGB8,HGF,TCL1B,TCL1A,EIF4E2,PCK2,PCK1,GHR,PPP2R3B,PPP2R3C,PPP2R3A,IKBKB,IKBKG,FGFR4,PRL,GNG10,GNG11,GNG12,GNG13,RELN,RELA,KITLG,GH1,FN1,CSF1,CSF3,GNG7,GNG4,GNG5,GNG2,GNG3,GNG8,NGF,LAMB1,LAMB3,LAMB2,IBSP,LAMB4,CCNE2,CCNE1,ANGPT2,ANGPT1,ANGPT4,IGF2,IGF1,EIF4E,EIF4B,EPOR,PDGFRB,PDGFRA,CHAD,RPS6KB1,FLT4,FLT3,FLT1,AREG,ITGA2B,CSF1R,RPS6KB2,FGF18,ITGA1,ITGA2,NTF3,NTF4,GNB5,GNB4,GNB1,GNB3,VTN,MTOR,ITGA6,IRS1,C8orf44-SGK3,CDK2,CRTC2,CDK4,CDK6,EIF4E1B,LPAR2,LPAR3,LPAR1,LPAR6,LPAR4,LPAR5,PTK2,PRKAA2,PRKAA1,MCL1,CASP9,YWHAZ,IL6R,YWHAQ,YWHAH,YWHAB,YWHAG,YWHAE,RAC1,PRKCA,NR4A1,CHRM2,CHRM1,GNB2,ATF6B,COL6A2,BCL2,MLST8,MAGI2,MAGI1,ERBB2,ERBB3,ERBB4,CREB5,CREB3,CREB1,MDM2,FGFR2,FGFR3,FGFR1,EPO,SYK,KIT,F2R,HRAS,ITGA10,ITGA11,THEM4,PRLR,EGF,LAMC2,LAMC3,LAMC1,TP53,COL4A6,EIF4EBP1,PPP2R5D,PPP2R5E,FGF22,PPP2R5A,FGF20,PPP2R5C,COL4A1,RPS6,RAF1,IFNB1,KDR,COMP,IL7R,EFNA4,EFNA3,EFNA2,EFNA1,FLT3LG,SGK3,SGK2,SGK1,IL6,IL7,IL4,IL2,IL3,COL1A1,RHEB,PPP2R1A,PPP2R1B,FOXO3,MAP2K2,MAP2K1,PKN1,PKN3,PKN2,CSH2,CSH1,FGF23,PPP2R5B,COL6A1,COL6A3,FGF21,COL6A5,COL6A6,BCL2L1,AKT1,AKT2,AKT3,BDNF,NTRK1,NTRK2,HSP90AB1,MYC,MYB,DDIT4,FASLG,KRAS,GH2,PPP2CA,PPP2CB,GSK3B,TLR2,GRB2,TLR4,G6PC3,G6PC2,TGFA,TSC2,THBS4,TNXB,THBS3,THBS1,PIK3R6,PIK3R5,OSM,PIK3R2,PIK3R1,IL4R,GYS1,GYS2,FGF9,FGF8,FGF7,FGF6,FGF5,FGF4,FGF3,FGF2,FGF1,G6PC,EPHA2,TEK,MAPK3,FGF19,MAPK1,NFKB1,FGF10,FGF17,FGF16,RBL2,COL9A2,COL9A3,COL9A1,PHLPP2,PHLPP1,IFNA8,SOS2,SOS1,IFNA2,IFNA1,IFNA7,IFNA6,IFNA5,IFNA4,MET,HSP90AA1,BCL2L11,NRAS,OSMR,EFNA5,PDGFA,PDGFB,PDGFC,PDGFD,GNGT1,TNR,TNC,ATF4,TNN,CREB3L2,CREB3L3,CREB3L1,GNGT2,CREB3L4,PDPK1,ATF2
Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	path:hsa00250	KEGG	NIT2,ADSS,ASNS,GLUL,ABAT,ADSL,GLS,ASS1,GAD1,GAD2,CAD,ASPA,GOT2,IL4I1,GOT1,ASL,RIMKLA,RIMKLB,DDO,GFPT1,GPT,ADSSL1,AGXT2,NAT8L,ALDH4A1,GPT2,AGXT,GLUD2,GLUD1,PPAT,ALDH5A1,GFPT2,FOLH1,CPS1,GLS2
Folate biosynthesis - Homo sapiens (human)	path:hsa00790	KEGG	PCBD2,MOCOS,PCBD1,MOCS2,MOCS1,DHFR2,PAH,AKR1C3,AKR1B10,SPR,CBR1,DHFR,TH,ALPPL2,PTS,GGH,QDPR,TPH1,TPH2,FPGS,AKR1B1,GPHN,ALPP,GCH1,ALPI,ALPL
Complement and coagulation cascades - Homo sapiens (human)	path:hsa04610	KEGG	KNG1,F11,CD55,C1QC,VSIG4,CD59,PROS1,C1QB,C8A,C8B,SERPING1,C1QA,C8G,KLKB1,F13A1,A2M,MBL2,SERPINA1,F10,F2RL2,SERPINA5,SERPINC1,C4BPA,C4BPB,TFPI,CR2,F7,SERPINE1,C9,CPB2,C4A,C4B,PLAUR,C3,C2,FGG,C7,FGA,FGB,PROCR,ITGAX,ITGB2,PLAT,F13B,CD46,PLAU,VTN,C5AR1,C1S,CR1,SERPINF2,F12,CLU,THBD,SERPINB2,SERPIND1,BDKRB1,F2,BDKRB2,F5,CFH,CFI,F8,C3AR1,CFD,F3,CFB,MASP1,MASP2,C6,PLG,F2R,C5,ITGAM,F9,F2RL3,C1R,VWF,PROC
