geneA,geneB
Q0275,YGL187C
Q0275,YGL191W
Q0275,YGR062C
Q0275,YGR222W
Q0275,YHR051W
Q0275,YJL062W-A
Q0275,YJR121W
Q0275,YLR203C
Q0275,YLR395C
Q0275,YML030W
Q0275,YML129C
Q0275,YMR256C
Q0275,YNL052W
Q0275,YNR018W
Q0275,YOL027C
Q0275,YPR042C
YAL001C,YAL021C
YAL001C,YBR009C
YAL001C,YBR123C
YAL001C,YBR245C
YAL001C,YDL074C
YAL001C,YDL078C
YAL001C,YDL097C
YAL001C,YDL147W
YAL001C,YDL160C
YAL001C,YDR362C
YAL001C,YDR381W
YAL001C,YDR449C
YAL001C,YDR523C
YAL001C,YFR052W
YAL001C,YGL178W
YAL001C,YGR047C
YAL001C,YIL149C
YAL001C,YIR010W
YAL001C,YKR095W
YAL001C,YLL013C
YAL001C,YMR039C
YAL001C,YMR093W
YAL001C,YNL030W
YAL001C,YNL209W
YAL001C,YOR110W
YAL001C,YPL007C
YAL001C,YPR190C
YAL002W,YAL021C
YAL002W,YBR245C
YAL002W,YDL077C
YAL002W,YDR495C
YAL002W,YGL212W
YAL002W,YGR218W
YAL002W,YKL193C
YAL002W,YKL203C
YAL002W,YKR014C
YAL002W,YKR026C
YAL002W,YLR148W
YAL002W,YLR396C
YAL002W,YMR231W
YAL002W,YNL093W
YAL002W,YOR036W
YAL002W,YOR089C
YAL002W,YOR359W
YAL002W,YPL045W
YAL003W,YBR118W
YAL003W,YBR160W
YAL003W,YCR077C
YAL003W,YDL160C
YAL003W,YDL229W
YAL003W,YDR135C
YAL003W,YDR457W
YAL003W,YER151C
YAL003W,YFR004W
YAL003W,YGL122C
YAL003W,YGL137W
YAL003W,YHL034C
YAL003W,YJL124C
YAL003W,YJR125C
YAL003W,YKL032C
YAL003W,YKL081W
YAL003W,YKL188C
YAL003W,YLL013C
YAL003W,YLL026W
YAL003W,YLR249W
YAL003W,YLR320W
YAL003W,YML016C
YAL003W,YML064C
YAL003W,YNL002C
YAL003W,YNL026W
YAL003W,YNL209W
YAL003W,YNL255C
YAL003W,YOR198C
YAL003W,YPL048W
YAL003W,YPR042C
YAL003W,YPR080W
YAL005C,YAL012W
YAL005C,YAL028W
YAL005C,YAL030W
YAL005C,YAL036C
YAL005C,YAL038W
YAL005C,YAL040C
YAL005C,YAL060W
YAL005C,YAR002W
YAL005C,YAR015W
YAL005C,YAR027W
YAL005C,YAR031W
YAL005C,YBL005W
YAL005C,YBL023C
YAL005C,YBL024W
YAL005C,YBL030C
YAL005C,YBL037W
YAL005C,YBL057C
YAL005C,YBL058W
YAL005C,YBL067C
YAL005C,YBL069W
YAL005C,YBL075C
YAL005C,YBL099W
YAL005C,YBR017C
YAL005C,YBR025C
YAL005C,YBR031W
YAL005C,YBR042C
YAL005C,YBR049C
YAL005C,YBR059C
YAL005C,YBR068C
YAL005C,YBR072W
YAL005C,YBR079C
YAL005C,YBR084C-A
YAL005C,YBR086C
YAL005C,YBR101C
YAL005C,YBR105C
YAL005C,YBR106W
YAL005C,YBR110W
YAL005C,YBR115C
YAL005C,YBR118W
YAL005C,YBR127C
YAL005C,YBR133C
YAL005C,YBR155W
YAL005C,YBR159W
YAL005C,YBR160W
YAL005C,YBR169C
YAL005C,YBR185C
YAL005C,YBR189W
YAL005C,YBR191W
YAL005C,YBR196C
YAL005C,YBR198C
YAL005C,YBR215W
YAL005C,YBR230C
YAL005C,YBR231C
YAL005C,YBR251W
YAL005C,YBR287W
YAL005C,YBR290W
YAL005C,YBR295W
YAL005C,YCL009C
YAL005C,YCL019W
YAL005C,YCL027W
YAL005C,YCL032W
YAL005C,YCL037C
YAL005C,YCL039W
YAL005C,YCL043C
YAL005C,YCR008W
YAL005C,YCR009C
YAL005C,YCR011C
YAL005C,YCR012W
YAL005C,YCR024C-A
YAL005C,YCR034W
YAL005C,YCR043C
YAL005C,YCR044C
YAL005C,YCR075C
YAL005C,YCR077C
YAL005C,YCR082W
YAL005C,YCR095C
YAL005C,YCR105W
YAL005C,YDL018C
YAL005C,YDL019C
YAL005C,YDL058W
YAL005C,YDL060W
YAL005C,YDL067C
YAL005C,YDL072C
YAL005C,YDL077C
YAL005C,YDL091C
YAL005C,YDL116W
YAL005C,YDL122W
YAL005C,YDL126C
YAL005C,YDL127W
YAL005C,YDL128W
YAL005C,YDL131W
YAL005C,YDL139C
YAL005C,YDL140C
YAL005C,YDL144C
YAL005C,YDL160C
YAL005C,YDL175C
YAL005C,YDL182W
YAL005C,YDL185W
YAL005C,YDL192W
YAL005C,YDL206W
YAL005C,YDL212W
YAL005C,YDL223C
YAL005C,YDL229W
YAL005C,YDL239C
YAL005C,YDR011W
YAL005C,YDR025W
YAL005C,YDR027C
YAL005C,YDR028C
YAL005C,YDR051C
YAL005C,YDR055W
YAL005C,YDR060W
YAL005C,YDR064W
YAL005C,YDR071C
YAL005C,YDR083W
YAL005C,YDR099W
YAL005C,YDR101C
YAL005C,YDR107C
YAL005C,YDR141C
YAL005C,YDR143C
YAL005C,YDR163W
YAL005C,YDR164C
YAL005C,YDR166C
YAL005C,YDR168W
YAL005C,YDR170C
YAL005C,YDR172W
YAL005C,YDR188W
YAL005C,YDR189W
YAL005C,YDR190C
YAL005C,YDR192C
YAL005C,YDR208W
YAL005C,YDR214W
YAL005C,YDR231C
YAL005C,YDR233C
YAL005C,YDR238C
YAL005C,YDR245W
YAL005C,YDR284C
YAL005C,YDR293C
YAL005C,YDR296W
YAL005C,YDR301W
YAL005C,YDR303C
YAL005C,YDR324C
YAL005C,YDR328C
YAL005C,YDR331W
YAL005C,YDR337W
YAL005C,YDR338C
YAL005C,YDR342C
YAL005C,YDR348C
YAL005C,YDR352W
YAL005C,YDR356W
YAL005C,YDR359C
YAL005C,YDR365C
YAL005C,YDR367W
YAL005C,YDR375C
YAL005C,YDR381W
YAL005C,YDR385W
YAL005C,YDR388W
YAL005C,YDR390C
YAL005C,YDR406W
YAL005C,YDR407C
YAL005C,YDR429C
YAL005C,YDR432W
YAL005C,YDR448W
YAL005C,YDR450W
YAL005C,YDR457W
YAL005C,YDR460W
YAL005C,YDR477W
YAL005C,YDR479C
YAL005C,YDR484W
YAL005C,YDR495C
YAL005C,YDR498C
YAL005C,YDR502C
YAL005C,YDR508C
YAL005C,YDR510W
YAL005C,YDR513W
YAL005C,YDR516C
YAL005C,YDR525W-A
YAL005C,YDR532C
YAL005C,YEL001C
YAL005C,YEL017C-A
YAL005C,YEL025C
YAL005C,YEL036C
YAL005C,YEL041W
YAL005C,YEL054C
YAL005C,YEL060C
YAL005C,YEL063C
YAL005C,YEL071W
YAL005C,YEL077C
YAL005C,YER012W
YAL005C,YER031C
YAL005C,YER053C
YAL005C,YER059W
YAL005C,YER068W
YAL005C,YER082C
YAL005C,YER086W
YAL005C,YER087C-B
YAL005C,YER093C
YAL005C,YER103W
YAL005C,YER110C
YAL005C,YER125W
YAL005C,YER126C
YAL005C,YER129W
YAL005C,YER132C
YAL005C,YER145C
YAL005C,YER151C
YAL005C,YER154W
YAL005C,YER155C
YAL005C,YER158C
YAL005C,YER165W
YAL005C,YER182W
YAL005C,YFL004W
YAL005C,YFL007W
YAL005C,YFL008W
YAL005C,YFL016C
YAL005C,YFL041W
YAL005C,YFL044C
YAL005C,YFL048C
YAL005C,YFR004W
YAL005C,YFR006W
YAL005C,YFR010W
YAL005C,YFR016C
YAL005C,YFR019W
YAL005C,YFR024C-A
YAL005C,YFR028C
YAL005C,YFR031C
YAL005C,YFR031C-A
YAL005C,YFR037C
YAL005C,YFR051C
YAL005C,YGL008C
YAL005C,YGL012W
YAL005C,YGL014W
YAL005C,YGL022W
YAL005C,YGL027C
YAL005C,YGL037C
YAL005C,YGL043W
YAL005C,YGL054C
YAL005C,YGL055W
YAL005C,YGL064C
YAL005C,YGL073W
YAL005C,YGL076C
YAL005C,YGL093W
YAL005C,YGL115W
YAL005C,YGL120C
YAL005C,YGL122C
YAL005C,YGL126W
YAL005C,YGL147C
YAL005C,YGL148W
YAL005C,YGL172W
YAL005C,YGL173C
YAL005C,YGL181W
YAL005C,YGL190C
YAL005C,YGL195W
YAL005C,YGL200C
YAL005C,YGL206C
YAL005C,YGL207W
YAL005C,YGL212W
YAL005C,YGL215W
YAL005C,YGL219C
YAL005C,YGL225W
YAL005C,YGL227W
YAL005C,YGL233W
YAL005C,YGR012W
YAL005C,YGR016W
YAL005C,YGR019W
YAL005C,YGR028W
YAL005C,YGR038W
YAL005C,YGR055W
YAL005C,YGR060W
YAL005C,YGR071C
YAL005C,YGR082W
YAL005C,YGR090W
YAL005C,YGR095C
YAL005C,YGR105W
YAL005C,YGR106C
YAL005C,YGR143W
YAL005C,YGR147C
YAL005C,YGR159C
YAL005C,YGR167W
YAL005C,YGR173W
YAL005C,YGR174C
YAL005C,YGR178C
YAL005C,YGR180C
YAL005C,YGR184C
YAL005C,YGR192C
YAL005C,YGR198W
YAL005C,YGR209C
YAL005C,YGR214W
YAL005C,YGR227W
YAL005C,YGR234W
YAL005C,YGR237C
YAL005C,YGR240C
YAL005C,YGR250C
YAL005C,YGR264C
YAL005C,YGR267C
YAL005C,YGR281W
YAL005C,YGR284C
YAL005C,YHL002W
YAL005C,YHL030W
YAL005C,YHL034C
YAL005C,YHL035C
YAL005C,YHR001W-A
YAL005C,YHR023W
YAL005C,YHR027C
YAL005C,YHR039C
YAL005C,YHR042W
YAL005C,YHR061C
YAL005C,YHR063C
YAL005C,YHR077C
YAL005C,YHR094C
YAL005C,YHR097C
YAL005C,YHR098C
YAL005C,YHR101C
YAL005C,YHR108W
YAL005C,YHR113W
YAL005C,YHR117W
YAL005C,YHR120W
YAL005C,YHR127W
YAL005C,YHR132C
YAL005C,YHR133C
YAL005C,YHR154W
YAL005C,YHR165C
YAL005C,YHR170W
YAL005C,YHR195W
YAL005C,YHR200W
YAL005C,YIL013C
YAL005C,YIL014W
YAL005C,YIL016W
YAL005C,YIL017C
YAL005C,YIL022W
YAL005C,YIL026C
YAL005C,YIL031W
YAL005C,YIL033C
YAL005C,YIL035C
YAL005C,YIL043C
YAL005C,YIL053W
YAL005C,YIL075C
YAL005C,YIL091C
YAL005C,YIL109C
YAL005C,YIL115C
YAL005C,YIL124W
YAL005C,YIL127C
YAL005C,YIL133C
YAL005C,YIL136W
YAL005C,YIL144W
YAL005C,YIL146C
YAL005C,YIL149C
YAL005C,YIL151C
YAL005C,YIR002C
YAL005C,YIR010W
YAL005C,YIR033W
YAL005C,YJL005W
YAL005C,YJL006C
YAL005C,YJL020C
YAL005C,YJL026W
YAL005C,YJL034W
YAL005C,YJL039C
YAL005C,YJL041W
YAL005C,YJL058C
YAL005C,YJL070C
YAL005C,YJL076W
YAL005C,YJL084C
YAL005C,YJL093C
YAL005C,YJL104W
YAL005C,YJL109C
YAL005C,YJL124C
YAL005C,YJL130C
YAL005C,YJL151C
YAL005C,YJL154C
YAL005C,YJL165C
YAL005C,YJL177W
YAL005C,YJL178C
YAL005C,YJL183W
YAL005C,YJL196C
YAL005C,YJL198W
YAL005C,YJL208C
YAL005C,YJL212C
YAL005C,YJR002W
YAL005C,YJR019C
YAL005C,YJR032W
YAL005C,YJR045C
YAL005C,YJR059W
YAL005C,YJR064W
YAL005C,YJR072C
YAL005C,YJR073C
YAL005C,YJR075W
YAL005C,YJR095W
YAL005C,YJR096W
YAL005C,YJR112W
YAL005C,YJR140C
YAL005C,YJR145C
YAL005C,YKL012W
YAL005C,YKL014C
YAL005C,YKL020C
YAL005C,YKL032C
YAL005C,YKL035W
YAL005C,YKL046C
YAL005C,YKL054C
YAL005C,YKL062W
YAL005C,YKL073W
YAL005C,YKL077W
YAL005C,YKL112W
YAL005C,YKL120W
YAL005C,YKL129C
YAL005C,YKL139W
YAL005C,YKL145W
YAL005C,YKL172W
YAL005C,YKL181W
YAL005C,YKL195W
YAL005C,YKL209C
YAL005C,YKL211C
YAL005C,YKL214C
YAL005C,YKR008W
YAL005C,YKR016W
YAL005C,YKR048C
YAL005C,YKR059W
YAL005C,YKR081C
YAL005C,YKR095W
YAL005C,YKR105C
YAL005C,YLL006W
YAL005C,YLL010C
YAL005C,YLL011W
YAL005C,YLL012W
YAL005C,YLL013C
YAL005C,YLL015W
YAL005C,YLL024C
YAL005C,YLL026W
YAL005C,YLL029W
YAL005C,YLL036C
YAL005C,YLL045C
YAL005C,YLL048C
YAL005C,YLR004C
YAL005C,YLR058C
YAL005C,YLR064W
YAL005C,YLR075W
YAL005C,YLR084C
YAL005C,YLR093C
YAL005C,YLR110C
YAL005C,YLR113W
YAL005C,YLR139C
YAL005C,YLR150W
YAL005C,YLR153C
YAL005C,YLR166C
YAL005C,YLR180W
YAL005C,YLR187W
YAL005C,YLR189C
YAL005C,YLR191W
YAL005C,YLR196W
YAL005C,YLR197W
YAL005C,YLR200W
YAL005C,YLR209C
YAL005C,YLR216C
YAL005C,YLR222C
YAL005C,YLR241W
YAL005C,YLR249W
YAL005C,YLR256W
YAL005C,YLR259C
YAL005C,YLR276C
YAL005C,YLR293C
YAL005C,YLR310C
YAL005C,YLR319C
YAL005C,YLR328W
YAL005C,YLR335W
YAL005C,YLR340W
YAL005C,YLR343W
YAL005C,YLR347C
YAL005C,YLR348C
YAL005C,YLR350W
YAL005C,YLR357W
YAL005C,YLR372W
YAL005C,YLR373C
YAL005C,YLR377C
YAL005C,YLR382C
YAL005C,YLR384C
YAL005C,YLR386W
YAL005C,YLR393W
YAL005C,YLR398C
YAL005C,YLR404W
YAL005C,YLR413W
YAL005C,YLR418C
YAL005C,YLR424W
YAL005C,YLR438W
YAL005C,YLR441C
YAL005C,YLR448W
YAL005C,YML002W
YAL005C,YML008C
YAL005C,YML013W
YAL005C,YML017W
YAL005C,YML026C
YAL005C,YML028W
YAL005C,YML035C
YAL005C,YML038C
YAL005C,YML048W
YAL005C,YML055W
YAL005C,YML062C
YAL005C,YML063W
YAL005C,YML074C
YAL005C,YML088W
YAL005C,YML097C
YAL005C,YML104C
YAL005C,YML110C
YAL005C,YML120C
YAL005C,YMR012W
YAL005C,YMR045C
YAL005C,YMR047C
YAL005C,YMR066W
YAL005C,YMR076C
YAL005C,YMR078C
YAL005C,YMR083W
YAL005C,YMR091C
YAL005C,YMR099C
YAL005C,YMR109W
YAL005C,YMR122W-A
YAL005C,YMR123W
YAL005C,YMR128W
YAL005C,YMR129W
YAL005C,YMR131C
YAL005C,YMR142C
YAL005C,YMR149W
YAL005C,YMR165C
YAL005C,YMR167W
YAL005C,YMR186W
YAL005C,YMR207C
YAL005C,YMR214W
YAL005C,YMR216C
YAL005C,YMR218C
YAL005C,YMR219W
YAL005C,YMR238W
YAL005C,YMR242C
YAL005C,YMR259C
YAL005C,YMR261C
YAL005C,YMR264W
YAL005C,YMR306W
YAL005C,YNL002C
YAL005C,YNL004W
YAL005C,YNL007C
YAL005C,YNL008C
YAL005C,YNL025C
YAL005C,YNL026W
YAL005C,YNL055C
YAL005C,YNL064C
YAL005C,YNL069C
YAL005C,YNL075W
YAL005C,YNL078W
YAL005C,YNL085W
YAL005C,YNL087W
YAL005C,YNL091W
YAL005C,YNL096C
YAL005C,YNL121C
YAL005C,YNL124W
YAL005C,YNL125C
YAL005C,YNL136W
YAL005C,YNL157W
YAL005C,YNL175C
YAL005C,YNL178W
YAL005C,YNL181W
YAL005C,YNL183C
YAL005C,YNL190W
YAL005C,YNL197C
YAL005C,YNL209W
YAL005C,YNL220W
YAL005C,YNL227C
YAL005C,YNL229C
YAL005C,YNL255C
YAL005C,YNL257C
YAL005C,YNL264C
YAL005C,YNL268W
YAL005C,YNL271C
YAL005C,YNL289W
YAL005C,YNL291C
YAL005C,YNL308C
YAL005C,YNR001C
YAL005C,YNR003C
YAL005C,YNR013C
YAL005C,YNR026C
YAL005C,YNR034W
YAL005C,YNR034W-A
YAL005C,YNR048W
YAL005C,YNR050C
YAL005C,YNR051C
YAL005C,YNR070W
YAL005C,YNR075W
YAL005C,YOL004W
YAL005C,YOL006C
YAL005C,YOL010W
YAL005C,YOL013C
YAL005C,YOL021C
YAL005C,YOL031C
YAL005C,YOL033W
YAL005C,YOL044W
YAL005C,YOL072W
YAL005C,YOL075C
YAL005C,YOL081W
YAL005C,YOL096C
YAL005C,YOL097C
YAL005C,YOL109W
YAL005C,YOL111C
YAL005C,YOL115W
YAL005C,YOL120C
YAL005C,YOL123W
YAL005C,YOL139C
YAL005C,YOL149W
YAL005C,YOR007C
YAL005C,YOR021C
YAL005C,YOR027W
YAL005C,YOR037W
YAL005C,YOR038C
YAL005C,YOR042W
YAL005C,YOR048C
YAL005C,YOR056C
YAL005C,YOR061W
YAL005C,YOR086C
YAL005C,YOR091W
YAL005C,YOR098C
YAL005C,YOR106W
YAL005C,YOR110W
YAL005C,YOR117W
YAL005C,YOR124C
YAL005C,YOR132W
YAL005C,YOR133W
YAL005C,YOR136W
YAL005C,YOR140W
YAL005C,YOR142W
YAL005C,YOR147W
YAL005C,YOR151C
YAL005C,YOR153W
YAL005C,YOR155C
YAL005C,YOR164C
YAL005C,YOR185C
YAL005C,YOR187W
YAL005C,YOR197W
YAL005C,YOR198C
YAL005C,YOR227W
YAL005C,YOR254C
YAL005C,YOR256C
YAL005C,YOR267C
YAL005C,YOR273C
YAL005C,YOR297C
YAL005C,YOR311C
YAL005C,YOR328W
YAL005C,YOR332W
YAL005C,YOR346W
YAL005C,YOR359W
YAL005C,YOR361C
YAL005C,YPL001W
YAL005C,YPL002C
YAL005C,YPL004C
YAL005C,YPL010W
YAL005C,YPL012W
YAL005C,YPL019C
YAL005C,YPL020C
YAL005C,YPL023C
YAL005C,YPL028W
YAL005C,YPL030W
YAL005C,YPL043W
YAL005C,YPL049C
YAL005C,YPL050C
YAL005C,YPL053C
YAL005C,YPL058C
YAL005C,YPL060W
YAL005C,YPL084W
YAL005C,YPL090C
YAL005C,YPL104W
YAL005C,YPL106C
YAL005C,YPL108W
YAL005C,YPL110C
YAL005C,YPL116W
YAL005C,YPL131W
YAL005C,YPL137C
YAL005C,YPL145C
YAL005C,YPL147W
YAL005C,YPL165C
YAL005C,YPL167C
YAL005C,YPL176C
YAL005C,YPL180W
YAL005C,YPL201C
YAL005C,YPL204W
YAL005C,YPL220W
YAL005C,YPL232W
YAL005C,YPL233W
YAL005C,YPL234C
YAL005C,YPL235W
YAL005C,YPL240C
YAL005C,YPL249C
YAL005C,YPL254W
YAL005C,YPL259C
YAL005C,YPL265W
YAL005C,YPR010C
YAL005C,YPR016C
YAL005C,YPR028W
YAL005C,YPR049C
YAL005C,YPR055W
YAL005C,YPR056W
YAL005C,YPR080W
YAL005C,YPR095C
YAL005C,YPR102C
YAL005C,YPR113W
YAL005C,YPR114W
YAL005C,YPR119W
YAL005C,YPR128C
YAL005C,YPR129W
YAL005C,YPR131C
YAL005C,YPR135W
YAL005C,YPR138C
YAL005C,YPR140W
YAL005C,YPR155C
YAL005C,YPR156C
YAL005C,YPR159W
YAL005C,YPR163C
YAL005C,YPR178W
YAL005C,YPR181C
YAL005C,YPR183W
YAL005C,YPR190C
YAL005C,YPR198W
YAL007C,YAL023C
YAL007C,YAR002C-A
YAL007C,YBL003C
YAL007C,YBR009C
YAL007C,YBR036C
YAL007C,YBR183W
YAL007C,YCL025C
YAL007C,YCL037C
YAL007C,YDL018C
YAL007C,YDL054C
YAL007C,YDL095W
YAL007C,YDL149W
YAL007C,YDR051C
YAL007C,YDR086C
YAL007C,YDR087C
YAL007C,YDR101C
YAL007C,YDR127W
YAL007C,YDR174W
YAL007C,YDR381W
YAL007C,YEL002C
YAL007C,YEL063C
YAL007C,YER110C
YAL007C,YGL002W
YAL007C,YGL008C
YAL007C,YGL055W
YAL007C,YGL122C
YAL007C,YGL200C
YAL007C,YGR060W
YAL007C,YGR085C
YAL007C,YGR231C
YAL007C,YHR026W
YAL007C,YHR110W
YAL007C,YHR140W
YAL007C,YJL034W
YAL007C,YJL117W
YAL007C,YKL077W
YAL007C,YLR026C
YAL007C,YLR075W
YAL007C,YLR150W
YAL007C,YLR342W
YAL007C,YML012W
YAL007C,YMR214W
YAL007C,YMR290C
YAL007C,YNL055C
YAL007C,YNL130C
YAL007C,YNL209W
YAL007C,YNL307C
YAL007C,YOL018C
YAL007C,YOR016C
YAL007C,YOR198C
YAL007C,YPL076W
YAL007C,YPL211W
YAL007C,YPL264C
YAL007C,YPR201W
YAL008W,YCL037C
YAL008W,YGL122C
YAL008W,YJL033W
YAL008W,YML086C
YAL008W,YNL209W
YAL008W,YPL186C
YAL009W,YAL021C
YAL009W,YBL105C
YAL009W,YDL040C
YAL009W,YDL077C
YAL009W,YDL160C
YAL009W,YDR211W
YAL009W,YGL059W
YAL009W,YGL178W
YAL009W,YHR004C
YAL009W,YJL176C
YAL009W,YJR034W
YAL009W,YLR342W
YAL009W,YMR165C
YAL009W,YNL255C
YAL010C,YAL021C
YAL010C,YAL048C
YAL010C,YCR077C
YAL010C,YDL160C
YAL010C,YFL048C
YAL010C,YGL219C
YAL010C,YHR083W
YAL010C,YJL066C
YAL010C,YLL006W
YAL010C,YMR060C
YAL010C,YMR203W
YAL010C,YNL026W
YAL010C,YNL070W
YAL010C,YNL131W
YAL010C,YOL009C
YAL010C,YPL235W
YAL011W,YAL021C
YAL011W,YBL003C
YAL011W,YBL007C
YAL011W,YBL105C
YAL011W,YBR135W
YAL011W,YBR231C
YAL011W,YDL064W
YAL011W,YDL160C
YAL011W,YDL181W
YAL011W,YDR150W
YAL011W,YDR190C
YAL011W,YDR295C
YAL011W,YDR334W
YAL011W,YDR485C
YAL011W,YFL039C
YAL011W,YGL178W
YAL011W,YGR002C
YAL011W,YGR086C
YAL011W,YGR089W
YAL011W,YHR011W
YAL011W,YHR158C
YAL011W,YIR018W
YAL011W,YJL081C
YAL011W,YJL112W
YAL011W,YJL127C
YAL011W,YKR054C
YAL011W,YLL013C
YAL011W,YLR085C
YAL011W,YLR385C
YAL011W,YLR399C
YAL011W,YML041C
YAL011W,YNL107W
YAL011W,YNL243W
YAL011W,YOL012C
YAL011W,YOR117W
YAL011W,YOR127W
YAL011W,YOR195W
YAL011W,YOR269W
YAL011W,YPL174C
YAL011W,YPL235W
YAL012W,YBR055C
YAL012W,YDL077C
YAL012W,YDL160C
YAL012W,YDL229W
YAL012W,YDR190C
YAL012W,YDR457W
YAL012W,YGL122C
YAL012W,YHL034C
YAL012W,YHR152W
YAL012W,YIL031W
YAL012W,YKL130C
YAL012W,YKL210W
YAL012W,YLR320W
YAL012W,YMR300C
YAL012W,YNL209W
YAL012W,YNL271C
YAL012W,YNR051C
YAL012W,YOL013C
YAL012W,YOR198C
YAL012W,YPL020C
YAL012W,YPL149W
YAL012W,YPL240C
YAL012W,YPR042C
YAL013W,YAL021C
YAL013W,YBR010W
YAL013W,YBR095C
YAL013W,YDL076C
YAL013W,YDL160C
YAL013W,YDR207C
YAL013W,YER018C
YAL013W,YGL178W
YAL013W,YHR082C
YAL013W,YIL084C
YAL013W,YJL127C
YAL013W,YKL049C
YAL013W,YKL185W
YAL013W,YMR263W
YAL013W,YNL097C
YAL013W,YNL255C
YAL013W,YNL330C
YAL013W,YOL004W
YAL013W,YPL082C
YAL013W,YPL139C
YAL013W,YPL181W
YAL014C,YAL021C
YAL014C,YAL030W
YAL014C,YER133W
YAL014C,YGL178W
YAL014C,YJR125C
YAL014C,YKL077W
YAL014C,YKL196C
YAL014C,YLR093C
YAL014C,YMR197C
YAL014C,YOR011W
YAL014C,YOR036W
YAL014C,YOR106W
YAL015C,YDL029W
YAL015C,YDL059C
YAL015C,YDL160C
YAL015C,YDR214W
YAL015C,YDR510W
YAL015C,YEL030W
