"Pathway"	"NetBAS"	"DAVID"
"Allograft rejection"	"7.417"	"0.0019933440821673937"
"Hypertrophic cardiomyopathy (HCM)"	"6.652"	"0.005591318943487214"
"Dilated cardiomyopathy (DCM)"	"6.298"	"0.007632132132259889"
"Autoimmune thyroid disease"	"6.036"	"0.006909775586390935"
"Cardiac muscle contraction"	"5.809"	"0.004731626480135726"
"Neuroactive ligand-receptor interaction"	"5.585"	"0.0023435240783946923"
"Arginine and proline metabolism"	"5.029"	"0.0366175949618287"
"Adrenergic signaling in cardiomyocytes"	"4.487"	"0.015627029283651478"
"Calcium signaling pathway"	"4.485"	"0.015866294199960097"
"Oxytocin signaling pathway"	"4.432"	"0.022616553358501965"
