"Pathway"	"Z-score"
"Parkinson,s disease - Homo sapiens (human)"	"23.029"
"Oxidative phosphorylation - Homo sapiens (human)"	"22.952"
"Alzheimer,s disease - Homo sapiens (human)"	"18.985"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"16.609"
"Thermogenesis - Homo sapiens (human)"	"16.448"
"Non-alcoholic fatty liver disease (NAFLD) - Homo sapiens (human)"	"15.334"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"15.266"
"Huntington,s disease - Homo sapiens (human)"	"15.249"
"Fructose and mannose metabolism - Homo sapiens (human)"	"12.499"
"Pyruvate metabolism - Homo sapiens (human)"	"12.331"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"12.17"
"Retrograde endocannabinoid signaling - Homo sapiens (human)"	"12.168"
"Cardiac muscle contraction - Homo sapiens (human)"	"11.693"
"Peroxisome - Homo sapiens (human)"	"11.498"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"11.258"
"Pentose phosphate pathway - Homo sapiens (human)"	"11.05"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"10.986"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"10.783"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"10.666"
"Phagosome - Homo sapiens (human)"	"10.632"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"10.467"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"10.163"
"Starch and sucrose metabolism - Homo sapiens (human)"	"9.958"
"Legionellosis - Homo sapiens (human)"	"9.939"
"Fatty acid degradation - Homo sapiens (human)"	"9.882"
"Toxoplasmosis - Homo sapiens (human)"	"9.03"
"Propanoate metabolism - Homo sapiens (human)"	"8.924"
"Necroptosis - Homo sapiens (human)"	"8.91"
"Gap junction - Homo sapiens (human)"	"8.76"
"Glutathione metabolism - Homo sapiens (human)"	"8.63"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"8.615"
"Galactose metabolism - Homo sapiens (human)"	"8.374"
"Cholesterol metabolism - Homo sapiens (human)"	"8.081"
"Glucagon signaling pathway - Homo sapiens (human)"	"8.035"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"7.581"
"Vibrio cholerae infection - Homo sapiens (human)"	"7.275"
"cGMP-PKG signaling pathway - Homo sapiens (human)"	"7.016"
"Influenza A - Homo sapiens (human)"	"6.982"
"Tryptophan metabolism - Homo sapiens (human)"	"6.874"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"6.822"
"Antigen processing and presentation - Homo sapiens (human)"	"6.71"
"HIF-1 signaling pathway - Homo sapiens (human)"	"6.698"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"6.598"
"Collecting duct acid secretion - Homo sapiens (human)"	"6.586"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"6.577"
"Proteasome - Homo sapiens (human)"	"6.41"
"Fat digestion and absorption - Homo sapiens (human)"	"6.311"
"Prion diseases - Homo sapiens (human)"	"6.233"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"6.222"
"Fatty acid biosynthesis - Homo sapiens (human)"	"6.197"
"Apoptosis - Homo sapiens (human)"	"6.149"
"Type II diabetes mellitus - Homo sapiens (human)"	"6.105"
"Estrogen signaling pathway - Homo sapiens (human)"	"6.068"
"Epstein-Barr virus infection - Homo sapiens (human)"	"6.06"
"Glycerophospholipid metabolism - Homo sapiens (human)"	"5.788"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"5.772"
"Insulin signaling pathway - Homo sapiens (human)"	"5.698"
"Adipocytokine signaling pathway - Homo sapiens (human)"	"5.573"
"Arginine biosynthesis - Homo sapiens (human)"	"5.402"
"RNA degradation - Homo sapiens (human)"	"5.299"
