"Pathway"	"Z-score"
"Citrate cycle (TCA cycle)"	"20.852"
"PPAR signaling pathway"	"17.837"
"Valine, leucine and isoleucine degradation"	"15.096"
"Fatty acid degradation"	"12.724"
"Non-alcoholic fatty liver disease (NAFLD)"	"12.617"
"Propanoate metabolism"	"11.827"
"Alzheimer's disease"	"11.62"
"Thermogenesis"	"10.887"
"Oxidative phosphorylation"	"10.731"
"Parkinson's disease"	"10.26"
"Huntington's disease"	"10.049"
"Peroxisome"	"10.013"
"Cardiac muscle contraction"	"9.023"
"Glyoxylate and dicarboxylate metabolism"	"8.941"
"Pentose phosphate pathway"	"8.275"
"Cholesterol metabolism"	"7.693"
"Pyruvate metabolism"	"7.182"
"Fatty acid elongation"	"6.995"
"Glycerolipid metabolism"	"6.841"
"beta-Alanine metabolism"	"6.526"
"Glycolysis / Gluconeogenesis"	"6.289"
"AMPK signaling pathway"	"6.056"
"Regulation of lipolysis in adipocytes"	"5.951"
"Vitamin digestion and absorption"	"5.738"
"Tryptophan metabolism"	"5.606"
"Fat digestion and absorption"	"5.539"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"5.502"
"Butanoate metabolism"	"5.223"
"Adipocytokine signaling pathway"	"5.067"
"Glutathione metabolism"	"4.629"
"Fructose and mannose metabolism"	"4.539"
"Longevity regulating pathway"	"4.241"
"Glycerophospholipid metabolism"	"4.124"
"FoxO signaling pathway"	"4.032"
"HIF-1 signaling pathway"	"3.861"
"Proximal tubule bicarbonate reclamation"	"3.661"
"Retrograde endocannabinoid signaling"	"3.622"
"Chronic myeloid leukemia"	"3.614"
"Biosynthesis of unsaturated fatty acids"	"3.571"
"ECM-receptor interaction"	"3.401"
"Folate biosynthesis"	"3.364"
"Pathways in cancer"	"3.263"
"Sulfur relay system"	"3.232"
"Protein digestion and absorption"	"3.158"
"Lysine degradation"	"3.07"
"Small cell lung cancer"	"3.055"
"Aldosterone synthesis and secretion"	"3.05"
"Arachidonic acid metabolism"	"3.025"
"Galactose metabolism"	"2.957"
"Cortisol synthesis and secretion"	"2.953"
"Longevity regulating pathway - multiple species"	"2.924"
"Sulfur metabolism"	"2.849"
"Acute myeloid leukemia"	"2.814"
"Non-small cell lung cancer"	"2.796"
"Central carbon metabolism in cancer"	"2.787"
"Drug metabolism - other enzymes"	"2.781"
"Cushing's syndrome"	"2.739"
"Starch and sucrose metabolism"	"2.655"
"Thyroid cancer"	"2.631"
"Bile secretion"	"2.626"
"Thyroid hormone synthesis"	"2.562"
"Gastric acid secretion"	"2.543"
"Pancreatic cancer"	"2.504"
"Ferroptosis"	"2.448"
"ABC transporters"	"2.319"
"Thiamine metabolism"	"2.304"
"MAPK signaling pathway"	"2.256"
"Endocrine and other factor-regulated calcium reabsorption"	"2.232"
"Cysteine and methionine metabolism"	"2.217"
"Ovarian steroidogenesis"	"2.125"
"cAMP signaling pathway"	"2.095"
"Th1 and Th2 cell differentiation"	"2.075"
"Focal adhesion"	"2.045"
"Primary bile acid biosynthesis"	"2.042"
"Amyotrophic lateral sclerosis (ALS)"	"2.032"
"Retinol metabolism"	"1.996"
"Ascorbate and aldarate metabolism"	"1.968"
"AGE-RAGE signaling pathway in diabetic complications"	"1.925"
"Chagas disease (American trypanosomiasis)"	"1.895"
"Legionellosis"	"1.881"
"Steroid biosynthesis"	"1.852"
"Endometrial cancer"	"1.788"
"Jak-STAT signaling pathway"	"1.78"
"Th17 cell differentiation"	"1.778"
"PI3K-Akt signaling pathway"	"1.763"
"Hepatocellular carcinoma"	"1.742"
"Basal cell carcinoma"	"1.688"
"Toxoplasmosis"	"1.659"
"Vascular smooth muscle contraction"	"1.593"
"Histidine metabolism"	"1.552"
"Transcriptional misregulation in cancer"	"1.545"
"p53 signaling pathway"	"1.53"
"alpha-Linolenic acid metabolism"	"1.501"
"Cell cycle"	"1.5"
"RIG-I-like receptor signaling pathway"	"1.498"
"Chemical carcinogenesis"	"1.463"
"HTLV-I infection"	"1.46"
"Osteoclast differentiation"	"1.458"
"Glioma"	"1.435"
"Melanoma"	"1.423"
"Leishmaniasis"	"1.412"
"Relaxin signaling pathway"	"1.411"
"Hepatitis C"	"1.407"
"Measles"	"1.369"
"RNA degradation"	"1.356"
"Apelin signaling pathway"	"1.355"
"Insulin signaling pathway"	"1.321"
"Apoptosis"	"1.285"
"Insulin secretion"	"1.202"
"Breast cancer"	"1.187"
"Gastric cancer"	"1.186"
"Colorectal cancer"	"1.18"
"ErbB signaling pathway"	"1.175"
"Phagosome"	"1.148"
"GABAergic synapse"	"1.139"
"Dilated cardiomyopathy (DCM)"	"1.112"
"Salivary secretion"	"1.106"
"African trypanosomiasis"	"1.08"
"Tyrosine metabolism"	"1.055"
"Prion diseases"	"1.052"
"Necroptosis"	"1.044"
"cGMP-PKG signaling pathway"	"1.035"
"Pancreatic secretion"	"1.002"
