"Pathway"	"zscore"
"Steroid hormone biosynthesis"	"27.057"
"Peroxisome"	"26.108"
"Chemical carcinogenesis"	"22.025"
"Linoleic acid metabolism"	"22.002"
"Retinol metabolism"	"21.492"
"Metabolism of xenobiotics by cytochrome P450"	"21.017"
"Arachidonic acid metabolism"	"19.969"
"Drug metabolism - cytochrome P450"	"17.25"
"Primary bile acid biosynthesis"	"16.91"
"Steroid biosynthesis"	"11.787"
"Ovarian steroidogenesis"	"11.722"
"Bile secretion"	"10.66"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"9.657"
"Cholesterol metabolism"	"9.177"
"Longevity regulating pathway - multiple species"	"8.684"
"Thyroid hormone signaling pathway"	"8.373"
"Estrogen signaling pathway"	"8.281"
"Antigen processing and presentation"	"8.236"
"Fat digestion and absorption"	"8.006"
"ABC transporters"	"7.778"
"Legionellosis"	"7.669"
"Drug metabolism - other enzymes"	"7.655"
"PPAR signaling pathway"	"7.538"
"Tryptophan metabolism"	"7.489"
"Glucagon signaling pathway"	"7.423"
"Aminoacyl-tRNA biosynthesis"	"7.023"
"Cortisol synthesis and secretion"	"7.012"
"Glycolysis / Gluconeogenesis"	"6.98"
"Maturity onset diabetes of the young"	"6.923"
"Aldosterone synthesis and secretion"	"6.902"
"Protein processing in endoplasmic reticulum"	"6.363"
"Insulin signaling pathway"	"6.302"
"Epstein-Barr virus infection"	"6.246"
"Starch and sucrose metabolism"	"6.155"
"Valine, leucine and isoleucine degradation"	"5.871"
"Fatty acid degradation"	"5.833"
"Terpenoid backbone biosynthesis"	"5.808"
"Amino sugar and nucleotide sugar metabolism"	"5.798"
"Caffeine metabolism"	"5.709"
"Influenza A"	"5.679"
"Prion diseases"	"5.627"
"Cysteine and methionine metabolism"	"5.54"
"Synthesis and degradation of ketone bodies"	"5.519"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"5.397"
"Toxoplasmosis"	"5.381"
"Galactose metabolism"	"5.335"
"Pyruvate metabolism"	"5.248"
"AMPK signaling pathway"	"5.169"
"Glutathione metabolism"	"5.083"
"Purine metabolism"	"5.077"
"Glyoxylate and dicarboxylate metabolism"	"5.074"
"Measles"	"4.955"
"Vibrio cholerae infection"	"4.898"
"Glycine, serine and threonine metabolism"	"4.897"
"Citrate cycle (TCA cycle)"	"4.831"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"4.792"
"Fructose and mannose metabolism"	"4.774"
"Phagosome"	"4.717"
"Longevity regulating pathway"	"4.567"
"Necroptosis"	"4.534"
"MAPK signaling pathway"	"4.398"
"Glycerolipid metabolism"	"4.292"
"Butanoate metabolism"	"4.247"
"Pentose phosphate pathway"	"4.219"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"3.978"
"Long-term potentiation"	"3.936"
"Salivary secretion"	"3.915"
"RNA degradation"	"3.904"
"Mineral absorption"	"3.882"
"Tuberculosis"	"3.839"
"Viral myocarditis"	"3.816"
"Fatty acid biosynthesis"	"3.802"
"Cushing's syndrome"	"3.794"
"Central carbon metabolism in cancer"	"3.781"
"Valine, leucine and isoleucine biosynthesis"	"3.773"
"Gap junction"	"3.76"
"Tight junction"	"3.748"
"Fluid shear stress and atherosclerosis"	"3.737"
"Lysine degradation"	"3.713"
"HIF-1 signaling pathway"	"3.684"
"Endocytosis"	"3.492"
"Tyrosine metabolism"	"3.484"
"Thermogenesis"	"3.458"
"Insulin resistance"	"3.456"
"Adipocytokine signaling pathway"	"3.452"
"Ferroptosis"	"3.41"
"Type II diabetes mellitus"	"3.292"
"Pantothenate and CoA biosynthesis"	"3.255"
"Parkinson's disease"	"3.162"
"Thyroid hormone synthesis"	"3.161"
"Phenylalanine metabolism"	"3.147"
"Amphetamine addiction"	"3.079"
"Hepatocellular carcinoma"	"3.069"
"Arginine biosynthesis"	"3.068"
"Adrenergic signaling in cardiomyocytes"	"3.05"
"Propanoate metabolism"	"3.017"
"Ras signaling pathway"	"3.006"
"Prolactin signaling pathway"	"2.997"
"Cellular senescence"	"2.992"
"Vitamin digestion and absorption"	"2.989"
"Prostate cancer"	"2.962"
"Alanine, aspartate and glutamate metabolism"	"2.952"
"Serotonergic synapse"	"2.879"
"Arginine and proline metabolism"	"2.875"
"Pentose and glucuronate interconversions"	"2.704"
"Pathogenic Escherichia coli infection"	"2.696"
"Folate biosynthesis"	"2.687"
"Oxytocin signaling pathway"	"2.672"
"Jak-STAT signaling pathway"	"2.671"
"Th17 cell differentiation"	"2.607"
"Pyrimidine metabolism"	"2.548"
"Vascular smooth muscle contraction"	"2.5"
"Renin secretion"	"2.479"
"Natural killer cell mediated cytotoxicity"	"2.452"
"Adherens junction"	"2.445"
"TGF-beta signaling pathway"	"2.317"
"Regulation of lipolysis in adipocytes"	"2.314"
"Proteasome"	"2.31"
"Allograft rejection"	"2.198"
"Glycerophospholipid metabolism"	"2.171"
"Glioma"	"2.16"
"Calcium signaling pathway"	"2.15"
"Collecting duct acid secretion"	"2.142"
"Non-small cell lung cancer"	"2.116"
"alpha-Linolenic acid metabolism"	"2.07"
"Type I diabetes mellitus"	"2.068"
"Neomycin, kanamycin and gentamicin biosynthesis"	"2.045"
"Autophagy - animal"	"2.015"
"GnRH signaling pathway"	"2.005"
"Dilated cardiomyopathy (DCM)"	"1.991"
"Gastric acid secretion"	"1.985"
"cGMP-PKG signaling pathway"	"1.954"
"Melanogenesis"	"1.932"
"Olfactory transduction"	"1.902"
"C-type lectin receptor signaling pathway"	"1.888"
"Human papillomavirus infection"	"1.806"
"Viral carcinogenesis"	"1.777"
"Endocrine and other factor-regulated calcium reabsorption"	"1.758"
"Graft-versus-host disease"	"1.748"
"VEGF signaling pathway"	"1.729"
"B cell receptor signaling pathway"	"1.724"
"Non-homologous end-joining"	"1.707"
"Dopaminergic synapse"	"1.7"
"T cell receptor signaling pathway"	"1.689"
"FoxO signaling pathway"	"1.68"
"Sulfur metabolism"	"1.666"
"Primary immunodeficiency"	"1.659"
"Asthma"	"1.655"
"Carbohydrate digestion and absorption"	"1.548"
"Thiamine metabolism"	"1.545"
"Oocyte meiosis"	"1.512"
"Platelet activation"	"1.502"
"Proteoglycans in cancer"	"1.483"
"Vitamin B6 metabolism"	"1.455"
"Inflammatory mediator regulation of TRP channels"	"1.45"
"Apelin signaling pathway"	"1.429"
"ErbB signaling pathway"	"1.398"
"MicroRNAs in cancer"	"1.391"
"Fc epsilon RI signaling pathway"	"1.352"
"Biosynthesis of unsaturated fatty acids"	"1.34"
"Renal cell carcinoma"	"1.328"
"Thyroid cancer"	"1.324"
"Aldosterone-regulated sodium reabsorption"	"1.316"
"Alcoholism"	"1.301"
"Osteoclast differentiation"	"1.283"
"Acute myeloid leukemia"	"1.273"
"Autoimmune thyroid disease"	"1.238"
"Fc gamma R-mediated phagocytosis"	"1.235"
"Melanoma"	"1.227"
"Selenocompound metabolism"	"1.217"
"Huntington's disease"	"1.192"
"Vasopressin-regulated water reabsorption"	"1.185"
"HTLV-I infection"	"1.157"
"Relaxin signaling pathway"	"1.075"
"Th1 and Th2 cell differentiation"	"1.071"
"PI3K-Akt signaling pathway"	"1.063"
"Glycosphingolipid biosynthesis - ganglio series"	"1.043"
"Progesterone-mediated oocyte maturation"	"1.043"
"RNA polymerase"	"1.033"
"Epithelial cell signaling in Helicobacter pylori infection"	"1.031"
"mTOR signaling pathway"	"1.006"
"Ether lipid metabolism"	"0.992"
"Hematopoietic cell lineage"	"0.965"
"Pathways in cancer"	"0.958"
"Hepatitis C"	"0.929"
"Cholinergic synapse"	"0.919"
"Histidine metabolism"	"0.919"
"Apoptosis"	"0.911"
"Amoebiasis"	"0.908"
"Pancreatic cancer"	"0.907"
"beta-Alanine metabolism"	"0.887"
"Rheumatoid arthritis"	"0.881"
"Sulfur relay system"	"0.858"
"Cocaine addiction"	"0.842"
"Bacterial invasion of epithelial cells"	"0.837"
"One carbon pool by folate"	"0.81"
"Phosphonate and phosphinate metabolism"	"0.805"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"0.801"
"Systemic lupus erythematosus"	"0.793"
"Mannose type O-glycan biosynthesis"	"0.792"
"Hepatitis B"	"0.769"
"Transcriptional misregulation in cancer"	"0.765"
"Circadian entrainment"	"0.712"
"Insulin secretion"	"0.711"
"Synaptic vesicle cycle"	"0.706"
"Choline metabolism in cancer"	"0.646"
"Chronic myeloid leukemia"	"0.64"
"Alzheimer's disease"	"0.63"
"Signaling pathways regulating pluripotency of stem cells"	"0.577"
"Neurotrophin signaling pathway"	"0.573"
"Other glycan degradation"	"0.561"
"Phosphatidylinositol signaling system"	"0.556"
"Inflammatory bowel disease (IBD)"	"0.532"
"Fatty acid elongation"	"0.526"
"Nitrogen metabolism"	"0.511"
"GABAergic synapse"	"0.488"
"Ascorbate and aldarate metabolism"	"0.43"
"Cell adhesion molecules (CAMs)"	"0.422"
"Lipoic acid metabolism"	"0.338"
"cAMP signaling pathway"	"0.334"
"Bladder cancer"	"0.33"
"Cytosolic DNA-sensing pathway"	"0.313"
"Oxidative phosphorylation"	"0.295"
"Phototransduction"	"0.271"
"Malaria"	"0.241"
"Small cell lung cancer"	"0.24"
"Lysosome"	"0.231"
"Gastric cancer"	"0.221"
"Focal adhesion"	"0.206"
"Hedgehog signaling pathway"	"0.181"
"NOD-like receptor signaling pathway"	"0.117"
"Hippo signaling pathway - multiple species"	"0.116"
"Axon guidance"	"0.094"
"Porphyrin and chlorophyll metabolism"	"0.084"
"Long-term depression"	"0.082"
"Cardiac muscle contraction"	"0.075"
"Notch signaling pathway"	"0.068"
"Amyotrophic lateral sclerosis (ALS)"	"0.05"
"Sphingolipid metabolism"	"0.047"
"Taurine and hypotaurine metabolism"	"-0.021"
"Wnt signaling pathway"	"-0.041"
"Non-alcoholic fatty liver disease (NAFLD)"	"-0.08"
"Breast cancer"	"-0.092"
"Nicotinate and nicotinamide metabolism"	"-0.096"
"Phospholipase D signaling pathway"	"-0.117"
"D-Arginine and D-ornithine metabolism"	"-0.157"
"Glutamatergic synapse"	"-0.173"
"p53 signaling pathway"	"-0.199"
"Toll-like receptor signaling pathway"	"-0.208"
"Endometrial cancer"	"-0.217"
"Kaposi's sarcoma-associated herpesvirus infection"	"-0.22"
"Nicotine addiction"	"-0.243"
"RNA transport"	"-0.243"
"Ubiquitin mediated proteolysis"	"-0.249"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.267"
"Pancreatic secretion"	"-0.351"
"Shigellosis"	"-0.386"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.402"
"Chagas disease (American trypanosomiasis)"	"-0.454"
"Basal transcription factors"	"-0.477"
"Colorectal cancer"	"-0.478"
"Hippo signaling pathway"	"-0.506"
"Morphine addiction"	"-0.506"
"Base excision repair"	"-0.528"
"Glycosaminoglycan degradation"	"-0.539"
"Sphingolipid signaling pathway"	"-0.545"
"Autophagy - other"	"-0.567"
"Rap1 signaling pathway"	"-0.607"
"Biotin metabolism"	"-0.64"
"Mucin type O-glycan biosynthesis"	"-0.666"
"Inositol phosphate metabolism"	"-0.704"
"IL-17 signaling pathway"	"-0.738"
"Hypertrophic cardiomyopathy (HCM)"	"-0.772"
"ECM-receptor interaction"	"-0.82"
"AGE-RAGE signaling pathway in diabetic complications"	"-0.822"
"TNF signaling pathway"	"-0.831"
"Salmonella infection"	"-0.839"
"Proximal tubule bicarbonate reclamation"	"-0.851"
"African trypanosomiasis"	"-0.875"
