"Pathway"	"zscore"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"38.435"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"35.715"
"Glucagon signaling pathway"	"15.587"
"Glycolysis / Gluconeogenesis"	"14.707"
"Pyruvate metabolism"	"14.06"
"Insulin signaling pathway"	"13.958"
"Cysteine and methionine metabolism"	"13.078"
"Propanoate metabolism"	"12.508"
"Insulin resistance"	"12.072"
"Aminoacyl-tRNA biosynthesis"	"12.049"
"Glycine, serine and threonine metabolism"	"11.621"
"Starch and sucrose metabolism"	"11.433"
"Valine, leucine and isoleucine degradation"	"11.413"
"PI3K-Akt signaling pathway"	"11.291"
"Citrate cycle (TCA cycle)"	"11.236"
"Fluid shear stress and atherosclerosis"	"11.233"
"Pathogenic Escherichia coli infection"	"10.599"
"Tight junction"	"10.587"
"Dopaminergic synapse"	"10.455"
"Glyoxylate and dicarboxylate metabolism"	"10.427"
"AGE-RAGE signaling pathway in diabetic complications"	"10.299"
"Proteoglycans in cancer"	"10.248"
"Proteasome"	"10.235"
"Fat digestion and absorption"	"10.118"
"C-type lectin receptor signaling pathway"	"10.009"
"Adrenergic signaling in cardiomyocytes"	"9.941"
"Hepatitis B"	"9.928"
"FoxO signaling pathway"	"9.832"
"Epstein-Barr virus infection"	"9.816"
"Oxytocin signaling pathway"	"9.601"
"cGMP-PKG signaling pathway"	"9.583"
"Cellular senescence"	"9.447"
"HIF-1 signaling pathway"	"9.428"
"Glycosaminoglycan degradation"	"9.218"
"Osteoclast differentiation"	"9.19"
"Hepatitis C"	"9.076"
"Necroptosis"	"9.063"
"Fructose and mannose metabolism"	"9.035"
"Amphetamine addiction"	"8.977"
"Protein digestion and absorption"	"8.735"
"AMPK signaling pathway"	"8.691"
"Synthesis and degradation of ketone bodies"	"8.685"
"Central carbon metabolism in cancer"	"8.684"
"Cholesterol metabolism"	"8.636"
"Human papillomavirus infection"	"8.595"
"Relaxin signaling pathway"	"8.524"
"Chagas disease (American trypanosomiasis)"	"8.516"
"MAPK signaling pathway"	"8.464"
"Tuberculosis"	"8.433"
