"Pathway"	"zscore"
"RIG-I-like receptor signaling pathway"	"43.898"
"Cytokine-cytokine receptor interaction"	"42.876"
"Jak-STAT signaling pathway"	"39.99"
"Toll-like receptor signaling pathway"	"36.386"
"Autoimmune thyroid disease"	"35.901"
"NOD-like receptor signaling pathway"	"35.626"
"Herpes simplex infection"	"34.682"
"Hepatitis C"	"33.523"
"NF-kappa B signaling pathway"	"32.063"
"Th1 and Th2 cell differentiation"	"30.638"
"Tuberculosis"	"30.022"
"Th17 cell differentiation"	"29.26"
"Kaposi's sarcoma-associated herpesvirus infection"	"28.88"
"Hepatitis B"	"28.232"
"Natural killer cell mediated cytotoxicity"	"28.158"
"Osteoclast differentiation"	"27.749"
"Graft-versus-host disease"	"27.56"
"Measles"	"27.138"
"Inflammatory bowel disease (IBD)"	"27.049"
"Hematopoietic cell lineage"	"26.444"
"Proteasome"	"26.393"
"TNF signaling pathway"	"25.918"
"Leishmaniasis"	"25.872"
"Allograft rejection"	"25.093"
"Cytosolic DNA-sensing pathway"	"25.032"
"Pathways in cancer"	"25.015"
"Asthma"	"24.342"
"Influenza A"	"23.786"
"Chagas disease (American trypanosomiasis)"	"22.793"
"Human papillomavirus infection"	"22.693"
"Intestinal immune network for IgA production"	"22.594"
"Necroptosis"	"21.44"
"Toxoplasmosis"	"21.021"
"IL-17 signaling pathway"	"20.888"
"Type I diabetes mellitus"	"20.762"
"Staphylococcus aureus infection"	"20.385"
"Chemokine signaling pathway"	"20.381"
"T cell receptor signaling pathway"	"19.902"
"Adipocytokine signaling pathway"	"18.916"
"C-type lectin receptor signaling pathway"	"18.633"
"Apoptosis"	"18.271"
"Small cell lung cancer"	"18.213"
"HTLV-I infection"	"17.633"
"Primary immunodeficiency"	"17.352"
"Epstein-Barr virus infection"	"17.196"
"PI3K-Akt signaling pathway"	"16.82"
"Pertussis"	"16.815"
"Cell adhesion molecules (CAMs)"	"15.71"
"Apoptosis - multiple species"	"15.513"
"Acute myeloid leukemia"	"15.233"
"B cell receptor signaling pathway"	"14.59"
"Ubiquitin mediated proteolysis"	"13.776"
"Sphingolipid signaling pathway"	"13.713"
"Pancreatic cancer"	"13.252"
"Viral myocarditis"	"13.219"
"HIF-1 signaling pathway"	"13.171"
"Chronic myeloid leukemia"	"12.95"
"AGE-RAGE signaling pathway in diabetic complications"	"12.86"
"Viral carcinogenesis"	"12.784"
"Neurotrophin signaling pathway"	"12.717"
"Taste transduction"	"12.502"
"Prolactin signaling pathway"	"12.474"
"Prostate cancer"	"12.424"
"Neuroactive ligand-receptor interaction"	"11.91"
"MicroRNAs in cancer"	"11.166"
"Phospholipase D signaling pathway"	"10.968"
"Fc epsilon RI signaling pathway"	"10.947"
"Rheumatoid arthritis"	"10.876"
"Shigellosis"	"10.795"
"Insulin resistance"	"10.724"
"Ras signaling pathway"	"10.44"
"Antigen processing and presentation"	"10.193"
"Epithelial cell signaling in Helicobacter pylori infection"	"10.173"
"Malaria"	"9.998"
"Amoebiasis"	"9.64"
"MAPK signaling pathway"	"9.637"
"FoxO signaling pathway"	"9.636"
"Fluid shear stress and atherosclerosis"	"9.573"
"Non-alcoholic fatty liver disease (NAFLD)"	"9.568"
"Non-small cell lung cancer"	"9.408"
"Type II diabetes mellitus"	"9.256"
"ErbB signaling pathway"	"8.639"
"Leukocyte transendothelial migration"	"7.675"
"Renal cell carcinoma"	"7.555"
"African trypanosomiasis"	"7.092"
"Glioma"	"6.872"
"Salmonella infection"	"6.856"
"Thyroid hormone signaling pathway"	"6.856"
"Complement and coagulation cascades"	"6.523"
"Rap1 signaling pathway"	"6.52"
"Cellular senescence"	"6.273"
"Fc gamma R-mediated phagocytosis"	"6.26"
"Regulation of lipolysis in adipocytes"	"6.211"
"Transcriptional misregulation in cancer"	"6.181"
"Proteoglycans in cancer"	"6.149"
"cAMP signaling pathway"	"6.145"
"Autophagy - animal"	"6.056"
"VEGF signaling pathway"	"5.976"
"Adherens junction"	"5.906"
"Central carbon metabolism in cancer"	"5.891"
"Focal adhesion"	"5.709"
"Relaxin signaling pathway"	"5.564"
"Melanoma"	"5.4"
"TGF-beta signaling pathway"	"5.393"
"Choline metabolism in cancer"	"5.359"
"Endometrial cancer"	"5.341"
"AMPK signaling pathway"	"5.165"
"Amyotrophic lateral sclerosis (ALS)"	"5.061"
"Aldosterone-regulated sodium reabsorption"	"5.038"
"Axon guidance"	"5.008"
"Legionellosis"	"4.932"
"Longevity regulating pathway"	"4.859"
"Signaling pathways regulating pluripotency of stem cells"	"4.85"
"Colorectal cancer"	"4.654"
"Wnt signaling pathway"	"4.353"
"Carbohydrate digestion and absorption"	"4.347"
"p53 signaling pathway"	"4.202"
"Mitophagy - animal"	"4.201"
"Bladder cancer"	"3.999"
"Protein processing in endoplasmic reticulum"	"3.976"
"Phagosome"	"3.913"
"Inflammatory mediator regulation of TRP channels"	"3.825"
"Bacterial invasion of epithelial cells"	"3.813"
"Cholinergic synapse"	"3.562"
"Butanoate metabolism"	"3.51"
"Breast cancer"	"3.43"
"GnRH signaling pathway"	"3.428"
"Hepatocellular carcinoma"	"3.306"
"Phosphatidylinositol signaling system"	"3.269"
"Platelet activation"	"3.168"
"Renin-angiotensin system"	"3.135"
"mTOR signaling pathway"	"3.105"
"ABC transporters"	"3.082"
"Gastric cancer"	"3.048"
"Prion diseases"	"3.021"
"Cocaine addiction"	"2.788"
"Inositol phosphate metabolism"	"2.719"
"Insulin signaling pathway"	"2.699"
"Synthesis and degradation of ketone bodies"	"2.682"
"Long-term depression"	"2.623"
"Lysosome"	"2.288"
"Circadian rhythm"	"2.25"
"Thyroid cancer"	"2.002"
"Progesterone-mediated oocyte maturation"	"1.974"
"Terpenoid backbone biosynthesis"	"1.942"
"Melanogenesis"	"1.875"
"Regulation of actin cytoskeleton"	"1.639"
"Riboflavin metabolism"	"1.586"
