"Pathway"	"zscore"
"Olfactory transduction"	"33.228"
"Ras signaling pathway"	"30.423"
"MAPK signaling pathway"	"29.43"
"PI3K-Akt signaling pathway"	"26.933"
"Rap1 signaling pathway"	"24.68"
"Regulation of actin cytoskeleton"	"23.904"
"Pathways in cancer"	"22.853"
"Jak-STAT signaling pathway"	"22.824"
"Neurotrophin signaling pathway"	"22.661"
"Toll-like receptor signaling pathway"	"22.606"
"Natural killer cell mediated cytotoxicity"	"22.337"
"T cell receptor signaling pathway"	"21.841"
"Melanoma"	"21.648"
"ErbB signaling pathway"	"21.319"
"mTOR signaling pathway"	"21.285"
"Osteoclast differentiation"	"20.989"
"Fc gamma R-mediated phagocytosis"	"20.957"
"Fc epsilon RI signaling pathway"	"20.825"
"Gastric cancer"	"20.666"
"Focal adhesion"	"20.661"
"Axon guidance"	"20.248"
"Hepatitis B"	"20.012"
"B cell receptor signaling pathway"	"19.933"
"Choline metabolism in cancer"	"19.924"
"Breast cancer"	"19.805"
"TNF signaling pathway"	"19.236"
"Insulin signaling pathway"	"19.072"
"Tuberculosis"	"18.699"
"Proteoglycans in cancer"	"18.422"
"Acute myeloid leukemia"	"18.38"
"Prostate cancer"	"18.199"
"C-type lectin receptor signaling pathway"	"18.083"
"VEGF signaling pathway"	"18.072"
"Hepatitis C"	"17.953"
"Kaposi's sarcoma-associated herpesvirus infection"	"17.908"
"Pancreatic cancer"	"17.725"
"Prolactin signaling pathway"	"17.681"
"MicroRNAs in cancer"	"17.643"
"NF-kappa B signaling pathway"	"17.633"
"Autophagy - animal"	"17.481"
"Non-small cell lung cancer"	"16.952"
"Human papillomavirus infection"	"16.829"
"Glioma"	"16.812"
"Th1 and Th2 cell differentiation"	"16.715"
"Measles"	"16.69"
"Th17 cell differentiation"	"16.443"
"Insulin resistance"	"16.391"
"Chronic myeloid leukemia"	"16.373"
"Phospholipase D signaling pathway"	"16.361"
"Apoptosis"	"16.243"
"AGE-RAGE signaling pathway in diabetic complications"	"16.208"
"Bacterial invasion of epithelial cells"	"16.186"
"Longevity regulating pathway"	"16.033"
"NOD-like receptor signaling pathway"	"15.423"
"HTLV-I infection"	"15.36"
"Adipocytokine signaling pathway"	"15.265"
"Hepatocellular carcinoma"	"15.163"
"Fluid shear stress and atherosclerosis"	"15.078"
"FoxO signaling pathway"	"14.732"
"Toxoplasmosis"	"14.683"
"Cellular senescence"	"14.663"
"Type II diabetes mellitus"	"14.661"
"RIG-I-like receptor signaling pathway"	"14.648"
"Colorectal cancer"	"14.507"
"Leishmaniasis"	"14.48"
"Small cell lung cancer"	"14.418"
"Renal cell carcinoma"	"14.311"
"GnRH signaling pathway"	"14.078"
"Chagas disease (American trypanosomiasis)"	"13.986"
"Endometrial cancer"	"13.978"
"Central carbon metabolism in cancer"	"13.878"
"Shigellosis"	"13.802"
"Endocytosis"	"13.688"
"Hematopoietic cell lineage"	"13.652"
"HIF-1 signaling pathway"	"13.307"
"AMPK signaling pathway"	"13.248"
"Sphingolipid signaling pathway"	"13.218"
"Apoptosis - multiple species"	"13.215"
"Influenza A"	"12.922"
"Non-alcoholic fatty liver disease (NAFLD)"	"12.404"
"Platelet activation"	"12.401"
"Leukocyte transendothelial migration"	"12.345"
"Progesterone-mediated oocyte maturation"	"12.292"
"Adherens junction"	"12.251"
"Aldosterone-regulated sodium reabsorption"	"12.169"
"Amyotrophic lateral sclerosis (ALS)"	"11.995"
"Primary immunodeficiency"	"11.988"
"Phosphatidylinositol signaling system"	"11.439"
"Long-term potentiation"	"11.387"
"Relaxin signaling pathway"	"11.369"
"Oxytocin signaling pathway"	"11.348"
"Signaling pathways regulating pluripotency of stem cells"	"11.295"
"Autoimmune thyroid disease"	"11.25"
"IL-17 signaling pathway"	"11.01"
"Bladder cancer"	"10.976"
"Chemokine signaling pathway"	"10.553"
"Necroptosis"	"10.387"
"Estrogen signaling pathway"	"10.34"
"Salmonella infection"	"10.206"
"Graft-versus-host disease"	"9.913"
"Allograft rejection"	"9.873"
"Thyroid hormone signaling pathway"	"9.857"
"Inositol phosphate metabolism"	"9.744"
"Longevity regulating pathway - multiple species"	"9.722"
"Inflammatory mediator regulation of TRP channels"	"9.681"
"Viral myocarditis"	"9.654"
"Cell adhesion molecules (CAMs)"	"9.54"
"Carbohydrate digestion and absorption"	"9.52"
"Asthma"	"9.397"
"Pertussis"	"9.285"
"cGMP-PKG signaling pathway"	"8.969"
"Herpes simplex infection"	"8.827"
"Cholinergic synapse"	"8.809"
"Epithelial cell signaling in Helicobacter pylori infection"	"8.798"
"Type I diabetes mellitus"	"8.533"
"Viral carcinogenesis"	"8.426"
"Apelin signaling pathway"	"8.335"
"p53 signaling pathway"	"8.232"
"Long-term depression"	"8.191"
"Tight junction"	"8.05"
"Inflammatory bowel disease (IBD)"	"7.987"
"cAMP signaling pathway"	"7.937"
"Pathogenic Escherichia coli infection"	"7.937"
"Melanogenesis"	"7.754"
"Cushing's syndrome"	"7.753"
"Hippo signaling pathway"	"7.563"
"Thermogenesis"	"7.493"
"Oocyte meiosis"	"7.379"
"Endocrine and other factor-regulated calcium reabsorption"	"7.356"
"Nicotine addiction"	"7.327"
"Thyroid cancer"	"7.159"
"Cell cycle"	"7.055"
"Wnt signaling pathway"	"6.912"
"Gap junction"	"6.882"
"Glucagon signaling pathway"	"6.777"
"TGF-beta signaling pathway"	"6.722"
"Epstein-Barr virus infection"	"6.545"
"Adrenergic signaling in cardiomyocytes"	"6.54"
"Mitophagy - animal"	"6.487"
"Cytokine-cytokine receptor interaction"	"6.348"
"Intestinal immune network for IgA production"	"6.294"
"Alzheimer's disease"	"6.293"
"Prion diseases"	"6.26"
"Dopaminergic synapse"	"6.258"
"Regulation of lipolysis in adipocytes"	"6.211"
"Vascular smooth muscle contraction"	"6.063"
"Lysosome"	"5.476"
"Antigen processing and presentation"	"5.412"
"Amphetamine addiction"	"5.184"
"Amoebiasis"	"5.092"
"Circadian entrainment"	"4.981"
"Pancreatic secretion"	"4.889"
"Malaria"	"4.882"
"African trypanosomiasis"	"4.664"
