"ID"	"Pathway"	"Z-score"
"hsa04740"	"Olfactory transduction"	"33.228"
"hsa04014"	"Ras signaling pathway"	"30.423"
"hsa04010"	"MAPK signaling pathway"	"29.43"
"hsa04151"	"PI3K-Akt signaling pathway"	"26.933"
"hsa04015"	"Rap1 signaling pathway"	"24.68"
"hsa04810"	"Regulation of actin cytoskeleton"	"23.904"
"hsa05200"	"Pathways in cancer"	"22.853"
"hsa04630"	"Jak-STAT signaling pathway"	"22.824"
"hsa04722"	"Neurotrophin signaling pathway"	"22.661"
"hsa04620"	"Toll-like receptor signaling pathway"	"22.606"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"22.337"
"hsa04660"	"T cell receptor signaling pathway"	"21.841"
"hsa05218"	"Melanoma"	"21.648"
"hsa04012"	"ErbB signaling pathway"	"21.319"
"hsa04150"	"mTOR signaling pathway"	"21.285"
"hsa04380"	"Osteoclast differentiation"	"20.989"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"20.957"
"hsa04664"	"Fc epsilon RI signaling pathway"	"20.825"
"hsa05226"	"Gastric cancer"	"20.666"
"hsa04510"	"Focal adhesion"	"20.661"
"hsa04360"	"Axon guidance"	"20.248"
"hsa05161"	"Hepatitis B"	"20.012"
"hsa04662"	"B cell receptor signaling pathway"	"19.933"
"hsa05231"	"Choline metabolism in cancer"	"19.924"
"hsa05224"	"Breast cancer"	"19.805"
"hsa04668"	"TNF signaling pathway"	"19.236"
"hsa04910"	"Insulin signaling pathway"	"19.072"
"hsa05152"	"Tuberculosis"	"18.699"
"hsa05205"	"Proteoglycans in cancer"	"18.422"
"hsa05221"	"Acute myeloid leukemia"	"18.38"
"hsa05215"	"Prostate cancer"	"18.199"
"hsa04625"	"C-type lectin receptor signaling pathway"	"18.083"
"hsa04370"	"VEGF signaling pathway"	"18.072"
"hsa05160"	"Hepatitis C"	"17.953"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"17.908"
"hsa05212"	"Pancreatic cancer"	"17.725"
"hsa04917"	"Prolactin signaling pathway"	"17.681"
"hsa05206"	"MicroRNAs in cancer"	"17.643"
"hsa04064"	"NF-kappa B signaling pathway"	"17.633"
"hsa04140"	"Autophagy - animal"	"17.481"
"hsa05223"	"Non-small cell lung cancer"	"16.952"
"hsa05165"	"Human papillomavirus infection"	"16.829"
"hsa05214"	"Glioma"	"16.812"
"hsa04658"	"Th1 and Th2 cell differentiation"	"16.715"
"hsa05162"	"Measles"	"16.69"
"hsa04659"	"Th17 cell differentiation"	"16.443"
"hsa04931"	"Insulin resistance"	"16.391"
"hsa05220"	"Chronic myeloid leukemia"	"16.373"
"hsa04072"	"Phospholipase D signaling pathway"	"16.361"
"hsa04210"	"Apoptosis"	"16.243"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"16.208"
"hsa05100"	"Bacterial invasion of epithelial cells"	"16.186"
"hsa04211"	"Longevity regulating pathway"	"16.033"
"hsa04621"	"NOD-like receptor signaling pathway"	"15.423"
"hsa05166"	"HTLV-I infection"	"15.36"
"hsa04920"	"Adipocytokine signaling pathway"	"15.265"
"hsa05225"	"Hepatocellular carcinoma"	"15.163"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"15.078"
"hsa04068"	"FoxO signaling pathway"	"14.732"
"hsa05145"	"Toxoplasmosis"	"14.683"
"hsa04218"	"Cellular senescence"	"14.663"
"hsa04930"	"Type II diabetes mellitus"	"14.661"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"14.648"
"hsa05210"	"Colorectal cancer"	"14.507"
"hsa05140"	"Leishmaniasis"	"14.48"
"hsa05222"	"Small cell lung cancer"	"14.418"
"hsa05211"	"Renal cell carcinoma"	"14.311"
"hsa04912"	"GnRH signaling pathway"	"14.078"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"13.986"
"hsa05213"	"Endometrial cancer"	"13.978"
"hsa05230"	"Central carbon metabolism in cancer"	"13.878"
"hsa05131"	"Shigellosis"	"13.802"
"hsa04144"	"Endocytosis"	"13.688"
"hsa04640"	"Hematopoietic cell lineage"	"13.652"
"hsa04066"	"HIF-1 signaling pathway"	"13.307"
"hsa04152"	"AMPK signaling pathway"	"13.248"
"hsa04071"	"Sphingolipid signaling pathway"	"13.218"
"hsa04215"	"Apoptosis - multiple species"	"13.215"
"hsa05164"	"Influenza A"	"12.922"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"12.404"
"hsa04611"	"Platelet activation"	"12.401"
"hsa04670"	"Leukocyte transendothelial migration"	"12.345"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"12.292"
"hsa04520"	"Adherens junction"	"12.251"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"12.169"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"11.995"
"hsa05340"	"Primary immunodeficiency"	"11.988"
"hsa04070"	"Phosphatidylinositol signaling system"	"11.439"
"hsa04720"	"Long-term potentiation"	"11.387"
"hsa04926"	"Relaxin signaling pathway"	"11.369"
"hsa04921"	"Oxytocin signaling pathway"	"11.348"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"11.295"
"hsa05320"	"Autoimmune thyroid disease"	"11.25"
"hsa04657"	"IL-17 signaling pathway"	"11.01"
"hsa05219"	"Bladder cancer"	"10.976"
"hsa04062"	"Chemokine signaling pathway"	"10.553"
"hsa04217"	"Necroptosis"	"10.387"
"hsa04915"	"Estrogen signaling pathway"	"10.34"
"hsa05132"	"Salmonella infection"	"10.206"
"hsa05332"	"Graft-versus-host disease"	"9.913"
"hsa05330"	"Allograft rejection"	"9.873"
"hsa04919"	"Thyroid hormone signaling pathway"	"9.857"
"hsa00562"	"Inositol phosphate metabolism"	"9.744"
"hsa04213"	"Longevity regulating pathway - multiple species"	"9.722"
"hsa04750"	"Inflammatory mediator regulation of TRP channels"	"9.681"
"hsa05416"	"Viral myocarditis"	"9.654"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"9.54"
"hsa04973"	"Carbohydrate digestion and absorption"	"9.52"
"hsa05310"	"Asthma"	"9.397"
"hsa05133"	"Pertussis"	"9.285"
"hsa04022"	"cGMP-PKG signaling pathway"	"8.969"
"hsa05168"	"Herpes simplex infection"	"8.827"
"hsa04725"	"Cholinergic synapse"	"8.809"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"8.798"
"hsa04940"	"Type I diabetes mellitus"	"8.533"
"hsa05203"	"Viral carcinogenesis"	"8.426"
"hsa04371"	"Apelin signaling pathway"	"8.335"
"hsa04115"	"p53 signaling pathway"	"8.232"
"hsa04730"	"Long-term depression"	"8.191"
"hsa04530"	"Tight junction"	"8.05"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"7.987"
"hsa04024"	"cAMP signaling pathway"	"7.937"
"hsa05130"	"Pathogenic Escherichia coli infection"	"7.937"
"hsa04916"	"Melanogenesis"	"7.754"
"hsa04934"	"Cushing,s syndrome"	"7.753"
"hsa04390"	"Hippo signaling pathway"	"7.563"
"hsa04714"	"Thermogenesis"	"7.493"
"hsa04114"	"Oocyte meiosis"	"7.379"
"hsa04961"	"Endocrine and other factor-regulated calcium reabsorption"	"7.356"
"hsa05033"	"Nicotine addiction"	"7.327"
