"Pathway"	"zscore"
"RNA degradation"	"23.655"
"Ribosome biogenesis in eukaryotes"	"22.618"
"Ribosome"	"18.027"
"RNA transport"	"13.152"
"Protein processing in endoplasmic reticulum"	"11.138"
"Cysteine and methionine metabolism"	"8.255"
"mRNA surveillance pathway"	"8.027"
"Antigen processing and presentation"	"7.98"
"Amino sugar and nucleotide sugar metabolism"	"7.741"
"Phagosome"	"7.114"
"Glycolysis / Gluconeogenesis"	"6.898"
"Aminoacyl-tRNA biosynthesis"	"6.723"
"Pentose phosphate pathway"	"6.401"
"Legionellosis"	"6.247"
"Pyruvate metabolism"	"6.104"
"Fructose and mannose metabolism"	"6.002"
"Vibrio cholerae infection"	"5.847"
"Protein export"	"5.658"
"Alanine, aspartate and glutamate metabolism"	"5.596"
"Glycerolipid metabolism"	"5.564"
"Systemic lupus erythematosus"	"5.295"
"Glyoxylate and dicarboxylate metabolism"	"5.014"
"Galactose metabolism"	"4.892"
"Longevity regulating pathway - multiple species"	"4.653"
"Spliceosome"	"4.55"
"Starch and sucrose metabolism"	"4.514"
"Citrate cycle (TCA cycle)"	"4.508"
"Necroptosis"	"4.433"
"One carbon pool by folate"	"4.419"
"Terpenoid backbone biosynthesis"	"4.412"
"Tryptophan metabolism"	"4.338"
"Glycine, serine and threonine metabolism"	"4.269"
"Measles"	"4.176"
"Collecting duct acid secretion"	"4.144"
"Influenza A"	"4.051"
"Glutathione metabolism"	"3.924"
"HIF-1 signaling pathway"	"3.798"
"Arginine biosynthesis"	"3.783"
"Arginine and proline metabolism"	"3.747"
"mTOR signaling pathway"	"3.595"
"Pantothenate and CoA biosynthesis"	"3.568"
"Pathogenic Escherichia coli infection"	"3.542"
"Valine, leucine and isoleucine degradation"	"3.524"
"Fatty acid biosynthesis"	"3.391"
"Insulin signaling pathway"	"3.35"
"Selenocompound metabolism"	"3.231"
"Glycosaminoglycan degradation"	"3.219"
"Tyrosine metabolism"	"3.163"
"Thyroid hormone synthesis"	"3.14"
"Propanoate metabolism"	"3.109"
"Alcoholism"	"3.08"
"Phenylalanine metabolism"	"3.059"
"Glucagon signaling pathway"	"2.971"
"Neomycin, kanamycin and gentamicin biosynthesis"	"2.953"
"Purine metabolism"	"2.931"
"Synthesis and degradation of ketone bodies"	"2.91"
"Valine, leucine and isoleucine biosynthesis"	"2.907"
"Fatty acid degradation"	"2.905"
"Estrogen signaling pathway"	"2.801"
"Epstein-Barr virus infection"	"2.783"
"Prion diseases"	"2.708"
"MAPK signaling pathway"	"2.671"
"Central carbon metabolism in cancer"	"2.614"
"Drug metabolism - other enzymes"	"2.554"
"Gap junction"	"2.488"
"Histidine metabolism"	"2.418"
"Nitrogen metabolism"	"2.392"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"2.374"
"Fluid shear stress and atherosclerosis"	"2.356"
"Autophagy - other"	"2.321"
"Amphetamine addiction"	"2.292"
"beta-Alanine metabolism"	"2.205"
"Proteasome"	"2.079"
"Toxoplasmosis"	"2.025"
"Peroxisome"	"1.952"
"Apoptosis"	"1.942"
"AMPK signaling pathway"	"1.935"
"Butanoate metabolism"	"1.866"
"Ascorbate and aldarate metabolism"	"1.818"
"DNA replication"	"1.802"
"Non-homologous end-joining"	"1.774"
"Pentose and glucuronate interconversions"	"1.738"
"Pyrimidine metabolism"	"1.631"
"Fat digestion and absorption"	"1.607"
"Longevity regulating pathway"	"1.584"
"N-Glycan biosynthesis"	"1.529"
"D-Glutamine and D-glutamate metabolism"	"1.528"
"Vitamin B6 metabolism"	"1.494"
"Autophagy - animal"	"1.477"
"Synaptic vesicle cycle"	"1.433"
"Hedgehog signaling pathway"	"1.428"
"Lysine degradation"	"1.388"
"Other glycan degradation"	"1.335"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"1.116"
"Cellular senescence"	"1.064"
"Glycosphingolipid biosynthesis - ganglio series"	"1"
"Prostate cancer"	"0.995"
"Phosphonate and phosphinate metabolism"	"0.933"
"Leishmaniasis"	"0.903"
"IL-17 signaling pathway"	"0.878"
"Nicotinate and nicotinamide metabolism"	"0.873"
"PI3K-Akt signaling pathway"	"0.776"
"PPAR signaling pathway"	"0.765"
