"Pathway"	"Z-score"
"RNA degradation"	"24.431"
"Protein processing in endoplasmic reticulum"	"17.697"
"Protein export"	"13.278"
"RNA transport"	"10.242"
"Ribosome biogenesis in eukaryotes"	"6.805"
"Antigen processing and presentation"	"5.298"
"Vitamin B6 metabolism"	"5.298"
"Tuberculosis"	"4.936"
"Autophagy - animal"	"4.839"
"Non-alcoholic fatty liver disease (NAFLD)"	"4.459"
"Thyroid hormone synthesis"	"3.865"
"Apoptosis"	"3.63"
"PI3K-Akt signaling pathway"	"3.5"
"Aminoacyl-tRNA biosynthesis"	"3.45"
"Longevity regulating pathway"	"3.445"
"Rheumatoid arthritis"	"3.374"
"IL-17 signaling pathway"	"3.306"
"mTOR signaling pathway"	"3.286"
"Vibrio cholerae infection"	"3.136"
"HIF-1 signaling pathway"	"3.105"
"Influenza A"	"2.996"
"TNF signaling pathway"	"2.99"
"Pathogenic Escherichia coli infection"	"2.985"
"HTLV-I infection"	"2.868"
"Herpes simplex infection"	"2.786"
"One carbon pool by folate"	"2.761"
"Mitophagy - animal"	"2.615"
"Relaxin signaling pathway"	"2.583"
"Hepatitis C"	"2.52"
"Estrogen signaling pathway"	"2.45"
"Insulin signaling pathway"	"2.439"
"Fluid shear stress and atherosclerosis"	"2.427"
"MicroRNAs in cancer"	"2.286"
"Phagosome"	"2.241"
"ErbB signaling pathway"	"2.122"
"Collecting duct acid secretion"	"2.112"
"Alzheimer's disease"	"2.02"
"Small cell lung cancer"	"1.979"
"AGE-RAGE signaling pathway in diabetic complications"	"1.9"
"Alcoholism"	"1.891"
"Prostate cancer"	"1.883"
"Transcriptional misregulation in cancer"	"1.834"
"Chagas disease (American trypanosomiasis)"	"1.816"
"Autophagy - other"	"1.814"
"SNARE interactions in vesicular transport"	"1.793"
"Prion diseases"	"1.745"
"Alanine, aspartate and glutamate metabolism"	"1.711"
"Viral carcinogenesis"	"1.702"
"AMPK signaling pathway"	"1.583"
"Glycine, serine and threonine metabolism"	"1.578"
"Bladder cancer"	"1.556"
"Neurotrophin signaling pathway"	"1.532"
"Cell cycle"	"1.501"
"Vasopressin-regulated water reabsorption"	"1.461"
"Ras signaling pathway"	"1.42"
"Measles"	"1.392"
"Dopaminergic synapse"	"1.379"
"Spliceosome"	"1.379"
"Arginine and proline metabolism"	"1.354"
"Malaria"	"1.348"
"Cocaine addiction"	"1.328"
"Hepatitis B"	"1.257"
"Viral myocarditis"	"1.13"
"VEGF signaling pathway"	"1.124"
"Cortisol synthesis and secretion"	"1.023"
"Central carbon metabolism in cancer"	"1.02"
"Synaptic vesicle cycle"	"1.014"
"Renal cell carcinoma"	"0.975"
"Long-term potentiation"	"0.971"
"Acute myeloid leukemia"	"0.959"
"Amphetamine addiction"	"0.929"
"Epithelial cell signaling in Helicobacter pylori infection"	"0.929"
"Prolactin signaling pathway"	"0.922"
"Glioma"	"0.883"
"Chemokine signaling pathway"	"0.877"
"Bacterial invasion of epithelial cells"	"0.869"
"Pancreatic cancer"	"0.852"
"Chronic myeloid leukemia"	"0.839"
"Focal adhesion"	"0.792"
"Epstein-Barr virus infection"	"0.776"
"Insulin secretion"	"0.687"
"Gap junction"	"0.666"
"mRNA surveillance pathway"	"0.638"
"GnRH signaling pathway"	"0.621"
"Aldosterone synthesis and secretion"	"0.567"
"Choline metabolism in cancer"	"0.554"
"Pathways in cancer"	"0.534"
"Glucagon signaling pathway"	"0.522"
"Endocytosis"	"0.481"
"Cholinergic synapse"	"0.413"
"Oocyte meiosis"	"0.347"
"Cytokine-cytokine receptor interaction"	"0.318"
"Lysosome"	"0.316"
"Ribosome"	"0.271"
"Natural killer cell mediated cytotoxicity"	"0.261"
"Oxidative phosphorylation"	"0.26"
"Systemic lupus erythematosus"	"0.253"
"MAPK signaling pathway"	"0.199"
"Phospholipase D signaling pathway"	"0.167"
"Adrenergic signaling in cardiomyocytes"	"0.157"
"Breast cancer"	"0.149"
"Gastric cancer"	"0.149"
"Oxytocin signaling pathway"	"0.122"
"Hippo signaling pathway"	"0.12"
"Human papillomavirus infection"	"0.101"
"Cushing's syndrome"	"0.096"
"Cellular senescence"	"0.066"
"cGMP-PKG signaling pathway"	"0.05"
"Necroptosis"	"0.036"
"Hepatocellular carcinoma"	"0.024"
"NOD-like receptor signaling pathway"	"-0.007"
"D-Arginine and D-ornithine metabolism"	"-0.072"
"Kaposi's sarcoma-associated herpesvirus infection"	"-0.095"
"Huntington's disease"	"-0.129"
"Biotin metabolism"	"-0.13"
"Lipoic acid metabolism"	"-0.133"
"Valine, leucine and isoleucine biosynthesis"	"-0.153"
"Proteoglycans in cancer"	"-0.158"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.159"
"Caffeine metabolism"	"-0.173"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.174"
