"Pathway"	"Z-score"
"RNA degradation - Homo sapiens (human)"	"23.655"
"Ribosome - Homo sapiens (human)"	"22.618"
"Ribosome biogenesis in eukaryotes - Homo sapiens (human)"	"18.027"
"RNA transport - Homo sapiens (human)"	"13.152"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"11.138"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"8.255"
"mRNA surveillance pathway - Homo sapiens (human)"	"8.027"
"Antigen processing and presentation - Homo sapiens (human)"	"7.98"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"7.741"
"Phagosome - Homo sapiens (human)"	"7.114"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"6.898"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"6.723"
"Pentose phosphate pathway - Homo sapiens (human)"	"6.401"
"Legionellosis - Homo sapiens (human)"	"6.247"
"Pyruvate metabolism - Homo sapiens (human)"	"6.104"
"Fructose and mannose metabolism - Homo sapiens (human)"	"6.002"
"Vibrio cholerae infection - Homo sapiens (human)"	"5.847"
"Protein export - Homo sapiens (human)"	"5.658"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"5.596"
"Glycerolipid metabolism - Homo sapiens (human)"	"5.564"
"Systemic lupus erythematosus - Homo sapiens (human)"	"5.295"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"5.014"
"Galactose metabolism - Homo sapiens (human)"	"4.892"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"4.653"
"Spliceosome - Homo sapiens (human)"	"4.55"
"Starch and sucrose metabolism - Homo sapiens (human)"	"4.514"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"4.508"
"Necroptosis - Homo sapiens (human)"	"4.433"
"One carbon pool by folate - Homo sapiens (human)"	"4.419"
"Terpenoid backbone biosynthesis - Homo sapiens (human)"	"4.412"
"Tryptophan metabolism - Homo sapiens (human)"	"4.338"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"4.269"
"Measles - Homo sapiens (human)"	"4.176"
"Collecting duct acid secretion - Homo sapiens (human)"	"4.144"
"Influenza A - Homo sapiens (human)"	"4.051"
"Glutathione metabolism - Homo sapiens (human)"	"3.924"
"HIF-1 signaling pathway - Homo sapiens (human)"	"3.798"
"Arginine biosynthesis - Homo sapiens (human)"	"3.783"
"Arginine and proline metabolism - Homo sapiens (human)"	"3.747"
"mTOR signaling pathway - Homo sapiens (human)"	"3.595"
"Pantothenate and CoA biosynthesis - Homo sapiens (human)"	"3.568"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"3.542"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"3.524"
"Fatty acid biosynthesis - Homo sapiens (human)"	"3.391"
"Insulin signaling pathway - Homo sapiens (human)"	"3.35"
"Selenocompound metabolism - Homo sapiens (human)"	"3.231"
"Glycosaminoglycan degradation - Homo sapiens (human)"	"3.219"
"Tyrosine metabolism - Homo sapiens (human)"	"3.163"
"Thyroid hormone synthesis - Homo sapiens (human)"	"3.14"
"Propanoate metabolism - Homo sapiens (human)"	"3.109"
"Alcoholism - Homo sapiens (human)"	"3.08"
"Phenylalanine metabolism - Homo sapiens (human)"	"3.059"
"Glucagon signaling pathway - Homo sapiens (human)"	"2.971"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"2.953"
"Purine metabolism - Homo sapiens (human)"	"2.931"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"2.91"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"2.907"
"Fatty acid degradation - Homo sapiens (human)"	"2.905"
"Estrogen signaling pathway - Homo sapiens (human)"	"2.801"
"Epstein-Barr virus infection - Homo sapiens (human)"	"2.783"
"Prion diseases - Homo sapiens (human)"	"2.708"
"MAPK signaling pathway - Homo sapiens (human)"	"2.671"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"2.614"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"2.554"
"Gap junction - Homo sapiens (human)"	"2.488"
"Histidine metabolism - Homo sapiens (human)"	"2.418"
"Nitrogen metabolism - Homo sapiens (human)"	"2.392"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"2.374"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"2.356"
