"Pathway"	"NetBAS"	"DAVID"
"Regulation of actin cytoskeleton"	"43.193"	"1.0108072902414893E-17"
"Focal adhesion"	"38.862"	"2.36257622715105E-23"
"Rap1 signaling pathway"	"34.213"	"5.834339876713608E-12"
"Ras signaling pathway"	"32.96"	"0.0011853507484136103"
"Axon guidance"	"32.702"	"0.010436490114944023"
"Leukocyte transendothelial migration"	"30.809"	"6.905482701697369E-45"
"Fc gamma R-mediated phagocytosis"	"29.119"	"4.828882446410461E-8"
"Proteoglycans in cancer"	"28.697"	"8.42834505491994E-10"
"Bacterial invasion of epithelial cells"	"28.364"	"2.0450374284674262E-8"
"PI3K-Akt signaling pathway"	"26.056"	"1.0594792412401726E-7"
