"ID"	"Pathway"	"Z-score"
"hsa04810"	"Regulation of actin cytoskeleton"	"43.193"
"hsa04510"	"Focal adhesion"	"38.862"
"hsa04015"	"Rap1 signaling pathway"	"34.213"
"hsa04014"	"Ras signaling pathway"	"32.96"
"hsa04360"	"Axon guidance"	"32.702"
"hsa04670"	"Leukocyte transendothelial migration"	"30.809"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"29.119"
"hsa05205"	"Proteoglycans in cancer"	"28.697"
"hsa05100"	"Bacterial invasion of epithelial cells"	"28.364"
"hsa04151"	"PI3K-Akt signaling pathway"	"26.056"
"hsa04512"	"ECM-receptor interaction"	"25.088"
"hsa04012"	"ErbB signaling pathway"	"25.067"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"24.068"
"hsa04611"	"Platelet activation"	"24.038"
"hsa04664"	"Fc epsilon RI signaling pathway"	"23.593"
"hsa04660"	"T cell receptor signaling pathway"	"23.51"
"hsa04520"	"Adherens junction"	"22.446"
"hsa04370"	"VEGF signaling pathway"	"21.635"
"hsa04072"	"Phospholipase D signaling pathway"	"20.771"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"20.666"
"hsa04722"	"Neurotrophin signaling pathway"	"20.598"
"hsa05231"	"Choline metabolism in cancer"	"20.597"
"hsa05200"	"Pathways in cancer"	"20.179"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"19.965"
"hsa04010"	"MAPK signaling pathway"	"19.594"
"hsa05211"	"Renal cell carcinoma"	"19.549"
"hsa04062"	"Chemokine signaling pathway"	"19.503"
"hsa05131"	"Shigellosis"	"19.338"
"hsa04910"	"Insulin signaling pathway"	"18.969"
"hsa04662"	"B cell receptor signaling pathway"	"18.61"
"hsa04530"	"Tight junction"	"17.995"
"hsa05214"	"Glioma"	"17.94"
"hsa04912"	"GnRH signaling pathway"	"17.651"
"hsa04640"	"Hematopoietic cell lineage"	"17.608"
"hsa05218"	"Melanoma"	"17.442"
"hsa05165"	"Human papillomavirus infection"	"17.327"
"hsa04625"	"C-type lectin receptor signaling pathway"	"17.142"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"17.001"
