"Pathway"	"zscore"
"Proteasome"	"31.533"
"Glycolysis / Gluconeogenesis"	"25.354"
"Pyruvate metabolism"	"17.457"
"Amino sugar and nucleotide sugar metabolism"	"17.063"
"Protein processing in endoplasmic reticulum"	"16.799"
"Phagosome"	"16.179"
"Citrate cycle (TCA cycle)"	"15.809"
"Glycine, serine and threonine metabolism"	"14.995"
"Cysteine and methionine metabolism"	"14.477"
"Fructose and mannose metabolism"	"14.173"
"Propanoate metabolism"	"13.452"
"Aminoacyl-tRNA biosynthesis"	"13.399"
"Antigen processing and presentation"	"13.233"
"Galactose metabolism"	"13.012"
"Alanine, aspartate and glutamate metabolism"	"12.941"
"Pentose phosphate pathway"	"12.898"
"Legionellosis"	"12.549"
"Pathogenic Escherichia coli infection"	"12.409"
"Starch and sucrose metabolism"	"11.365"
"Central carbon metabolism in cancer"	"11.318"
"Valine, leucine and isoleucine degradation"	"11.252"
"Glucagon signaling pathway"	"11.013"
"Collecting duct acid secretion"	"10.783"
"Fatty acid degradation"	"10.764"
"Epstein-Barr virus infection"	"10.7"
"Vibrio cholerae infection"	"10.501"
"Tryptophan metabolism"	"10.46"
"Arginine and proline metabolism"	"10.123"
"Glutathione metabolism"	"9.41"
"Glycerolipid metabolism"	"9.127"
"Glyoxylate and dicarboxylate metabolism"	"8.935"
"Synaptic vesicle cycle"	"8.525"
"Arginine biosynthesis"	"8.362"
"Valine, leucine and isoleucine biosynthesis"	"8.356"
"Necroptosis"	"8.237"
"RNA degradation"	"7.967"
"Peroxisome"	"7.9"
"Gap junction"	"7.713"
"Toxoplasmosis"	"7.385"
"Terpenoid backbone biosynthesis"	"7.177"
"AMPK signaling pathway"	"7.01"
"beta-Alanine metabolism"	"6.955"
"Longevity regulating pathway - multiple species"	"6.952"
"Neomycin, kanamycin and gentamicin biosynthesis"	"6.787"
"Histidine metabolism"	"6.773"
"Fatty acid biosynthesis"	"6.744"
"Endocytosis"	"6.733"
"Purine metabolism"	"6.705"
"One carbon pool by folate"	"6.657"
"Influenza A"	"6.622"
"HIF-1 signaling pathway"	"6.491"
"Drug metabolism - other enzymes"	"6.447"
"Tight junction"	"6.404"
"PPAR signaling pathway"	"6.296"
"Synthesis and degradation of ketone bodies"	"6.28"
"Measles"	"6.277"
"Fluid shear stress and atherosclerosis"	"6.078"
"Tyrosine metabolism"	"5.957"
"Lysosome"	"5.761"
"Systemic lupus erythematosus"	"5.752"
"Fat digestion and absorption"	"5.71"
"Epithelial cell signaling in Helicobacter pylori infection"	"5.708"
"Lysine degradation"	"5.695"
"Phenylalanine metabolism"	"5.688"
"Nucleotide excision repair"	"5.667"
"Glycerophospholipid metabolism"	"5.658"
"Cellular senescence"	"5.606"
"MAPK signaling pathway"	"5.452"
"Butanoate metabolism"	"5.349"
"Pyrimidine metabolism"	"5.317"
"Oocyte meiosis"	"5.131"
"Ferroptosis"	"5.114"
"DNA replication"	"5.079"
"Biosynthesis of unsaturated fatty acids"	"5.004"
