"Pathway"	"Z-score"
"Proteasome - Homo sapiens (human)"	"31.533"
"Glycolysis / Gluconeogenesis - Homo sapiens (human)"	"25.354"
"Pyruvate metabolism - Homo sapiens (human)"	"17.457"
"Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)"	"17.063"
"Protein processing in endoplasmic reticulum - Homo sapiens (human)"	"16.799"
"Phagosome - Homo sapiens (human)"	"16.179"
"Citrate cycle (TCA cycle) - Homo sapiens (human)"	"15.809"
"Glycine, serine and threonine metabolism - Homo sapiens (human)"	"14.995"
"Cysteine and methionine metabolism - Homo sapiens (human)"	"14.477"
"Fructose and mannose metabolism - Homo sapiens (human)"	"14.173"
"Propanoate metabolism - Homo sapiens (human)"	"13.452"
"Aminoacyl-tRNA biosynthesis - Homo sapiens (human)"	"13.399"
"Antigen processing and presentation - Homo sapiens (human)"	"13.233"
"Galactose metabolism - Homo sapiens (human)"	"13.012"
"Alanine, aspartate and glutamate metabolism - Homo sapiens (human)"	"12.941"
"Pentose phosphate pathway - Homo sapiens (human)"	"12.898"
"Legionellosis - Homo sapiens (human)"	"12.549"
"Pathogenic Escherichia coli infection - Homo sapiens (human)"	"12.409"
"Starch and sucrose metabolism - Homo sapiens (human)"	"11.365"
"Central carbon metabolism in cancer - Homo sapiens (human)"	"11.318"
"Valine, leucine and isoleucine degradation - Homo sapiens (human)"	"11.252"
"Glucagon signaling pathway - Homo sapiens (human)"	"11.013"
"Collecting duct acid secretion - Homo sapiens (human)"	"10.783"
"Fatty acid degradation - Homo sapiens (human)"	"10.764"
"Epstein-Barr virus infection - Homo sapiens (human)"	"10.7"
"Vibrio cholerae infection - Homo sapiens (human)"	"10.501"
"Tryptophan metabolism - Homo sapiens (human)"	"10.46"
"Arginine and proline metabolism - Homo sapiens (human)"	"10.123"
"Glutathione metabolism - Homo sapiens (human)"	"9.41"
"Glycerolipid metabolism - Homo sapiens (human)"	"9.127"
"Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)"	"8.935"
"Synaptic vesicle cycle - Homo sapiens (human)"	"8.525"
"Arginine biosynthesis - Homo sapiens (human)"	"8.362"
"Valine, leucine and isoleucine biosynthesis - Homo sapiens (human)"	"8.356"
"Necroptosis - Homo sapiens (human)"	"8.237"
"RNA degradation - Homo sapiens (human)"	"7.967"
"Peroxisome - Homo sapiens (human)"	"7.9"
"Gap junction - Homo sapiens (human)"	"7.713"
"Toxoplasmosis - Homo sapiens (human)"	"7.385"
"Terpenoid backbone biosynthesis - Homo sapiens (human)"	"7.177"
"AMPK signaling pathway - Homo sapiens (human)"	"7.01"
"beta-Alanine metabolism - Homo sapiens (human)"	"6.955"
"Longevity regulating pathway - multiple species - Homo sapiens (human)"	"6.952"
"Neomycin, kanamycin and gentamicin biosynthesis - Homo sapiens (human)"	"6.787"
"Histidine metabolism - Homo sapiens (human)"	"6.773"
"Fatty acid biosynthesis - Homo sapiens (human)"	"6.744"
"Endocytosis - Homo sapiens (human)"	"6.733"
"Purine metabolism - Homo sapiens (human)"	"6.705"
"One carbon pool by folate - Homo sapiens (human)"	"6.657"
"Influenza A - Homo sapiens (human)"	"6.622"
"HIF-1 signaling pathway - Homo sapiens (human)"	"6.491"
"Drug metabolism - other enzymes - Homo sapiens (human)"	"6.447"
"Tight junction - Homo sapiens (human)"	"6.404"
"PPAR signaling pathway - Homo sapiens (human)"	"6.296"
"Synthesis and degradation of ketone bodies - Homo sapiens (human)"	"6.28"
"Measles - Homo sapiens (human)"	"6.277"
"Fluid shear stress and atherosclerosis - Homo sapiens (human)"	"6.078"
"Tyrosine metabolism - Homo sapiens (human)"	"5.957"
"Lysosome - Homo sapiens (human)"	"5.761"
"Systemic lupus erythematosus - Homo sapiens (human)"	"5.752"
"Fat digestion and absorption - Homo sapiens (human)"	"5.71"
"Epithelial cell signaling in Helicobacter pylori infection - Homo sapiens (human)"	"5.708"
"Lysine degradation - Homo sapiens (human)"	"5.695"
"Phenylalanine metabolism - Homo sapiens (human)"	"5.688"
"Nucleotide excision repair - Homo sapiens (human)"	"5.667"
"Glycerophospholipid metabolism - Homo sapiens (human)"	"5.658"
"Cellular senescence - Homo sapiens (human)"	"5.606"
"MAPK signaling pathway - Homo sapiens (human)"	"5.452"
"Butanoate metabolism - Homo sapiens (human)"	"5.349"
"Pyrimidine metabolism - Homo sapiens (human)"	"5.317"
"Oocyte meiosis - Homo sapiens (human)"	"5.131"
"Ferroptosis - Homo sapiens (human)"	"5.114"
"DNA replication - Homo sapiens (human)"	"5.079"
"Biosynthesis of unsaturated fatty acids - Homo sapiens (human)"	"5.004"
"N-Glycan biosynthesis - Homo sapiens (human)"	"4.927"
"Adrenergic signaling in cardiomyocytes - Homo sapiens (human)"	"4.91"
"Apoptosis - Homo sapiens (human)"	"4.83"
"Prion diseases - Homo sapiens (human)"	"4.738"
"Phenylalanine, tyrosine and tryptophan biosynthesis - Homo sapiens (human)"	"4.698"
"Salmonella infection - Homo sapiens (human)"	"4.676"
"RIG-I-like receptor signaling pathway - Homo sapiens (human)"	"4.555"
"Tuberculosis - Homo sapiens (human)"	"4.54"
"Fatty acid elongation - Homo sapiens (human)"	"4.508"
"Rheumatoid arthritis - Homo sapiens (human)"	"4.504"
"Protein digestion and absorption - Homo sapiens (human)"	"4.445"
"Estrogen signaling pathway - Homo sapiens (human)"	"4.431"
"Phosphonate and phosphinate metabolism - Homo sapiens (human)"	"4.389"
"Ascorbate and aldarate metabolism - Homo sapiens (human)"	"4.338"
"Alcoholism - Homo sapiens (human)"	"4.227"
"RNA transport - Homo sapiens (human)"	"4.185"
"Pantothenate and CoA biosynthesis - Homo sapiens (human)"	"4.119"
"Leishmaniasis - Homo sapiens (human)"	"4.101"
"Protein export - Homo sapiens (human)"	"4.063"
"Circadian rhythm - Homo sapiens (human)"	"3.962"
"Autophagy - other - Homo sapiens (human)"	"3.91"
"NOD-like receptor signaling pathway - Homo sapiens (human)"	"3.862"
"Cholesterol metabolism - Homo sapiens (human)"	"3.738"
"IL-17 signaling pathway - Homo sapiens (human)"	"3.683"
"Ubiquitin mediated proteolysis - Homo sapiens (human)"	"3.635"
"Shigellosis - Homo sapiens (human)"	"3.634"
