"Pathway"	"Z-score"
"Cell cycle"	"36.971"
"Cellular senescence"	"12.653"
"DNA replication"	"12.39"
"MicroRNAs in cancer"	"11.597"
"Bladder cancer"	"11.42"
"Progesterone-mediated oocyte maturation"	"11.069"
"Oocyte meiosis"	"10.454"
"Chronic myeloid leukemia"	"10.358"
"HTLV-I infection"	"10.041"
"Pancreatic cancer"	"9.385"
"Small cell lung cancer"	"8.253"
"Hepatitis B"	"7.844"
"FoxO signaling pathway"	"6.513"
"TGF-beta signaling pathway"	"6.494"
"Nucleotide excision repair"	"6.488"
"Non-small cell lung cancer"	"6.41"
"Pathways in cancer"	"6.389"
"Ubiquitin mediated proteolysis"	"6.322"
"Glioma"	"6.162"
"Melanoma"	"6.157"
"Breast cancer"	"6.109"
"Gastric cancer"	"6.078"
"Hepatocellular carcinoma"	"5.541"
"Homologous recombination"	"5.47"
"Colorectal cancer"	"5.343"
"p53 signaling pathway"	"5.144"
"Prostate cancer"	"4.97"
"AGE-RAGE signaling pathway in diabetic complications"	"4.91"
"Spliceosome"	"4.848"
"Viral carcinogenesis"	"4.753"
"Transcriptional misregulation in cancer"	"4.421"
"Kaposi's sarcoma-associated herpesvirus infection"	"4.415"
"Cushing's syndrome"	"4.294"
"RNA transport"	"4.088"
"Pyrimidine metabolism"	"3.995"
"Hedgehog signaling pathway"	"3.636"
"Mismatch repair"	"3.558"
"Epstein-Barr virus infection"	"3.497"
"MAPK signaling pathway"	"3.447"
"ErbB signaling pathway"	"3.337"
"Fanconi anemia pathway"	"3.334"
"Influenza A"	"3.194"
"Systemic lupus erythematosus"	"3.099"
"Viral myocarditis"	"3.078"
"Endometrial cancer"	"3.02"
"Base excision repair"	"2.86"
"Acute myeloid leukemia"	"2.802"
"Central carbon metabolism in cancer"	"2.794"
"Th17 cell differentiation"	"2.723"
"Hippo signaling pathway"	"2.695"
"Human papillomavirus infection"	"2.599"
"Thyroid cancer"	"2.595"
"Thyroid hormone signaling pathway"	"2.544"
"Measles"	"2.291"
"Herpes simplex infection"	"2.256"
"Signaling pathways regulating pluripotency of stem cells"	"2.092"
"Arginine and proline metabolism"	"2.072"
"Proteoglycans in cancer"	"2.055"
"Wnt signaling pathway"	"2.041"
"HIF-1 signaling pathway"	"1.909"
"Chagas disease (American trypanosomiasis)"	"1.888"
"Pathogenic Escherichia coli infection"	"1.884"
"Necroptosis"	"1.832"
"Steroid biosynthesis"	"1.761"
"TNF signaling pathway"	"1.761"
"Lysine degradation"	"1.745"
"Toxoplasmosis"	"1.706"
"Mitophagy - animal"	"1.651"
"Inflammatory bowel disease (IBD)"	"1.622"
"Shigellosis"	"1.613"
"Neurotrophin signaling pathway"	"1.587"
"Renal cell carcinoma"	"1.552"
"Alcoholism"	"1.551"
"Endocytosis"	"1.548"
"Prolactin signaling pathway"	"1.485"
"Leishmaniasis"	"1.43"
"Relaxin signaling pathway"	"1.421"
"Ribosome biogenesis in eukaryotes"	"1.369"
"Circadian rhythm"	"1.267"
"PI3K-Akt signaling pathway"	"1.258"
"Hypertrophic cardiomyopathy (HCM)"	"1.244"
"Dilated cardiomyopathy (DCM)"	"1.135"
"Apoptosis - multiple species"	"1.125"
"Gap junction"	"1.118"
"mRNA surveillance pathway"	"1.111"
"Th1 and Th2 cell differentiation"	"1.058"
"Ras signaling pathway"	"1.047"
"IL-17 signaling pathway"	"1.035"
"Jak-STAT signaling pathway"	"1.032"
"Protein processing in endoplasmic reticulum"	"0.999"
"Purine metabolism"	"0.949"
"Choline metabolism in cancer"	"0.934"
"T cell receptor signaling pathway"	"0.926"
"C-type lectin receptor signaling pathway"	"0.885"
"Basal transcription factors"	"0.787"
"Cysteine and methionine metabolism"	"0.783"
"Ether lipid metabolism"	"0.748"
"Notch signaling pathway"	"0.729"
"Intestinal immune network for IgA production"	"0.727"
"Malaria"	"0.715"
"AMPK signaling pathway"	"0.697"
"Vibrio cholerae infection"	"0.673"
"Mineral absorption"	"0.642"
"Amyotrophic lateral sclerosis (ALS)"	"0.636"
"Glutathione metabolism"	"0.608"
"Osteoclast differentiation"	"0.607"
"Rap1 signaling pathway"	"0.584"
"Legionellosis"	"0.57"
"Dopaminergic synapse"	"0.562"
"Hepatitis C"	"0.552"
"VEGF signaling pathway"	"0.496"
"Apelin signaling pathway"	"0.49"
"Longevity regulating pathway - multiple species"	"0.482"
"Apoptosis"	"0.48"
"Adrenergic signaling in cardiomyocytes"	"0.417"
"Drug metabolism - other enzymes"	"0.355"
"Fc epsilon RI signaling pathway"	"0.353"
"Epithelial cell signaling in Helicobacter pylori infection"	"0.337"
"RIG-I-like receptor signaling pathway"	"0.32"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"0.296"
"Adherens junction"	"0.295"
"Pertussis"	"0.245"
"RNA degradation"	"0.227"
"Antigen processing and presentation"	"0.216"
"Tight junction"	"0.18"
"ECM-receptor interaction"	"0.155"
"Axon guidance"	"0.128"
"Tuberculosis"	"0.11"
"Salmonella infection"	"0.099"
"GABAergic synapse"	"0.087"
"Rheumatoid arthritis"	"0.064"
"Fc gamma R-mediated phagocytosis"	"0.054"
"Salivary secretion"	"0.051"
"GnRH signaling pathway"	"0.041"
"Amoebiasis"	"0.014"
"Pancreatic secretion"	"0.01"
"Inflammatory mediator regulation of TRP channels"	"0.003"
"Circadian entrainment"	"-0.007"
"Focal adhesion"	"-0.056"
"Toll-like receptor signaling pathway"	"-0.072"
"D-Arginine and D-ornithine metabolism"	"-0.104"
"Leukocyte transendothelial migration"	"-0.159"
"Biotin metabolism"	"-0.173"
"Glutamatergic synapse"	"-0.176"
"Lipoic acid metabolism"	"-0.177"
"Valine, leucine and isoleucine biosynthesis"	"-0.2"
"Caffeine metabolism"	"-0.225"
"Sphingolipid signaling pathway"	"-0.226"
"D-Glutamine and D-glutamate metabolism"	"-0.227"
"Neomycin, kanamycin and gentamicin biosynthesis"	"-0.231"
"Phenylalanine, tyrosine and tryptophan biosynthesis"	"-0.24"
"Phosphonate and phosphinate metabolism"	"-0.243"
"Thermogenesis"	"-0.243"
"Platelet activation"	"-0.252"
"Vitamin B6 metabolism"	"-0.254"
"Riboflavin metabolism"	"-0.287"
"Sulfur relay system"	"-0.289"
"Autophagy - animal"	"-0.29"
"Sulfur metabolism"	"-0.322"
"Synthesis and degradation of ketone bodies"	"-0.324"
"Taurine and hypotaurine metabolism"	"-0.332"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"-0.343"
"Estrogen signaling pathway"	"-0.356"
"Thiamine metabolism"	"-0.372"
"Fatty acid biosynthesis"	"-0.376"
"Non-homologous end-joining"	"-0.376"
"Fluid shear stress and atherosclerosis"	"-0.377"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"-0.384"
"Glycosphingolipid biosynthesis - ganglio series"	"-0.395"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"-0.397"
"Selenocompound metabolism"	"-0.409"
"Other glycan degradation"	"-0.41"
"Primary bile acid biosynthesis"	"-0.422"
"Phenylalanine metabolism"	"-0.425"
"Ascorbate and aldarate metabolism"	"-0.426"
"Nitrogen metabolism"	"-0.428"
"Phospholipase D signaling pathway"	"-0.428"
"Retrograde endocannabinoid signaling"	"-0.428"
"Non-alcoholic fatty liver disease (NAFLD)"	"-0.432"
"Glycosaminoglycan degradation"	"-0.442"
"One carbon pool by folate"	"-0.448"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"-0.456"
"Pantothenate and CoA biosynthesis"	"-0.457"
"mTOR signaling pathway"	"-0.463"
"Arginine biosynthesis"	"-0.464"
"Other types of O-glycan biosynthesis"	"-0.474"
"Oxytocin signaling pathway"	"-0.474"
"Terpenoid backbone biosynthesis"	"-0.481"
"Biosynthesis of unsaturated fatty acids"	"-0.482"
"Cytokine-cytokine receptor interaction"	"-0.483"
"Proximal tubule bicarbonate reclamation"	"-0.484"
"Vitamin digestion and absorption"	"-0.486"
"Mannose type O-glycan biosynthesis"	"-0.487"
"Renin-angiotensin system"	"-0.489"
"Histidine metabolism"	"-0.491"
"Protein export"	"-0.492"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"-0.498"
"alpha-Linolenic acid metabolism"	"-0.505"
"Pentose and glucuronate interconversions"	"-0.508"
"Folate biosynthesis"	"-0.511"
"Maturity onset diabetes of the young"	"-0.511"
"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"-0.515"
"Glyoxylate and dicarboxylate metabolism"	"-0.528"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"-0.53"
"Fatty acid elongation"	"-0.536"
"Collecting duct acid secretion"	"-0.538"
"Linoleic acid metabolism"	"-0.54"
"Hippo signaling pathway - multiple species"	"-0.542"
"Phototransduction"	"-0.542"
"Butanoate metabolism"	"-0.55"
"Nicotinate and nicotinamide metabolism"	"-0.556"
"Citrate cycle (TCA cycle)"	"-0.561"
"Mucin type O-glycan biosynthesis"	"-0.562"
"Pentose phosphate pathway"	"-0.563"
"Galactose metabolism"	"-0.565"
"beta-Alanine metabolism"	"-0.566"
"NOD-like receptor signaling pathway"	"-0.567"
"RNA polymerase"	"-0.567"
"Porphyrin and chlorophyll metabolism"	"-0.571"
"Asthma"	"-0.576"
"Autophagy - other"	"-0.579"
"Propanoate metabolism"	"-0.582"
"African trypanosomiasis"	"-0.586"
"Fructose and mannose metabolism"	"-0.59"
"SNARE interactions in vesicular transport"	"-0.597"
"Tyrosine metabolism"	"-0.612"
"Aldosterone-regulated sodium reabsorption"	"-0.613"
"Starch and sucrose metabolism"	"-0.613"
"Alanine, aspartate and glutamate metabolism"	"-0.614"
"Prion diseases"	"-0.614"
"Primary immunodeficiency"	"-0.619"
"Allograft rejection"	"-0.625"
"Nicotine addiction"	"-0.64"
"Glycine, serine and threonine metabolism"	"-0.647"
"Ferroptosis"	"-0.651"
"Pyruvate metabolism"	"-0.651"
"Fat digestion and absorption"	"-0.656"
"Graft-versus-host disease"	"-0.657"
"Tryptophan metabolism"	"-0.657"
"Type I diabetes mellitus"	"-0.668"
"Aminoacyl-tRNA biosynthesis"	"-0.68"
"Carbohydrate digestion and absorption"	"-0.683"
"Fatty acid degradation"	"-0.685"
"Proteasome"	"-0.685"
"Vasopressin-regulated water reabsorption"	"-0.688"
"ABC transporters"	"-0.691"
"Type II diabetes mellitus"	"-0.702"
"Endocrine and other factor-regulated calcium reabsorption"	"-0.703"
"Sphingolipid metabolism"	"-0.707"
"Cholesterol metabolism"	"-0.709"
"Steroid hormone biosynthesis"	"-0.713"
"Cocaine addiction"	"-0.715"
"Valine, leucine and isoleucine degradation"	"-0.715"
"Amino sugar and nucleotide sugar metabolism"	"-0.716"
"Ovarian steroidogenesis"	"-0.718"
"N-Glycan biosynthesis"	"-0.72"
"Retinol metabolism"	"-0.746"
"Autoimmune thyroid disease"	"-0.748"
"Regulation of lipolysis in adipocytes"	"-0.751"
"Staphylococcus aureus infection"	"-0.779"
"Arachidonic acid metabolism"	"-0.785"
"Drug metabolism - cytochrome P450"	"-0.787"
"Long-term depression"	"-0.793"
"Regulation of actin cytoskeleton"	"-0.798"
"Synaptic vesicle cycle"	"-0.799"
"Glycerolipid metabolism"	"-0.8"
"Metabolism of xenobiotics by cytochrome P450"	"-0.805"
"Cytosolic DNA-sensing pathway"	"-0.816"
"Cortisol synthesis and secretion"	"-0.817"
"Basal cell carcinoma"	"-0.821"
"Renin secretion"	"-0.833"
"Amphetamine addiction"	"-0.84"
"Long-term potentiation"	"-0.843"
"Glycolysis / Gluconeogenesis"	"-0.85"
"B cell receptor signaling pathway"	"-0.854"
"Bile secretion"	"-0.856"
"Chemical carcinogenesis"	"-0.856"
"Adipocytokine signaling pathway"	"-0.86"
"Inositol phosphate metabolism"	"-0.867"
"Gastric acid secretion"	"-0.877"
"PPAR signaling pathway"	"-0.879"
"Thyroid hormone synthesis"	"-0.883"
"Bacterial invasion of epithelial cells"	"-0.888"
"Cardiac muscle contraction"	"-0.895"
"Complement and coagulation cascades"	"-0.924"
"Peroxisome"	"-0.932"
"Taste transduction"	"-0.939"
"Insulin secretion"	"-0.943"
"Protein digestion and absorption"	"-0.966"
"Longevity regulating pathway"	"-0.977"
"Morphine addiction"	"-0.982"
"Aldosterone synthesis and secretion"	"-0.991"
"NF-kappa B signaling pathway"	"-0.996"
"Phosphatidylinositol signaling system"	"-1.006"
"Hematopoietic cell lineage"	"-1.009"
"Glycerophospholipid metabolism"	"-1.012"
"Melanogenesis"	"-1.024"
"Glucagon signaling pathway"	"-1.029"
"Insulin resistance"	"-1.071"
"Cholinergic synapse"	"-1.091"
"Serotonergic synapse"	"-1.107"
"Lysosome"	"-1.114"
"Vascular smooth muscle contraction"	"-1.125"
"Ribosome"	"-1.17"
"Oxidative phosphorylation"	"-1.178"
"Natural killer cell mediated cytotoxicity"	"-1.179"
"Insulin signaling pathway"	"-1.201"
"Parkinson's disease"	"-1.217"
"Cell adhesion molecules (CAMs)"	"-1.233"
"Phagosome"	"-1.298"
"cGMP-PKG signaling pathway"	"-1.311"
"Alzheimer's disease"	"-1.338"
"Calcium signaling pathway"	"-1.39"
"Chemokine signaling pathway"	"-1.405"
"Huntington's disease"	"-1.414"
"cAMP signaling pathway"	"-1.461"
"Neuroactive ligand-receptor interaction"	"-1.699"
"Olfactory transduction"	"-2.141"
