"Pathway"	"zscore"
"Complement and coagulation cascades"	"62.947"
"ECM-receptor interaction"	"42.66"
"Focal adhesion"	"25.56"
"Staphylococcus aureus infection"	"24.414"
"Neuroactive ligand-receptor interaction"	"21.182"
"Protein digestion and absorption"	"19.1"
"Amoebiasis"	"17.914"
"Malaria"	"17.449"
"Regulation of actin cytoskeleton"	"16.961"
"Proteoglycans in cancer"	"15.85"
"Platelet activation"	"15.423"
"Hematopoietic cell lineage"	"15.074"
"PI3K-Akt signaling pathway"	"14.876"
"Cholesterol metabolism"	"14.441"
"Rap1 signaling pathway"	"14.161"
"Cytokine-cytokine receptor interaction"	"13.613"
"Chemokine signaling pathway"	"12.979"
"AGE-RAGE signaling pathway in diabetic complications"	"12.9"
"Vitamin digestion and absorption"	"12.78"
"Pertussis"	"12.432"
"Leukocyte transendothelial migration"	"11.038"
"Axon guidance"	"10.801"
"Phospholipase D signaling pathway"	"10.498"
"Relaxin signaling pathway"	"10.478"
"Pathways in cancer"	"10.251"
"Bacterial invasion of epithelial cells"	"10.061"
"Human papillomavirus infection"	"9.683"
"Prion diseases"	"9.332"
"Small cell lung cancer"	"8.996"
"Ubiquinone and other terpenoid-quinone biosynthesis"	"8.987"
"Cell adhesion molecules (CAMs)"	"8.277"
"Ras signaling pathway"	"7.727"
"Fat digestion and absorption"	"7.611"
"Taste transduction"	"7.341"
"Rheumatoid arthritis"	"7.204"
"Choline metabolism in cancer"	"7.059"
"Calcium signaling pathway"	"7.031"
"Fc gamma R-mediated phagocytosis"	"6.982"
"Chagas disease (American trypanosomiasis)"	"6.965"
"Fluid shear stress and atherosclerosis"	"6.916"
"MicroRNAs in cancer"	"6.636"
"Natural killer cell mediated cytotoxicity"	"6.619"
"Renal cell carcinoma"	"6.375"
"Dilated cardiomyopathy (DCM)"	"6.21"
"Hypertrophic cardiomyopathy (HCM)"	"6.134"
"Jak-STAT signaling pathway"	"6.07"
"ErbB signaling pathway"	"5.986"
"Bladder cancer"	"5.817"
"African trypanosomiasis"	"5.744"
"Leishmaniasis"	"5.686"
"Renin-angiotensin system"	"5.505"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"5.46"
"Osteoclast differentiation"	"5.376"
"Fc epsilon RI signaling pathway"	"5.296"
"Shigellosis"	"5.256"
"Hepatitis B"	"5.184"
"cAMP signaling pathway"	"5.056"
"MAPK signaling pathway"	"5.037"
"Toxoplasmosis"	"5.013"
"Intestinal immune network for IgA production"	"4.934"
"Cholinergic synapse"	"4.928"
"Prostate cancer"	"4.9"
"B cell receptor signaling pathway"	"4.69"
"Thyroid hormone synthesis"	"4.684"
"VEGF signaling pathway"	"4.648"
"TNF signaling pathway"	"4.579"
"Salmonella infection"	"4.576"
"Maturity onset diabetes of the young"	"4.36"
"Adherens junction"	"4.336"
"GnRH signaling pathway"	"4.075"
"Prolactin signaling pathway"	"4.056"
"Toll-like receptor signaling pathway"	"4.047"
"T cell receptor signaling pathway"	"4.008"
"Pancreatic secretion"	"3.878"
"Serotonergic synapse"	"3.829"
"Non-small cell lung cancer"	"3.805"
"Colorectal cancer"	"3.795"
"Cocaine addiction"	"3.776"
"Inositol phosphate metabolism"	"3.701"
"Morphine addiction"	"3.651"
"Graft-versus-host disease"	"3.644"
"Viral myocarditis"	"3.57"
"Hepatocellular carcinoma"	"3.55"
"Inflammatory bowel disease (IBD)"	"3.541"
"Type I diabetes mellitus"	"3.448"
"IL-17 signaling pathway"	"3.399"
"Chronic myeloid leukemia"	"3.371"
"Glioma"	"3.341"
"Signaling pathways regulating pluripotency of stem cells"	"3.336"
"Melanoma"	"3.335"
"Pancreatic cancer"	"3.318"
"Endometrial cancer"	"3.309"
"Drug metabolism - other enzymes"	"3.305"
"Estrogen signaling pathway"	"3.298"
"Glutamatergic synapse"	"3.277"
"Inflammatory mediator regulation of TRP channels"	"3.253"
"Epithelial cell signaling in Helicobacter pylori infection"	"3.152"
"Regulation of lipolysis in adipocytes"	"2.988"
"Gastric cancer"	"2.879"
"Allograft rejection"	"2.866"
"ABC transporters"	"2.848"
"Cortisol synthesis and secretion"	"2.848"
"Neurotrophin signaling pathway"	"2.8"
"Apelin signaling pathway"	"2.763"
