"Pathway"	"Z-score"
"Complement and coagulation cascades"	"55.732"
"Staphylococcus aureus infection"	"20.257"
"Prion diseases"	"11.29"
"ECM-receptor interaction"	"9.869"
"Platelet activation"	"8.762"
"Phagosome"	"8.637"
"Systemic lupus erythematosus"	"8.432"
"Cholesterol metabolism"	"7.936"
"PPAR signaling pathway"	"7.791"
"Pertussis"	"7.465"
"Focal adhesion"	"7.361"
"Fluid shear stress and atherosclerosis"	"7.05"
"Bladder cancer"	"6.854"
"Lysosome"	"6.522"
"Prostate cancer"	"6.392"
"Malaria"	"6.374"
"Proteoglycans in cancer"	"6.347"
"AGE-RAGE signaling pathway in diabetic complications"	"6.276"
"Regulation of actin cytoskeleton"	"5.409"
"PI3K-Akt signaling pathway"	"5.362"
"Amoebiasis"	"5.327"
"Hematopoietic cell lineage"	"5.162"
"Apoptosis"	"5.092"
"MicroRNAs in cancer"	"4.838"
"Leukocyte transendothelial migration"	"4.722"
"Relaxin signaling pathway"	"4.232"
"Kaposi's sarcoma-associated herpesvirus infection"	"3.986"
"Viral myocarditis"	"3.98"
"Rap1 signaling pathway"	"3.759"
"p53 signaling pathway"	"3.603"
"Synthesis and degradation of ketone bodies"	"3.533"
"Pathways in cancer"	"3.315"
"Transcriptional misregulation in cancer"	"3.254"
"Osteoclast differentiation"	"3.223"
"Apelin signaling pathway"	"3.068"
"Protein digestion and absorption"	"2.948"
"Rheumatoid arthritis"	"2.93"
"IL-17 signaling pathway"	"2.885"
"Small cell lung cancer"	"2.884"
"Amyotrophic lateral sclerosis (ALS)"	"2.704"
"HIF-1 signaling pathway"	"2.661"
"Chagas disease (American trypanosomiasis)"	"2.636"
"Legionellosis"	"2.568"
"TNF signaling pathway"	"2.523"
"VEGF signaling pathway"	"2.506"
"Ascorbate and aldarate metabolism"	"2.502"
"Primary bile acid biosynthesis"	"2.496"
"Human papillomavirus infection"	"2.493"
"Serotonergic synapse"	"2.488"
"Cholinergic synapse"	"2.475"
"Chemokine signaling pathway"	"2.345"
"Fc epsilon RI signaling pathway"	"2.262"
"Renal cell carcinoma"	"2.203"
"Terpenoid backbone biosynthesis"	"2.157"
"Viral carcinogenesis"	"2.154"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"2.061"
"Renin-angiotensin system"	"2.049"
"Vitamin digestion and absorption"	"2.038"
"Adherens junction"	"2.016"
"Bacterial invasion of epithelial cells"	"2.015"
"Antigen processing and presentation"	"2.008"
"Pancreatic cancer"	"1.99"
"Phospholipase D signaling pathway"	"1.967"
"Maturity onset diabetes of the young"	"1.884"
"Ras signaling pathway"	"1.848"
"TGF-beta signaling pathway"	"1.815"
"Hypertrophic cardiomyopathy (HCM)"	"1.805"
"Butanoate metabolism"	"1.779"
"Colorectal cancer"	"1.766"
"GABAergic synapse"	"1.745"
"Dilated cardiomyopathy (DCM)"	"1.729"
"Morphine addiction"	"1.728"
"Pentose phosphate pathway"	"1.706"
"GnRH signaling pathway"	"1.703"
"Fc gamma R-mediated phagocytosis"	"1.663"
"Alzheimer's disease"	"1.629"
"Circadian entrainment"	"1.622"
"Apoptosis - multiple species"	"1.59"
"Choline metabolism in cancer"	"1.582"
"Influenza A"	"1.567"
"Pancreatic secretion"	"1.564"
"African trypanosomiasis"	"1.541"
"Tuberculosis"	"1.536"
"Neuroactive ligand-receptor interaction"	"1.452"
"Tyrosine metabolism"	"1.443"
"Toll-like receptor signaling pathway"	"1.43"
"Ferroptosis"	"1.379"
"Glutamatergic synapse"	"1.352"
