"ID"	"Pathway"	"Z-score"
"hsa04610"	"Complement and coagulation cascades"	"62.947"
"hsa04512"	"ECM-receptor interaction"	"42.66"
"hsa04510"	"Focal adhesion"	"25.56"
"hsa05150"	"Staphylococcus aureus infection"	"24.414"
"hsa04080"	"Neuroactive ligand-receptor interaction"	"21.182"
"hsa04974"	"Protein digestion and absorption"	"19.1"
"hsa05146"	"Amoebiasis"	"17.914"
"hsa05144"	"Malaria"	"17.449"
"hsa04810"	"Regulation of actin cytoskeleton"	"16.961"
"hsa05205"	"Proteoglycans in cancer"	"15.85"
"hsa04611"	"Platelet activation"	"15.423"
"hsa04640"	"Hematopoietic cell lineage"	"15.074"
"hsa04151"	"PI3K-Akt signaling pathway"	"14.876"
"hsa04979"	"Cholesterol metabolism"	"14.441"
"hsa04015"	"Rap1 signaling pathway"	"14.161"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"13.613"
"hsa04062"	"Chemokine signaling pathway"	"12.979"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"12.9"
"hsa04977"	"Vitamin digestion and absorption"	"12.78"
"hsa05133"	"Pertussis"	"12.432"
"hsa04670"	"Leukocyte transendothelial migration"	"11.038"
"hsa04360"	"Axon guidance"	"10.801"
"hsa04072"	"Phospholipase D signaling pathway"	"10.498"
"hsa04926"	"Relaxin signaling pathway"	"10.478"
"hsa05200"	"Pathways in cancer"	"10.251"
"hsa05100"	"Bacterial invasion of epithelial cells"	"10.061"
"hsa05165"	"Human papillomavirus infection"	"9.683"
"hsa05020"	"Prion diseases"	"9.332"
"hsa05222"	"Small cell lung cancer"	"8.996"
"hsa00130"	"Ubiquinone and other terpenoid-quinone biosynthesis"	"8.987"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"8.277"
"hsa04014"	"Ras signaling pathway"	"7.727"
"hsa04975"	"Fat digestion and absorption"	"7.611"
"hsa04742"	"Taste transduction"	"7.341"
"hsa05323"	"Rheumatoid arthritis"	"7.204"
"hsa05231"	"Choline metabolism in cancer"	"7.059"
"hsa04020"	"Calcium signaling pathway"	"7.031"
"hsa04666"	"Fc gamma R-mediated phagocytosis"	"6.982"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"6.965"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"6.916"
"hsa05206"	"MicroRNAs in cancer"	"6.636"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"6.619"
"hsa05211"	"Renal cell carcinoma"	"6.375"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"6.21"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"6.134"
"hsa04630"	"Jak-STAT signaling pathway"	"6.07"
"hsa04012"	"ErbB signaling pathway"	"5.986"
"hsa05219"	"Bladder cancer"	"5.817"
"hsa05143"	"African trypanosomiasis"	"5.744"
"hsa05140"	"Leishmaniasis"	"5.686"
"hsa04614"	"Renin-angiotensin system"	"5.505"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"5.46"
"hsa04380"	"Osteoclast differentiation"	"5.376"
"hsa04664"	"Fc epsilon RI signaling pathway"	"5.296"
"hsa05131"	"Shigellosis"	"5.256"
"hsa05161"	"Hepatitis B"	"5.184"
"hsa04024"	"cAMP signaling pathway"	"5.056"
"hsa04010"	"MAPK signaling pathway"	"5.037"
"hsa05145"	"Toxoplasmosis"	"5.013"
"hsa04672"	"Intestinal immune network for IgA production"	"4.934"
"hsa04725"	"Cholinergic synapse"	"4.928"
"hsa05215"	"Prostate cancer"	"4.9"
"hsa04662"	"B cell receptor signaling pathway"	"4.69"
"hsa04918"	"Thyroid hormone synthesis"	"4.684"
"hsa04370"	"VEGF signaling pathway"	"4.648"
"hsa04668"	"TNF signaling pathway"	"4.579"
"hsa05132"	"Salmonella infection"	"4.576"
"hsa04950"	"Maturity onset diabetes of the young"	"4.36"
"hsa04520"	"Adherens junction"	"4.336"
"hsa04912"	"GnRH signaling pathway"	"4.075"
"hsa04917"	"Prolactin signaling pathway"	"4.056"
"hsa04620"	"Toll-like receptor signaling pathway"	"4.047"
"hsa04660"	"T cell receptor signaling pathway"	"4.008"
"hsa04972"	"Pancreatic secretion"	"3.878"
"hsa04726"	"Serotonergic synapse"	"3.829"
"hsa05223"	"Non-small cell lung cancer"	"3.805"
"hsa05210"	"Colorectal cancer"	"3.795"
"hsa05030"	"Cocaine addiction"	"3.776"
"hsa00562"	"Inositol phosphate metabolism"	"3.701"
"hsa05032"	"Morphine addiction"	"3.651"
