"Pathway"	"Z-score"
"AGE-RAGE signaling pathway in diabetic complications"	"18.137"
"MicroRNAs in cancer"	"13.322"
"Rap1 signaling pathway"	"12.416"
"Central carbon metabolism in cancer"	"12.285"
"Focal adhesion"	"12.08"
"PI3K-Akt signaling pathway"	"11.478"
"Adherens junction"	"11.433"
"Chronic myeloid leukemia"	"11.406"
"Relaxin signaling pathway"	"11.225"
"Sphingolipid signaling pathway"	"11.105"
"Fluid shear stress and atherosclerosis"	"10.857"
"Proteoglycans in cancer"	"10.273"
"Small cell lung cancer"	"10.09"
"Amoebiasis"	"9.955"
"Pathways in cancer"	"9.795"
"Signaling pathways regulating pluripotency of stem cells"	"9.76"
"Prostate cancer"	"9.673"
"Gastric cancer"	"9.588"
"HIF-1 signaling pathway"	"9.53"
"Platelet activation"	"9.477"
"Acute myeloid leukemia"	"9.475"
"MAPK signaling pathway"	"9.466"
"TGF-beta signaling pathway"	"9.463"
"Chagas disease (American trypanosomiasis)"	"9.458"
"Osteoclast differentiation"	"9.355"
"FoxO signaling pathway"	"9.329"
"Fc epsilon RI signaling pathway"	"9.28"
"Glioma"	"8.914"
"Melanoma"	"8.815"
"Hepatocellular carcinoma"	"8.802"
"Pancreatic cancer"	"8.655"
"Thyroid hormone signaling pathway"	"8.637"
"Breast cancer"	"8.618"
"Phospholipase D signaling pathway"	"8.563"
"Endometrial cancer"	"8.503"
"Hippo signaling pathway"	"8.457"
"T cell receptor signaling pathway"	"8.355"
"Cellular senescence"	"8.21"
"ErbB signaling pathway"	"8.124"
"Type II diabetes mellitus"	"7.959"
"Non-small cell lung cancer"	"7.852"
"Gap junction"	"7.798"
"Hepatitis B"	"7.752"
"Longevity regulating pathway"	"7.744"
"Fc gamma R-mediated phagocytosis"	"7.69"
"Neurotrophin signaling pathway"	"7.667"
"Human papillomavirus infection"	"7.543"
"mTOR signaling pathway"	"7.402"
"Phosphatidylinositol signaling system"	"7.285"
"Regulation of lipolysis in adipocytes"	"7.214"
"Ras signaling pathway"	"7.138"
