"Pathway"	"Z-score"
"Focal adhesion"	"24.283"
"Pathways in cancer"	"23.233"
"Axon guidance"	"23.113"
"Proteoglycans in cancer"	"21.499"
"Rap1 signaling pathway"	"20.502"
"Ras signaling pathway"	"20.416"
"ErbB signaling pathway"	"20.239"
"Jak-STAT signaling pathway"	"19.806"
"Hepatocellular carcinoma"	"18.603"
"MicroRNAs in cancer"	"18.582"
"Gastric cancer"	"18.43"
"AGE-RAGE signaling pathway in diabetic complications"	"18.045"
"Pancreatic cancer"	"17.574"
"Signaling pathways regulating pluripotency of stem cells"	"17.534"
"Natural killer cell mediated cytotoxicity"	"17.083"
"Human papillomavirus infection"	"16.838"
"Choline metabolism in cancer"	"16.789"
"VEGF signaling pathway"	"16.685"
"T cell receptor signaling pathway"	"16.611"
"Fc gamma R-mediated phagocytosis"	"16.46"
"Regulation of actin cytoskeleton"	"16.317"
"Colorectal cancer"	"16.301"
"Chronic myeloid leukemia"	"16.205"
"Bacterial invasion of epithelial cells"	"16.07"
"Fc epsilon RI signaling pathway"	"15.975"
"Adherens junction"	"15.901"
"TGF-beta signaling pathway"	"15.864"
"Leukocyte transendothelial migration"	"15.841"
"Breast cancer"	"15.766"
"Phospholipase D signaling pathway"	"15.726"
"Osteoclast differentiation"	"15.605"
"Neurotrophin signaling pathway"	"15.406"
"Prolactin signaling pathway"	"15.154"
"Thyroid hormone signaling pathway"	"15.108"
"Glioma"	"14.832"
"Non-small cell lung cancer"	"14.767"
"Prostate cancer"	"14.706"
"PI3K-Akt signaling pathway"	"14.411"
"Renal cell carcinoma"	"14.395"
"Hepatitis B"	"14.135"
"Relaxin signaling pathway"	"14.114"
"MAPK signaling pathway"	"13.853"
"B cell receptor signaling pathway"	"13.7"
"FoxO signaling pathway"	"13.65"
"Endometrial cancer"	"13.345"
"Chemokine signaling pathway"	"13.092"
"C-type lectin receptor signaling pathway"	"13.089"
"Th17 cell differentiation"	"12.96"
"Acute myeloid leukemia"	"12.753"
"Fluid shear stress and atherosclerosis"	"12.579"
"ECM-receptor interaction"	"12.472"
"Aldosterone-regulated sodium reabsorption"	"12.45"
"HTLV-I infection"	"12.282"
"cAMP signaling pathway"	"12.147"
"Hippo signaling pathway"	"11.997"
"Insulin signaling pathway"	"11.853"
"Melanoma"	"11.84"
"Kaposi's sarcoma-associated herpesvirus infection"	"11.612"
"Insulin resistance"	"11.41"
"Platelet activation"	"11.399"
"Melanogenesis"	"11.371"
"Type II diabetes mellitus"	"11.202"
"Chagas disease (American trypanosomiasis)"	"11.123"
"GnRH signaling pathway"	"11.102"
"Hepatitis C"	"10.908"
"Sphingolipid signaling pathway"	"10.832"
"Phosphatidylinositol signaling system"	"10.742"
"Amoebiasis"	"10.708"
"Nicotine addiction"	"10.666"
"Endocytosis"	"10.438"
"Cushing's syndrome"	"10.326"
"Wnt signaling pathway"	"10.18"
"Cellular senescence"	"10.102"
"HIF-1 signaling pathway"	"9.778"
"Inflammatory mediator regulation of TRP channels"	"9.774"
"Cholinergic synapse"	"9.771"
"Carbohydrate digestion and absorption"	"9.733"
"Basal cell carcinoma"	"9.586"
"Th1 and Th2 cell differentiation"	"9.423"
"Inflammatory bowel disease (IBD)"	"9.044"
"Notch signaling pathway"	"8.987"
"mTOR signaling pathway"	"8.832"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"8.78"
"Regulation of lipolysis in adipocytes"	"8.479"
"Toll-like receptor signaling pathway"	"8.415"
"Shigellosis"	"8.354"
"Long-term potentiation"	"8.3"
"Mineral absorption"	"8.007"
"Small cell lung cancer"	"7.985"
"Tuberculosis"	"7.976"
"Bladder cancer"	"7.921"
"Autophagy - animal"	"7.804"
"Long-term depression"	"7.801"
"Cytokine-cytokine receptor interaction"	"7.798"
"Non-alcoholic fatty liver disease (NAFLD)"	"7.697"
"Longevity regulating pathway"	"7.662"
"Calcium signaling pathway"	"7.649"
"Adipocytokine signaling pathway"	"7.646"
"Apelin signaling pathway"	"7.499"
"TNF signaling pathway"	"7.358"
"Tight junction"	"7.265"
"Transcriptional misregulation in cancer"	"7.124"
