"ID"	"Pathway"	"Z-score"
"hsa04350"	"TGF-beta signaling pathway"	"36.326"
"hsa04390"	"Hippo signaling pathway"	"25.44"
"hsa04550"	"Signaling pathways regulating pluripotency of stem cells"	"25.026"
"hsa05200"	"Pathways in cancer"	"19.049"
"hsa05226"	"Gastric cancer"	"17.911"
"hsa04310"	"Wnt signaling pathway"	"17.35"
"hsa04520"	"Adherens junction"	"17.295"
"hsa05225"	"Hepatocellular carcinoma"	"17.092"
"hsa05210"	"Colorectal cancer"	"16.525"
"hsa04933"	"AGE-RAGE signaling pathway in diabetic complications"	"16.484"
"hsa05161"	"Hepatitis B"	"15.995"
"hsa05212"	"Pancreatic cancer"	"15.376"
"hsa04120"	"Ubiquitin mediated proteolysis"	"15.184"
"hsa05217"	"Basal cell carcinoma"	"14.976"
"hsa05166"	"HTLV-I infection"	"14.654"
"hsa05165"	"Human papillomavirus infection"	"14.482"
"hsa05220"	"Chronic myeloid leukemia"	"13.344"
"hsa04068"	"FoxO signaling pathway"	"12.935"
"hsa05202"	"Transcriptional misregulation in cancer"	"12.586"
"hsa04330"	"Notch signaling pathway"	"12.52"
"hsa04218"	"Cellular senescence"	"12.468"
"hsa04659"	"Th17 cell differentiation"	"12.104"
"hsa05205"	"Proteoglycans in cancer"	"11.925"
"hsa04510"	"Focal adhesion"	"11.482"
"hsa04919"	"Thyroid hormone signaling pathway"	"11.289"
"hsa05206"	"MicroRNAs in cancer"	"11.042"
"hsa04380"	"Osteoclast differentiation"	"11.003"
"hsa05321"	"Inflammatory bowel disease (IBD)"	"10.774"
"hsa04060"	"Cytokine-cytokine receptor interaction"	"10.759"
"hsa05213"	"Endometrial cancer"	"10.711"
"hsa05224"	"Breast cancer"	"10.7"
"hsa05418"	"Fluid shear stress and atherosclerosis"	"10.571"
"hsa04620"	"Toll-like receptor signaling pathway"	"10.401"
"hsa04110"	"Cell cycle"	"10.062"
"hsa05142"	"Chagas disease (American trypanosomiasis)"	"9.794"
"hsa05215"	"Prostate cancer"	"9.674"
"hsa05222"	"Small cell lung cancer"	"9.628"
"hsa04010"	"MAPK signaling pathway"	"9.273"
"hsa04934"	"Cushing,s syndrome"	"9.025"
"hsa05221"	"Acute myeloid leukemia"	"8.69"
"hsa04668"	"TNF signaling pathway"	"8.617"
"hsa04392"	"Hippo signaling pathway - multiple species"	"8.495"
"hsa04974"	"Protein digestion and absorption"	"8.08"
"hsa04926"	"Relaxin signaling pathway"	"7.911"
"hsa05160"	"Hepatitis C"	"7.903"
"hsa05144"	"Malaria"	"7.781"
"hsa04630"	"Jak-STAT signaling pathway"	"7.65"
"hsa04215"	"Apoptosis - multiple species"	"7.629"
"hsa05167"	"Kaposi,s sarcoma-associated herpesvirus infection"	"7.607"
"hsa04340"	"Hedgehog signaling pathway"	"7.311"
"hsa04622"	"RIG-I-like receptor signaling pathway"	"7.229"
"hsa04360"	"Axon guidance"	"7.174"
"hsa04931"	"Insulin resistance"	"7.174"
"hsa05412"	"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"7.059"
"hsa05168"	"Herpes simplex infection"	"6.942"
"hsa04512"	"ECM-receptor interaction"	"6.887"
"hsa05152"	"Tuberculosis"	"6.628"
"hsa04064"	"NF-kappa B signaling pathway"	"6.522"
"hsa04621"	"NOD-like receptor signaling pathway"	"6.281"
"hsa04670"	"Leukocyte transendothelial migration"	"6.256"
"hsa04657"	"IL-17 signaling pathway"	"6.175"
"hsa05140"	"Leishmaniasis"	"6.165"
"hsa04115"	"p53 signaling pathway"	"6.021"
"hsa05211"	"Renal cell carcinoma"	"5.949"
"hsa05162"	"Measles"	"5.612"
"hsa04144"	"Endocytosis"	"5.552"
"hsa05145"	"Toxoplasmosis"	"5.432"
"hsa04371"	"Apelin signaling pathway"	"5.401"
"hsa04530"	"Tight junction"	"5.373"
"hsa05219"	"Bladder cancer"	"5.338"
"hsa05216"	"Thyroid cancer"	"5.258"
"hsa04625"	"C-type lectin receptor signaling pathway"	"5.201"
"hsa05218"	"Melanoma"	"5.138"
"hsa04137"	"Mitophagy - animal"	"4.927"
"hsa04932"	"Non-alcoholic fatty liver disease (NAFLD)"	"4.893"
"hsa04920"	"Adipocytokine signaling pathway"	"4.863"
"hsa04917"	"Prolactin signaling pathway"	"4.796"
"hsa04151"	"PI3K-Akt signaling pathway"	"4.781"
"hsa04514"	"Cell adhesion molecules (CAMs)"	"4.582"
"hsa05223"	"Non-small cell lung cancer"	"4.525"
"hsa04722"	"Neurotrophin signaling pathway"	"4.42"
"hsa04210"	"Apoptosis"	"4.255"
"hsa04916"	"Melanogenesis"	"3.969"
"hsa04658"	"Th1 and Th2 cell differentiation"	"3.905"
"hsa05146"	"Amoebiasis"	"3.762"
"hsa04660"	"T cell receptor signaling pathway"	"3.687"
"hsa04015"	"Rap1 signaling pathway"	"3.669"
"hsa04662"	"B cell receptor signaling pathway"	"3.554"
"hsa05164"	"Influenza A"	"3.552"
"hsa05014"	"Amyotrophic lateral sclerosis (ALS)"	"3.407"
"hsa04810"	"Regulation of actin cytoskeleton"	"3.399"
"hsa05203"	"Viral carcinogenesis"	"3.369"
"hsa04370"	"VEGF signaling pathway"	"3.29"
"hsa05231"	"Choline metabolism in cancer"	"3.269"
"hsa05410"	"Hypertrophic cardiomyopathy (HCM)"	"3.235"
"hsa04664"	"Fc epsilon RI signaling pathway"	"3.201"
"hsa04012"	"ErbB signaling pathway"	"3.185"
"hsa04710"	"Circadian rhythm"	"3.128"
"hsa05214"	"Glioma"	"3.028"
"hsa04014"	"Ras signaling pathway"	"2.782"
"hsa05131"	"Shigellosis"	"2.779"
"hsa04611"	"Platelet activation"	"2.54"
"hsa04140"	"Autophagy - animal"	"2.504"
"hsa04960"	"Aldosterone-regulated sodium reabsorption"	"2.427"
"hsa04211"	"Longevity regulating pathway"	"2.333"
"hsa04973"	"Carbohydrate digestion and absorption"	"2.328"
"hsa05120"	"Epithelial cell signaling in Helicobacter pylori infection"	"2.312"
"hsa04910"	"Insulin signaling pathway"	"2.304"
"hsa04930"	"Type II diabetes mellitus"	"2.277"
"hsa04071"	"Sphingolipid signaling pathway"	"2.27"
"hsa05133"	"Pertussis"	"2.158"
"hsa04914"	"Progesterone-mediated oocyte maturation"	"2.055"
"hsa04720"	"Long-term potentiation"	"1.98"
"hsa05031"	"Amphetamine addiction"	"1.918"
"hsa04217"	"Necroptosis"	"1.898"
"hsa04978"	"Mineral absorption"	"1.892"
"hsa04152"	"AMPK signaling pathway"	"1.627"
"hsa04912"	"GnRH signaling pathway"	"1.551"
"hsa04066"	"HIF-1 signaling pathway"	"1.491"
"hsa05414"	"Dilated cardiomyopathy (DCM)"	"1.42"
"hsa04150"	"mTOR signaling pathway"	"1.409"
"hsa00232"	"Caffeine metabolism"	"1.387"
"hsa05132"	"Salmonella infection"	"1.36"
"hsa00780"	"Biotin metabolism"	"1.308"
"hsa04024"	"cAMP signaling pathway"	"1.182"
"hsa05100"	"Bacterial invasion of epithelial cells"	"1.07"
"hsa04650"	"Natural killer cell mediated cytotoxicity"	"1.07"
"hsa04114"	"Oocyte meiosis"	"1.038"
"hsa04623"	"Cytosolic DNA-sensing pathway"	"1.019"
"hsa00310"	"Lysine degradation"	"0.984"
"hsa05169"	"Epstein-Barr virus infection"	"0.779"
"hsa00920"	"Sulfur metabolism"	"0.737"
"hsa05020"	"Prion diseases"	"0.713"
"hsa05416"	"Viral myocarditis"	"0.645"
"hsa04728"	"Dopaminergic synapse"	"0.625"
"hsa00603"	"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.609"
"hsa04972"	"Pancreatic secretion"	"0.547"
"hsa04950"	"Maturity onset diabetes of the young"	"0.539"
"hsa05230"	"Central carbon metabolism in cancer"	"0.496"
"hsa00790"	"Folate biosynthesis"	"0.421"
"hsa00563"	"Glycosylphosphatidylinositol (GPI)-anchor biosynthesis"	"0.376"
"hsa04610"	"Complement and coagulation cascades"	"0.373"
"hsa03320"	"PPAR signaling pathway"	"0.371"
"hsa05033"	"Nicotine addiction"	"0.341"
"hsa00430"	"Taurine and hypotaurine metabolism"	"0.335"
"hsa05320"	"Autoimmune thyroid disease"	"0.323"
"hsa00910"	"Nitrogen metabolism"	"0.312"
"hsa04921"	"Oxytocin signaling pathway"	"0.302"
"hsa00785"	"Lipoic acid metabolism"	"0.254"
"hsa03410"	"Base excision repair"	"0.201"
"hsa00514"	"Other types of O-glycan biosynthesis"	"0.174"
"hsa00740"	"Riboflavin metabolism"	"0.14"
"hsa02010"	"ABC transporters"	"0.087"
"hsa00511"	"Other glycan degradation"	"0.074"
"hsa04964"	"Proximal tubule bicarbonate reclamation"	"0.036"
"hsa05143"	"African trypanosomiasis"	"-0.011"
"hsa00592"	"alpha-Linolenic acid metabolism"	"-0.012"
"hsa00062"	"Fatty acid elongation"	"-0.06"
"hsa00472"	"D-Arginine and D-ornithine metabolism"	"-0.095"
"hsa04062"	"Chemokine signaling pathway"	"-0.135"
