SN,NAME,Gene
103780,Aerodigestive tract,ADH1B
109800,Bladder,FGFR3
109800,Bladder,HRAS
109800,Bladder,KRAS
109800,Bladder,RB1
114480,Breast,AKT1
114480,Breast,ESR1
114480,Breast,KRAS
114480,Breast,PIK3CA
114480,Breast,PPM1D
114480,Breast,RB1CC1
114480,Breast,SLC22A18
114480,Breast,TP53
114480,Breast,BRIP1
114480,Breast,RAD54L
114480,Breast,CDH1
114480,Breast,BRCA2
114480,Breast,CASP8
114480,Breast,ATM
114480,Breast,BARD1
114480,Breast,CHEK2
114480,Breast,HMMR
114480,Breast,PALB2
114480,Breast,PHB
114480,Breast,RAD51
114480,Breast,XRCC3
114500,Colon,SRC
114500,Colon,PTPN12
114500,Colon,PTPRJ
114500,Colon,RAD54B
114500,Colon,AURKA
114500,Colorectal,AKT1
114500,Colorectal,APC
114500,Colorectal,AXIN2
114500,Colorectal,BAX
114500,Colorectal,BUB1B
114500,Colorectal,CTNNB1
114500,Colorectal,DCC
114500,Colorectal,DLC1
114500,Colorectal,EP300
114500,Colorectal,FGFR3
114500,Colorectal,FLCN
114500,Colorectal,MCC
114500,Colorectal,MLH3
114500,Colorectal,NRAS
114500,Colorectal,PDGFRL
114500,Colorectal,PIK3CA
114500,Colorectal,CCND1
114500,Colorectal,TLR2
114500,Colorectal,TP53
114550,Hepatocellular,PDGFRL
120435,Colorectal,MSH2
133239,Esophageal,TGFBR2
137215,Gastric,CDH1
137215,Gastric,KRAS
137215,Gastric,IL1B
137215,Gastric,IL1RN
148500,Tylosis with esophageal,RHBDF2
150800,Leiomyomatosis,FH
167000,Ovarian,AKT1
167000,Ovarian,CDH1
167000,Ovarian,CTNNB1
167000,Ovarian,OPCML
167000,Ovarian,PIK3CA
167000,Ovarian,PRKN
176807,Prostate,KLF6
176807,Prostate,MAD1L1
176807,Prostate,MXI1
176807,Prostate,PTEN
176807,Prostate,ZFHX3
176807,Prostate,CHEK2
176807,Prostate,AR
176807,Prostate,CDH1
176807,Prostate,BRCA2
182280,Small cell cancer of the lung,RB1
188470,Thyroid,SRGAP1
188550,Thyroid,NKX2-1
211980,Lung,KRAS
211980,Lung,MAP3K8
211980,Lung,PPP2R1B
211980,Lung,SLC22A18
211980,Lung,EGFR
211980,Lung,CASP8
211980,Lung,CYP2A6
211980,Lung,ERCC6
211980,Lung,FASLG
211980,Lung,BRAF
211980,Lung,IRF1
211980,Lung,PIK3CA
260350,Pancreatic,TP53
260350,Pancreatic,SMAD4
260350,Pancreatic,STK11
276300,Mismatch repair,MLH1
276300,Mismatch repair,MSH2
276300,Mismatch repair,MSH6
276300,Mismatch repair,PMS2
601518,Prostate,RNASEL
603688,Prostate,EPHB2
603956,Cervical,FGFR3
604370,Breast-ovarian,BRCA1
606719,Pancreatic,CDKN2A
608089,Endometrial,MSH6
608089,Endometrial,MLH3
608615,Oligodontia-colorectal,AXIN2
608812,Colorectal,GALNT12
609310,Colorectal,MLH1
610997,Prostate,HOXB13
611868,Prostate,EHBP1
611928,Prostate,MSMB
612052,Lung,CHRNA3
612052,Lung,CHRNA5
612229,Colorectal,SMAD7
612555,Breast-ovarian,BRCA2
612591,Colorectal,POLD1
613244,Colorectal,EPCAM
613347,Pancreatic,BRCA2
613348,Pancreatic,PALB2
613399,Breast-ovarian,RAD51C
613659,Gastric,APC
613659,Gastric,CASP10
613659,Gastric,ERBB2
613659,Gastric,FGFR2
613659,Gastric,IRF1
613659,Gastric,KLF6
613659,Gastric,MUTYH
613659,Gastric,PIK3CA
614291,Breast-ovarian,RAD51D
614320,Pancreatic,BRCA1
614331,Colorectal,TGFBR2
614337,Colorectal,PMS2
614350,Colorectal,MSH6
614385,Colorectal,MLH3
614731,Prostate,ELAC2
615083,Colorectal,POLE
616534,Thyroid,FOXE1
617108,Sessile serrated polyposis,RNF43
NA,Colorectal,BUB1
NA,Colorectal,BRAF
NA,Lung,BRAF
NA,Orolaryngeal,CDKN2A
NA,Ovarian,ERBB2
NA,Pancreatic,ACVR1B
NA,Breast and colorectal,CHEK2
NA,Esophageal,ALDH2
NA,Lung,MPO
