"Pathway"	"zscore"
"Axon guidance"	"20.03"
"Focal adhesion"	"16.563"
"Pathways in cancer"	"15.221"
"Human papillomavirus infection"	"13.326"
"Ras signaling pathway"	"13.038"
"Proteoglycans in cancer"	"12.828"
"Adherens junction"	"12.721"
"Regulation of actin cytoskeleton"	"11.719"
"Rap1 signaling pathway"	"11.698"
"Chronic myeloid leukemia"	"10.654"
"PI3K-Akt signaling pathway"	"10.442"
"Pancreatic cancer"	"10.207"
"Hepatocellular carcinoma"	"9.97"
"Melanoma"	"9.874"
"AGE-RAGE signaling pathway in diabetic complications"	"9.841"
"Signaling pathways regulating pluripotency of stem cells"	"9.832"
"MicroRNAs in cancer"	"9.818"
"Gastric cancer"	"9.714"
"Colorectal cancer"	"9.699"
"Hepatitis B"	"9.604"
"ECM-receptor interaction"	"9.6"
"Prostate cancer"	"9.553"
"Breast cancer"	"9.361"
"Transcriptional misregulation in cancer"	"9.267"
"Kaposi's sarcoma-associated herpesvirus infection"	"9.216"
"Cushing's syndrome"	"9.053"
"T cell receptor signaling pathway"	"8.851"
"MAPK signaling pathway"	"8.499"
"Bladder cancer"	"8.376"
"Basal cell carcinoma"	"8.356"
"Endometrial cancer"	"8.329"
"VEGF signaling pathway"	"8.223"
"Prolactin signaling pathway"	"7.95"
"Thyroid cancer"	"7.806"
"Hippo signaling pathway"	"7.798"
"ErbB signaling pathway"	"7.783"
"TGF-beta signaling pathway"	"7.744"
"Cellular senescence"	"7.68"
"Renal cell carcinoma"	"7.676"
"Thyroid hormone signaling pathway"	"7.652"
"HTLV-I infection"	"7.543"
"Glioma"	"7.479"
"Acute myeloid leukemia"	"7.471"
"Wnt signaling pathway"	"7.453"
"FoxO signaling pathway"	"7.383"
"Neurotrophin signaling pathway"	"7.381"
"Natural killer cell mediated cytotoxicity"	"7.273"
"Shigellosis"	"7.153"
"Non-small cell lung cancer"	"6.983"
"Th17 cell differentiation"	"6.934"
"Choline metabolism in cancer"	"6.917"
"Viral carcinogenesis"	"6.817"
"Osteoclast differentiation"	"6.76"
"Fc epsilon RI signaling pathway"	"6.754"
"Notch signaling pathway"	"6.741"
"Leukocyte transendothelial migration"	"6.687"
"Bacterial invasion of epithelial cells"	"6.662"
"Jak-STAT signaling pathway"	"6.531"
"C-type lectin receptor signaling pathway"	"6.504"
"Melanogenesis"	"6.485"
"Small cell lung cancer"	"6.351"
"Relaxin signaling pathway"	"6.293"
"Oxytocin signaling pathway"	"6.064"
"Arrhythmogenic right ventricular cardiomyopathy (ARVC)"	"6.045"
"B cell receptor signaling pathway"	"6.016"
"Platelet activation"	"5.99"
"p53 signaling pathway"	"5.908"
"Long-term potentiation"	"5.784"
"Alzheimer's disease"	"5.743"
"Sphingolipid signaling pathway"	"5.672"
"Cell cycle"	"5.666"
"Cell adhesion molecules (CAMs)"	"5.562"
"Fluid shear stress and atherosclerosis"	"5.183"
"Hepatitis C"	"5.179"
"Th1 and Th2 cell differentiation"	"5.14"
"GnRH signaling pathway"	"5.05"
"Prion diseases"	"4.936"
"Chemokine signaling pathway"	"4.804"
"Hypertrophic cardiomyopathy (HCM)"	"4.755"
"Cocaine addiction"	"4.691"
"Salmonella infection"	"4.689"
"TNF signaling pathway"	"4.687"
"Leishmaniasis"	"4.631"
"Mitophagy - animal"	"4.629"
"Pertussis"	"4.572"
"Apoptosis"	"4.493"
"Phospholipase D signaling pathway"	"4.46"
"cAMP signaling pathway"	"4.342"
"HIF-1 signaling pathway"	"4.267"
"Fc gamma R-mediated phagocytosis"	"4.256"
"Amyotrophic lateral sclerosis (ALS)"	"4.237"
"Other types of O-glycan biosynthesis"	"4.159"
"Long-term depression"	"4.14"
"Cholinergic synapse"	"4.091"
"Vascular smooth muscle contraction"	"4.088"
"Chagas disease (American trypanosomiasis)"	"4.075"
"Tuberculosis"	"3.982"
"Apelin signaling pathway"	"3.954"
"Hedgehog signaling pathway"	"3.885"
"Aldosterone-regulated sodium reabsorption"	"3.77"
"Dilated cardiomyopathy (DCM)"	"3.745"
"Viral myocarditis"	"3.731"
"Circadian entrainment"	"3.68"
"Herpes simplex infection"	"3.673"
"Inflammatory bowel disease (IBD)"	"3.642"
"Amphetamine addiction"	"3.626"
"Hematopoietic cell lineage"	"3.589"
"Central carbon metabolism in cancer"	"3.562"
"Longevity regulating pathway"	"3.484"
"Tight junction"	"3.353"
"Type II diabetes mellitus"	"3.347"
"Toll-like receptor signaling pathway"	"3.232"
"Inflammatory mediator regulation of TRP channels"	"3.223"
"Mannose type O-glycan biosynthesis"	"3.193"
"Hippo signaling pathway - multiple species"	"3.174"
"Glycosphingolipid biosynthesis - lacto and neolacto series"	"3.167"
"Amoebiasis"	"3.145"
"Insulin resistance"	"3.135"
"Endocytosis"	"3.055"
"Malaria"	"3.019"
"Oocyte meiosis"	"3.002"
"Insulin signaling pathway"	"2.974"
"Cytokine-cytokine receptor interaction"	"2.972"
"Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate"	"2.895"
"Autophagy - animal"	"2.888"
"Apoptosis - multiple species"	"2.846"
"Progesterone-mediated oocyte maturation"	"2.836"
"Fat digestion and absorption"	"2.832"
"Ether lipid metabolism"	"2.81"
"Nicotine addiction"	"2.797"
"Serotonergic synapse"	"2.783"
"Glycerolipid metabolism"	"2.68"
"Epithelial cell signaling in Helicobacter pylori infection"	"2.678"
"Non-alcoholic fatty liver disease (NAFLD)"	"2.655"
"mTOR signaling pathway"	"2.573"
"Maturity onset diabetes of the young"	"2.35"
"Adrenergic signaling in cardiomyocytes"	"2.327"
"IL-17 signaling pathway"	"2.313"
"Adipocytokine signaling pathway"	"2.241"
"Phosphatidylinositol signaling system"	"2.229"
"Measles"	"2.204"
"cGMP-PKG signaling pathway"	"2.11"
"Folate biosynthesis"	"2.072"
"Mucin type O-glycan biosynthesis"	"2.027"
"NF-kappa B signaling pathway"	"1.826"
"Endocrine and other factor-regulated calcium reabsorption"	"1.812"
"Pancreatic secretion"	"1.784"
"Cortisol synthesis and secretion"	"1.703"
"Huntington's disease"	"1.677"
"Cholesterol metabolism"	"1.645"
"Vitamin digestion and absorption"	"1.64"
"Dopaminergic synapse"	"1.589"
"Graft-versus-host disease"	"1.535"
"Pathogenic Escherichia coli infection"	"1.495"
"alpha-Linolenic acid metabolism"	"1.485"
"Glutamatergic synapse"	"1.472"
"Fanconi anemia pathway"	"1.439"
"Complement and coagulation cascades"	"1.421"
"Riboflavin metabolism"	"1.289"
"Toxoplasmosis"	"1.262"
"Glycosaminoglycan biosynthesis - heparan sulfate / heparin"	"1.258"
"Sphingolipid metabolism"	"1.248"
"Nicotinate and nicotinamide metabolism"	"1.241"
"ABC transporters"	"1.213"
"Gap junction"	"1.114"
"Allograft rejection"	"1.064"
"Selenocompound metabolism"	"0.996"
"NOD-like receptor signaling pathway"	"0.882"
"Glycosaminoglycan biosynthesis - keratan sulfate"	"0.802"
"Steroid biosynthesis"	"0.787"
"Glycosphingolipid biosynthesis - globo and isoglobo series"	"0.781"
"Pentose and glucuronate interconversions"	"0.742"
"Gastric acid secretion"	"0.733"
"Estrogen signaling pathway"	"0.692"
"Glycosphingolipid biosynthesis - ganglio series"	"0.681"
"Asthma"	"0.595"
"Inositol phosphate metabolism"	"0.538"
"Circadian rhythm"	"0.486"
"RIG-I-like receptor signaling pathway"	"0.476"
"Lysosome"	"0.457"
"Rheumatoid arthritis"	"0.435"
"N-Glycan biosynthesis"	"0.431"
"Ubiquitin mediated proteolysis"	"0.407"
"Intestinal immune network for IgA production"	"0.372"
"Sulfur metabolism"	"0.353"
"Glycerophospholipid metabolism"	"0.328"
"Phototransduction"	"0.3"
"Mineral absorption"	"0.299"
"Retrograde endocannabinoid signaling"	"0.227"
